=== Job info ===
Node:  gnode13
NVIDIA H200 NVL, 143771 MiB
PyTorch 2.11.0+cu130 | CUDA: True | bf16: True
================

========================================================================
  Big ER training: ER(n=40, p=0.05), filter=unfiltered
  d_model=512, normalized-ReLU, online data, bf16
  Output: runs/retrain_er_n40_big_494127/n40_p005_unfiltered_big
========================================================================

Generating 10,000 test graphs (unfiltered) with 16 workers …
  done in 2.1s
  device: cuda
  parameters: 6,347,304
  Starting training: 1,000,000 steps × batch 1000 = 1,000,000,000 samples
  step    5000 | lr=1.00e-04 | loss=0.079150 | exact=0.8470 | pair=0.9933 | 53.5s for 5000 steps
  step   10000 | lr=1.00e-04 | loss=0.012185 | exact=0.8924 | pair=0.9968 | 51.3s for 5000 steps
  step   15000 | lr=1.00e-04 | loss=0.007661 | exact=0.9180 | pair=0.9981 | 51.7s for 5000 steps
  step   20000 | lr=9.99e-05 | loss=0.005341 | exact=0.9423 | pair=0.9983 | 51.2s for 5000 steps
  step   25000 | lr=9.99e-05 | loss=0.004243 | exact=0.9345 | pair=0.9985 | 51.4s for 5000 steps
  step   30000 | lr=9.98e-05 | loss=0.003618 | exact=0.9569 | pair=0.9987 | 51.7s for 5000 steps
  step   35000 | lr=9.97e-05 | loss=0.003074 | exact=0.9563 | pair=0.9989 | 51.4s for 5000 steps
  step   40000 | lr=9.96e-05 | loss=0.002729 | exact=0.9658 | pair=0.9991 | 51.4s for 5000 steps
  step   45000 | lr=9.95e-05 | loss=0.002343 | exact=0.9533 | pair=0.9991 | 51.6s for 5000 steps
  step   50000 | lr=9.94e-05 | loss=0.002078 | exact=0.9648 | pair=0.9994 | 51.7s for 5000 steps
  step   55000 | lr=9.93e-05 | loss=0.001892 | exact=0.9704 | pair=0.9993 | 51.7s for 5000 steps
  step   60000 | lr=9.91e-05 | loss=0.001682 | exact=0.9606 | pair=0.9993 | 52.1s for 5000 steps
  step   65000 | lr=9.90e-05 | loss=0.001597 | exact=0.9687 | pair=0.9993 | 52.0s for 5000 steps
  step   70000 | lr=9.88e-05 | loss=0.001553 | exact=0.9754 | pair=0.9997 | 51.8s for 5000 steps
  step   75000 | lr=9.87e-05 | loss=0.001394 | exact=0.9793 | pair=0.9996 | 51.8s for 5000 steps
  step   80000 | lr=9.85e-05 | loss=0.001290 | exact=0.9760 | pair=0.9997 | 51.6s for 5000 steps
  step   85000 | lr=9.83e-05 | loss=0.001231 | exact=0.9772 | pair=0.9995 | 51.5s for 5000 steps
  step   90000 | lr=9.81e-05 | loss=0.001171 | exact=0.9724 | pair=0.9996 | 51.6s for 5000 steps
  step   95000 | lr=9.78e-05 | loss=0.001112 | exact=0.9763 | pair=0.9997 | 51.7s for 5000 steps
  step  100000 | lr=9.76e-05 | loss=0.001070 | exact=0.9779 | pair=0.9996 | 51.9s for 5000 steps
  step  105000 | lr=9.73e-05 | loss=0.000993 | exact=0.9763 | pair=0.9995 | 51.8s for 5000 steps
  step  110000 | lr=9.71e-05 | loss=0.001002 | exact=0.9795 | pair=0.9998 | 51.7s for 5000 steps
  step  115000 | lr=9.68e-05 | loss=0.000910 | exact=0.9809 | pair=0.9997 | 51.7s for 5000 steps
  step  120000 | lr=9.65e-05 | loss=0.000896 | exact=0.9766 | pair=0.9997 | 51.7s for 5000 steps
  step  125000 | lr=9.62e-05 | loss=0.000855 | exact=0.9777 | pair=0.9997 | 51.9s for 5000 steps
  step  130000 | lr=9.59e-05 | loss=0.000795 | exact=0.9845 | pair=0.9997 | 51.6s for 5000 steps
  step  135000 | lr=9.56e-05 | loss=0.000749 | exact=0.9842 | pair=0.9997 | 51.6s for 5000 steps
  step  140000 | lr=9.53e-05 | loss=0.000716 | exact=0.9864 | pair=0.9997 | 51.6s for 5000 steps
  step  145000 | lr=9.50e-05 | loss=0.000706 | exact=0.9833 | pair=0.9998 | 51.6s for 5000 steps
  step  150000 | lr=9.46e-05 | loss=0.000649 | exact=0.9856 | pair=0.9998 | 51.6s for 5000 steps
  step  155000 | lr=9.43e-05 | loss=0.000601 | exact=0.9855 | pair=0.9999 | 51.5s for 5000 steps
  step  160000 | lr=9.39e-05 | loss=0.000572 | exact=0.9879 | pair=0.9999 | 51.6s for 5000 steps
  step  165000 | lr=9.35e-05 | loss=0.000528 | exact=0.9866 | pair=0.9998 | 51.6s for 5000 steps
  step  170000 | lr=9.31e-05 | loss=0.000525 | exact=0.9882 | pair=0.9998 | 51.7s for 5000 steps
  step  175000 | lr=9.27e-05 | loss=0.000458 | exact=0.9873 | pair=0.9999 | 51.7s for 5000 steps
  step  180000 | lr=9.23e-05 | loss=0.000449 | exact=0.9918 | pair=0.9999 | 51.6s for 5000 steps
  step  185000 | lr=9.19e-05 | loss=0.000441 | exact=0.9879 | pair=0.9999 | 51.9s for 5000 steps
  step  190000 | lr=9.14e-05 | loss=0.000411 | exact=0.9864 | pair=0.9998 | 51.9s for 5000 steps
  step  195000 | lr=9.10e-05 | loss=0.000374 | exact=0.9917 | pair=1.0000 | 51.9s for 5000 steps
  step  200000 | lr=9.05e-05 | loss=0.000358 | exact=0.9907 | pair=0.9999 | 51.7s for 5000 steps
  step  205000 | lr=9.01e-05 | loss=0.000338 | exact=0.9926 | pair=0.9999 | 51.9s for 5000 steps
  step  210000 | lr=8.96e-05 | loss=0.000310 | exact=0.9878 | pair=0.9999 | 51.8s for 5000 steps
  step  215000 | lr=8.91e-05 | loss=0.000308 | exact=0.9917 | pair=0.9999 | 52.0s for 5000 steps
  step  220000 | lr=8.86e-05 | loss=0.000285 | exact=0.9933 | pair=1.0000 | 52.0s for 5000 steps
  step  225000 | lr=8.81e-05 | loss=0.000278 | exact=0.9895 | pair=0.9999 | 51.8s for 5000 steps
  step  230000 | lr=8.76e-05 | loss=0.000274 | exact=0.9929 | pair=1.0000 | 51.8s for 5000 steps
  step  235000 | lr=8.71e-05 | loss=0.000245 | exact=0.9922 | pair=1.0000 | 51.8s for 5000 steps
  step  240000 | lr=8.65e-05 | loss=0.000238 | exact=0.9949 | pair=1.0000 | 51.5s for 5000 steps
  step  245000 | lr=8.60e-05 | loss=0.000241 | exact=0.9877 | pair=0.9998 | 52.1s for 5000 steps
  step  250000 | lr=8.54e-05 | loss=0.000224 | exact=0.9954 | pair=1.0000 | 51.9s for 5000 steps
  step  255000 | lr=8.49e-05 | loss=0.000205 | exact=0.9923 | pair=0.9999 | 51.9s for 5000 steps
  step  260000 | lr=8.43e-05 | loss=0.000213 | exact=0.9942 | pair=1.0000 | 52.2s for 5000 steps
  step  265000 | lr=8.37e-05 | loss=0.000212 | exact=0.9957 | pair=1.0000 | 51.9s for 5000 steps
  step  270000 | lr=8.32e-05 | loss=0.000209 | exact=0.9946 | pair=1.0000 | 51.7s for 5000 steps
  step  275000 | lr=8.26e-05 | loss=0.000186 | exact=0.9918 | pair=0.9999 | 51.7s for 5000 steps
  step  280000 | lr=8.20e-05 | loss=0.000191 | exact=0.9952 | pair=1.0000 | 51.6s for 5000 steps
  step  285000 | lr=8.13e-05 | loss=0.000178 | exact=0.9950 | pair=1.0000 | 51.7s for 5000 steps
  step  290000 | lr=8.07e-05 | loss=0.000171 | exact=0.9965 | pair=1.0000 | 51.9s for 5000 steps
  step  295000 | lr=8.01e-05 | loss=0.000171 | exact=0.9915 | pair=0.9999 | 51.7s for 5000 steps
  step  300000 | lr=7.95e-05 | loss=0.000175 | exact=0.9937 | pair=1.0000 | 51.7s for 5000 steps
  step  305000 | lr=7.88e-05 | loss=0.000161 | exact=0.9961 | pair=1.0000 | 51.6s for 5000 steps
  step  310000 | lr=7.82e-05 | loss=0.000143 | exact=0.9914 | pair=1.0000 | 51.8s for 5000 steps
  step  315000 | lr=7.75e-05 | loss=0.000160 | exact=0.9904 | pair=0.9998 | 51.5s for 5000 steps
  step  320000 | lr=7.69e-05 | loss=0.000135 | exact=0.9973 | pair=1.0000 | 51.5s for 5000 steps
  step  325000 | lr=7.62e-05 | loss=0.000153 | exact=0.9963 | pair=1.0000 | 51.8s for 5000 steps
  step  330000 | lr=7.55e-05 | loss=0.000146 | exact=0.9948 | pair=1.0000 | 51.7s for 5000 steps
