task 3 -> n=20 p=0.08 L=3 seed=2000  (mixed, bridged held out)
== n20_mixed_roberta_linear_lam0_L3_seed2000 ==
 device=cuda arch=roberta readout=linear lambda=0.0 params=9,479,188
 step    5000 loss=0.15506 bce=0.15506 lap=0.00 lam=0.0e+00 val=0.8834 2ch=0.726 2cl=1.000 49s
 step   10000 loss=0.02583 bce=0.02583 lap=0.00 lam=0.0e+00 val=0.9762 2ch=1.000 2cl=1.000 48s
 step   15000 loss=0.00475 bce=0.00475 lap=0.00 lam=0.0e+00 val=0.9914 2ch=1.000 2cl=1.000 48s
 step   20000 loss=0.00212 bce=0.00212 lap=0.00 lam=0.0e+00 val=0.9996 2ch=1.000 2cl=1.000 49s
 step   25000 loss=0.00137 bce=0.00137 lap=0.00 lam=0.0e+00 val=0.9998 2ch=1.000 2cl=1.000 48s
 step   30000 loss=0.00103 bce=0.00103 lap=0.00 lam=0.0e+00 val=0.9998 2ch=1.000 2cl=1.000 48s
 step   35000 loss=0.00076 bce=0.00076 lap=0.00 lam=0.0e+00 val=0.9996 2ch=1.000 2cl=1.000 48s
 step   40000 loss=0.00073 bce=0.00073 lap=0.00 lam=0.0e+00 val=0.9998 2ch=1.000 2cl=1.000 48s
 step   45000 loss=0.00058 bce=0.00058 lap=0.00 lam=0.0e+00 val=1.0000 2ch=1.000 2cl=1.000 48s
 step   50000 loss=0.00057 bce=0.00057 lap=0.00 lam=0.0e+00 val=1.0000 2ch=1.000 2cl=1.000 48s
 step   55000 loss=0.00053 bce=0.00053 lap=0.00 lam=0.0e+00 val=1.0000 2ch=1.000 2cl=1.000 48s
 step   60000 loss=0.00048 bce=0.00048 lap=0.00 lam=0.0e+00 val=0.9994 2ch=1.000 2cl=1.000 48s
 step   65000 loss=0.00048 bce=0.00048 lap=0.00 lam=0.0e+00 val=1.0000 2ch=1.000 2cl=1.000 48s
 step   70000 loss=0.00042 bce=0.00042 lap=0.00 lam=0.0e+00 val=0.9998 2ch=1.000 2cl=1.000 48s
 step   75000 loss=0.00041 bce=0.00041 lap=0.00 lam=0.0e+00 val=0.9996 2ch=1.000 2cl=1.000 48s
 step   80000 loss=0.00036 bce=0.00036 lap=0.00 lam=0.0e+00 val=0.9996 2ch=1.000 2cl=1.000 48s
 step   85000 loss=0.00040 bce=0.00040 lap=0.00 lam=0.0e+00 val=0.9996 2ch=1.000 2cl=1.000 48s
 step   90000 loss=0.00034 bce=0.00034 lap=0.00 lam=0.0e+00 val=1.0000 2ch=1.000 2cl=1.000 48s
 step   95000 loss=0.00031 bce=0.00031 lap=0.00 lam=0.0e+00 val=0.9998 2ch=1.000 2cl=1.000 48s
 step  100000 loss=0.00031 bce=0.00031 lap=0.00 lam=0.0e+00 val=0.9998 2ch=1.000 2cl=1.000 48s
 step  105000 loss=0.00031 bce=0.00031 lap=0.00 lam=0.0e+00 val=1.0000 2ch=1.000 2cl=1.000 48s
 step  110000 loss=0.00028 bce=0.00028 lap=0.00 lam=0.0e+00 val=0.9964 2ch=1.000 2cl=1.000 48s
 step  115000 loss=0.00026 bce=0.00026 lap=0.00 lam=0.0e+00 val=0.9994 2ch=1.000 2cl=1.000 48s
 step  120000 loss=0.00025 bce=0.00025 lap=0.00 lam=0.0e+00 val=1.0000 2ch=1.000 2cl=1.000 48s
 step  125000 loss=0.00024 bce=0.00024 lap=0.00 lam=0.0e+00 val=1.0000 2ch=1.000 2cl=1.000 48s
 step  130000 loss=0.00023 bce=0.00023 lap=0.00 lam=0.0e+00 val=0.9998 2ch=1.000 2cl=1.000 48s
 step  135000 loss=0.00022 bce=0.00022 lap=0.00 lam=0.0e+00 val=0.9998 2ch=1.000 2cl=1.000 48s
 step  140000 loss=0.00022 bce=0.00022 lap=0.00 lam=0.0e+00 val=1.0000 2ch=1.000 2cl=1.000 48s
