=== Job info ===
Node:  gnode12
NVIDIA H200 NVL, 143771 MiB
PyTorch 2.11.0+cu130 | CUDA: True | bf16: True
================

========================================================================
  Big ER curriculum: ER(n=40, p=0.05), 4 phases (D≤7→9→10→11)
  d_model=512, normalized-ReLU, online data, bf16
  Output: runs/curriculum_er_n40_big_494470/n40_p005_curriculum_big
========================================================================

Generating 10,000 test graphs (D≤11) with 32 workers …
  done in 5.3s
  device: cuda
  parameters: 6,347,304
  Starting curriculum training: total budget 1,000,000 steps
  Initial phase: phase1_d7 (D ≤ 7)
  step    5000 | phase 1 (phase1_d7) | lr=1.00e-04 | loss=0.058470 | exact=0.5350 | pair=0.9770 | 377.0s/5000
  step   10000 | phase 1 (phase1_d7) | lr=1.00e-04 | loss=0.001138 | exact=0.2794 | pair=0.9460 | 374.1s/5000
  step   15000 | phase 1 (phase1_d7) | lr=1.00e-04 | loss=0.000706 | exact=0.5630 | pair=0.9779 | 373.1s/5000
  step   20000 | phase 1 (phase1_d7) | lr=9.99e-05 | loss=0.000409 | exact=0.5917 | pair=0.9807 | 371.9s/5000
  >>> PHASE ADVANCE at step 20000: phase1_d7 -> phase2_d9 (D ≤ 9) — reason=loss steps_in_old=20,000
  step   25000 | phase 2 (phase2_d9) | lr=9.99e-05 | loss=0.002184 | exact=0.9201 | pair=0.9984 | 108.7s/5000
  >>> PHASE ADVANCE at step 25000: phase2_d9 -> phase3_d10 (D ≤ 10) — reason=loss steps_in_old=5,000
  step   30000 | phase 3 (phase3_d10) | lr=9.98e-05 | loss=0.001762 | exact=0.9477 | pair=0.9991 | 85.6s/5000
  >>> PHASE ADVANCE at step 30000: phase3_d10 -> phase4_d11 (D ≤ 11) — reason=loss steps_in_old=5,000
  step   35000 | phase 4 (phase4_d11) | lr=9.97e-05 | loss=0.001874 | exact=0.9439 | pair=0.9992 | 77.0s/5000
  step   40000 | phase 4 (phase4_d11) | lr=9.96e-05 | loss=0.001487 | exact=0.9715 | pair=0.9997 | 75.3s/5000
  step   45000 | phase 4 (phase4_d11) | lr=9.95e-05 | loss=0.001281 | exact=0.9750 | pair=0.9996 | 75.4s/5000
  step   50000 | phase 4 (phase4_d11) | lr=9.94e-05 | loss=0.001132 | exact=0.9685 | pair=0.9997 | 75.3s/5000
  step   55000 | phase 4 (phase4_d11) | lr=9.93e-05 | loss=0.000999 | exact=0.9786 | pair=0.9998 | 75.3s/5000
  step   60000 | phase 4 (phase4_d11) | lr=9.91e-05 | loss=0.000896 | exact=0.9689 | pair=0.9996 | 75.6s/5000
  step   65000 | phase 4 (phase4_d11) | lr=9.90e-05 | loss=0.000833 | exact=0.9809 | pair=0.9998 | 75.3s/5000
  step   70000 | phase 4 (phase4_d11) | lr=9.88e-05 | loss=0.000753 | exact=0.9849 | pair=0.9999 | 75.5s/5000
  step   75000 | phase 4 (phase4_d11) | lr=9.87e-05 | loss=0.000695 | exact=0.9815 | pair=0.9998 | 75.2s/5000
  step   80000 | phase 4 (phase4_d11) | lr=9.85e-05 | loss=0.000651 | exact=0.9898 | pair=0.9999 | 75.6s/5000
  step   85000 | phase 4 (phase4_d11) | lr=9.83e-05 | loss=0.000564 | exact=0.9768 | pair=0.9997 | 75.5s/5000
  step   90000 | phase 4 (phase4_d11) | lr=9.81e-05 | loss=0.000495 | exact=0.9770 | pair=0.9997 | 75.7s/5000
  step   95000 | phase 4 (phase4_d11) | lr=9.78e-05 | loss=0.000468 | exact=0.9889 | pair=0.9999 | 75.4s/5000
  step  100000 | phase 4 (phase4_d11) | lr=9.76e-05 | loss=0.000385 | exact=0.9878 | pair=0.9999 | 75.6s/5000
  step  105000 | phase 4 (phase4_d11) | lr=9.73e-05 | loss=0.000346 | exact=0.9847 | pair=0.9999 | 75.5s/5000
  step  110000 | phase 4 (phase4_d11) | lr=9.71e-05 | loss=0.000320 | exact=0.9935 | pair=1.0000 | 75.7s/5000
  step  115000 | phase 4 (phase4_d11) | lr=9.68e-05 | loss=0.000296 | exact=0.9926 | pair=1.0000 | 75.5s/5000
  step  120000 | phase 4 (phase4_d11) | lr=9.65e-05 | loss=0.000261 | exact=0.9916 | pair=0.9999 | 75.5s/5000
  step  125000 | phase 4 (phase4_d11) | lr=9.62e-05 | loss=0.000248 | exact=0.9861 | pair=0.9999 | 75.3s/5000
  step  130000 | phase 4 (phase4_d11) | lr=9.59e-05 | loss=0.000237 | exact=0.9953 | pair=1.0000 | 75.3s/5000
  step  135000 | phase 4 (phase4_d11) | lr=9.56e-05 | loss=0.000216 | exact=0.9893 | pair=0.9999 | 75.7s/5000
  step  140000 | phase 4 (phase4_d11) | lr=9.53e-05 | loss=0.000210 | exact=0.9934 | pair=1.0000 | 75.5s/5000
  step  145000 | phase 4 (phase4_d11) | lr=9.50e-05 | loss=0.000203 | exact=0.9838 | pair=0.9999 | 75.8s/5000
  step  150000 | phase 4 (phase4_d11) | lr=9.46e-05 | loss=0.000203 | exact=0.9946 | pair=1.0000 | 75.6s/5000
