== eval_threeway_splitchains.py --topology cycle (full behavioural sweep) ==
checkpoint=runs/report9/n46_train/n46_split_cycles_roberta_similarity_lam0_seed1000/last.pt
  arch=roberta readout=similarity n=46 device=cpu topology=cycle
testing 133 distinct 3-way size combinations (partitions of 46, min_size=3)
  sizes=(3, 3, 40) exact=0.000 reach=(1.0,1.0,1.0) cut=(0.0,0.03,0.0225) pos_rate=0.994
  sizes=(3, 4, 39) exact=0.000 reach=(1.0,1.0,1.0) cut=(0.0,0.0,0.0068) pos_rate=0.999
  sizes=(3, 5, 38) exact=0.000 reach=(1.0,1.0,1.0) cut=(0.048,0.0,0.2465) pos_rate=0.955
  sizes=(3, 6, 37) exact=0.000 reach=(1.0,1.0,1.0) cut=(0.625,0.9932,0.0) pos_rate=0.885
  sizes=(3, 7, 36) exact=0.000 reach=(1.0,1.0,1.0) cut=(0.8221,0.9782,0.0) pos_rate=0.884
  sizes=(3, 8, 35) exact=0.000 reach=(1.0,1.0,1.0) cut=(0.8819,0.977,0.0) pos_rate=0.883
  sizes=(3, 9, 34) exact=0.000 reach=(1.0,1.0,1.0) cut=(0.9522,0.9816,0.0) pos_rate=0.881
  sizes=(3, 10, 33) exact=0.000 reach=(1.0,1.0,1.0) cut=(0.971,0.9818,0.0) pos_rate=0.881
  sizes=(3, 11, 32) exact=0.000 reach=(1.0,1.0,1.0) cut=(0.9859,0.9838,0.0) pos_rate=0.880
  sizes=(3, 12, 31) exact=0.000 reach=(1.0,1.0,1.0) cut=(0.99,0.9919,0.0) pos_rate=0.879
  sizes=(3, 13, 30) exact=0.000 reach=(1.0,1.0,1.0) cut=(0.9896,0.9868,0.0) pos_rate=0.880
  sizes=(3, 14, 29) exact=0.000 reach=(1.0,1.0,1.0) cut=(0.9886,0.9852,0.0) pos_rate=0.880
  sizes=(3, 15, 28) exact=0.000 reach=(1.0,1.0,1.0) cut=(0.9837,0.988,0.0) pos_rate=0.880
  sizes=(3, 16, 27) exact=0.000 reach=(1.0,1.0,1.0) cut=(0.9816,0.9798,0.0) pos_rate=0.880
  sizes=(3, 17, 26) exact=0.000 reach=(1.0,1.0,1.0) cut=(0.9841,0.9831,0.0) pos_rate=0.880
  sizes=(3, 18, 25) exact=0.000 reach=(1.0,1.0,1.0) cut=(0.9781,0.983,0.0) pos_rate=0.880
  sizes=(3, 19, 24) exact=0.000 reach=(1.0,1.0,1.0) cut=(0.9853,0.9833,0.0) pos_rate=0.880
  sizes=(3, 20, 23) exact=0.000 reach=(1.0,1.0,1.0) cut=(0.9845,0.9793,0.0) pos_rate=0.880
  sizes=(3, 21, 22) exact=0.000 reach=(1.0,1.0,1.0) cut=(0.9874,0.988,0.0) pos_rate=0.880
  sizes=(4, 4, 38) exact=0.000 reach=(1.0,1.0,1.0) cut=(0.0,0.0,0.0) pos_rate=1.000
  sizes=(4, 5, 37) exact=0.000 reach=(1.0,1.0,1.0) cut=(0.0077,0.0,0.0252) pos_rate=0.995
  sizes=(4, 6, 36) exact=0.000 reach=(1.0,1.0,1.0) cut=(0.4715,0.9606,0.0) pos_rate=0.859
  sizes=(4, 7, 35) exact=0.000 reach=(1.0,1.0,1.0) cut=(0.7293,0.9404,0.0) pos_rate=0.856
  sizes=(4, 8, 34) exact=0.000 reach=(1.0,1.0,1.0) cut=(0.8039,0.9389,0.0) pos_rate=0.855
  sizes=(4, 9, 33) exact=0.000 reach=(1.0,1.0,1.0) cut=(0.8812,0.9495,0.0) pos_rate=0.852
  sizes=(4, 10, 32) exact=0.000 reach=(1.0,1.0,1.0) cut=(0.9253,0.95,0.0) pos_rate=0.850
  sizes=(4, 11, 31) exact=0.000 reach=(1.0,1.0,1.0) cut=(0.9428,0.9454,0.0) pos_rate=0.850
  sizes=(4, 12, 30) exact=0.000 reach=(1.0,1.0,1.0) cut=(0.9247,0.9274,0.0) pos_rate=0.853
  sizes=(4, 13, 29) exact=0.000 reach=(1.0,1.0,1.0) cut=(0.9441,0.9421,0.0) pos_rate=0.850
  sizes=(4, 14, 28) exact=0.000 reach=(1.0,1.0,1.0) cut=(0.9463,0.9342,0.0) pos_rate=0.851
  sizes=(4, 15, 27) exact=0.000 reach=(1.0,1.0,1.0) cut=(0.9438,0.9384,0.0) pos_rate=0.851
  sizes=(4, 16, 26) exact=0.000 reach=(1.0,1.0,1.0) cut=(0.947,0.9388,0.0) pos_rate=0.850
  sizes=(4, 17, 25) exact=0.000 reach=(1.0,1.0,1.0) cut=(0.9454,0.9318,0.0) pos_rate=0.851
  sizes=(4, 18, 24) exact=0.000 reach=(1.0,1.0,1.0) cut=(0.9333,0.9344,0.0) pos_rate=0.852
  sizes=(4, 19, 23) exact=0.000 reach=(1.0,1.0,1.0) cut=(0.9301,0.9279,0.0) pos_rate=0.853
  sizes=(4, 20, 22) exact=0.000 reach=(1.0,1.0,1.0) cut=(0.9457,0.9376,0.0) pos_rate=0.851
  sizes=(4, 21, 21) exact=0.000 reach=(1.0,1.0,1.0) cut=(0.9407,0.9345,0.0) pos_rate=0.851
  sizes=(5, 5, 36) exact=0.000 reach=(1.0,1.0,1.0) cut=(0.0,0.0,0.0) pos_rate=1.000
  sizes=(5, 6, 35) exact=0.000 reach=(1.0,1.0,1.0) cut=(0.3973,0.9159,0.0) pos_rate=0.837
  sizes=(5, 7, 34) exact=0.000 reach=(1.0,1.0,1.0) cut=(0.6869,0.9175,0.0) pos_rate=0.830
  sizes=(5, 8, 33) exact=0.000 reach=(1.0,1.0,1.0) cut=(0.7464,0.8997,0.0) pos_rate=0.832
  sizes=(5, 9, 32) exact=0.000 reach=(1.0,1.0,1.0) cut=(0.8053,0.8938,0.0) pos_rate=0.831
  sizes=(5, 10, 31) exact=0.000 reach=(1.0,1.0,1.0) cut=(0.8767,0.8951,0.0) pos_rate=0.827
  sizes=(5, 11, 30) exact=0.000 reach=(1.0,1.0,1.0) cut=(0.8985,0.8742,0.0) pos_rate=0.829
  sizes=(5, 12, 29) exact=0.000 reach=(1.0,1.0,1.0) cut=(0.8995,0.901,0.0) pos_rate=0.826
  sizes=(5, 13, 28) exact=0.000 reach=(1.0,1.0,1.0) cut=(0.9128,0.9156,0.0) pos_rate=0.823
  sizes=(5, 14, 27) exact=0.000 reach=(1.0,1.0,1.0) cut=(0.8871,0.8916,0.0) pos_rate=0.828
