=== Job info ===
Node:  gnode10
Array task: 2  -> seed=3000
NVIDIA H200 NVL, 143771 MiB
PyTorch 2.11.0+cu130 | CUDA: True | bf16: True
================

========================================================================
  Paper reproduction (standard Transformer): ER(n=20, p=0.08), filter=diam9, seed=3000
  arch=roberta, d_model=512, single-head, normalized-ReLU, 2 layers, online, bf16
  Output: runs/repro_paper_n20_roberta/n20_p008_diam9_seed3000
========================================================================

Generating 10,000 ER test graphs (D≤9) with 16 workers …
  done in 6.5s
Generating 10,000 two_chains test graphs …
  done in 0.4s
Generating 10,000 two_cliques test graphs …
  done in 0.5s
  device: cuda
  arch: roberta
  parameters: 6,326,804
  Starting training: 1,000,000 steps × batch 1000 = 1,000,000,000 samples
  step    5000 | lr=1.00e-04 | loss=0.141476 | ER=0.6908 | 2chain=0.0000 | 2clique=0.0000 | 103.2s/5000
  step   10000 | lr=1.00e-04 | loss=0.057074 | ER=0.7925 | 2chain=0.0000 | 2clique=0.0000 | 94.2s/5000
  step   15000 | lr=1.00e-04 | loss=0.040693 | ER=0.8456 | 2chain=0.0000 | 2clique=0.0000 | 93.8s/5000
  step   20000 | lr=9.99e-05 | loss=0.031481 | ER=0.8794 | 2chain=0.0000 | 2clique=0.0000 | 93.5s/5000
  step   25000 | lr=9.99e-05 | loss=0.026477 | ER=0.9098 | 2chain=0.0000 | 2clique=0.0000 | 94.1s/5000
  step   30000 | lr=9.98e-05 | loss=0.023145 | ER=0.9125 | 2chain=0.0000 | 2clique=0.0000 | 94.9s/5000
  step   35000 | lr=9.97e-05 | loss=0.020670 | ER=0.9402 | 2chain=0.0000 | 2clique=0.0000 | 93.2s/5000
  step   40000 | lr=9.96e-05 | loss=0.018703 | ER=0.9580 | 2chain=0.0000 | 2clique=0.0000 | 93.9s/5000
  step   45000 | lr=9.95e-05 | loss=0.017042 | ER=0.9666 | 2chain=0.0000 | 2clique=0.0000 | 92.7s/5000
  step   50000 | lr=9.94e-05 | loss=0.015317 | ER=0.9691 | 2chain=0.0000 | 2clique=0.0000 | 92.8s/5000
  step   55000 | lr=9.93e-05 | loss=0.013109 | ER=0.9771 | 2chain=0.0000 | 2clique=0.0000 | 93.0s/5000
  step   60000 | lr=9.91e-05 | loss=0.011338 | ER=0.9857 | 2chain=0.0000 | 2clique=0.0000 | 93.1s/5000
