=== Job info ===
Node:  gnode11
Array task: 0  -> seed=1000
NVIDIA H200 NVL, 143771 MiB
PyTorch 2.11.0+cu130 | CUDA: True | bf16: True
================

========================================================================
  Paper reproduction (standard Transformer): ER(n=20, p=0.08), filter=unrestricted, seed=1000
  arch=roberta, d_model=512, single-head, normalized-ReLU, 2 layers, online, bf16
  Output: runs/repro_paper_n20_roberta/n20_p008_unrestricted_seed1000
========================================================================

Generating 10,000 ER test graphs (unfiltered) with 16 workers …
  done in 6.7s
Generating 10,000 two_chains test graphs …
  done in 0.4s
Generating 10,000 two_cliques test graphs …
  done in 0.5s
  device: cuda
  arch: roberta
  parameters: 6,326,804
  Starting training: 1,000,000 steps × batch 1000 = 1,000,000,000 samples
  step    5000 | lr=1.00e-04 | loss=0.114038 | ER=0.7427 | 2chain=0.0000 | 2clique=0.0000 | 32.3s/5000
  step   10000 | lr=1.00e-04 | loss=0.044395 | ER=0.7993 | 2chain=0.0000 | 2clique=0.0000 | 29.8s/5000
  step   15000 | lr=1.00e-04 | loss=0.030745 | ER=0.8547 | 2chain=0.0000 | 2clique=0.0000 | 29.8s/5000
  step   20000 | lr=9.99e-05 | loss=0.020772 | ER=0.9107 | 2chain=0.0000 | 2clique=0.0000 | 29.8s/5000
  step   25000 | lr=9.99e-05 | loss=0.013649 | ER=0.8936 | 2chain=0.0000 | 2clique=0.0000 | 29.8s/5000
  step   30000 | lr=9.98e-05 | loss=0.010016 | ER=0.9482 | 2chain=0.0000 | 2clique=0.5153 | 29.8s/5000
  step   35000 | lr=9.97e-05 | loss=0.007927 | ER=0.9554 | 2chain=0.0000 | 2clique=0.2796 | 29.9s/5000
  step   40000 | lr=9.96e-05 | loss=0.006602 | ER=0.9739 | 2chain=0.0000 | 2clique=0.0000 | 29.9s/5000
  step   45000 | lr=9.95e-05 | loss=0.005628 | ER=0.9794 | 2chain=0.0000 | 2clique=0.0000 | 29.8s/5000
  step   50000 | lr=9.94e-05 | loss=0.004959 | ER=0.9868 | 2chain=0.0000 | 2clique=0.0000 | 29.8s/5000
  step   55000 | lr=9.93e-05 | loss=0.004487 | ER=0.9836 | 2chain=0.0000 | 2clique=0.0000 | 29.9s/5000
  step   60000 | lr=9.91e-05 | loss=0.004073 | ER=0.9900 | 2chain=0.0000 | 2clique=0.0000 | 29.9s/5000
  step   65000 | lr=9.90e-05 | loss=0.003745 | ER=0.9872 | 2chain=0.0000 | 2clique=0.0000 | 29.9s/5000
  step   70000 | lr=9.88e-05 | loss=0.003498 | ER=0.9922 | 2chain=0.0000 | 2clique=0.0001 | 29.8s/5000
  step   75000 | lr=9.87e-05 | loss=0.003285 | ER=0.9895 | 2chain=0.0000 | 2clique=0.0398 | 29.8s/5000
  step   80000 | lr=9.85e-05 | loss=0.003096 | ER=0.9897 | 2chain=0.0000 | 2clique=0.0000 | 29.8s/5000
  step   85000 | lr=9.83e-05 | loss=0.002931 | ER=0.9916 | 2chain=0.0000 | 2clique=0.0000 | 29.8s/5000
  step   90000 | lr=9.81e-05 | loss=0.002786 | ER=0.9895 | 2chain=0.0000 | 2clique=0.0041 | 29.8s/5000
  step   95000 | lr=9.78e-05 | loss=0.002671 | ER=0.9932 | 2chain=0.0000 | 2clique=0.0000 | 29.8s/5000
  step  100000 | lr=9.76e-05 | loss=0.002540 | ER=0.9935 | 2chain=0.0000 | 2clique=0.1913 | 29.9s/5000
  step  105000 | lr=9.73e-05 | loss=0.002432 | ER=0.9942 | 2chain=0.0000 | 2clique=0.0113 | 29.8s/5000
  step  110000 | lr=9.71e-05 | loss=0.002360 | ER=0.9937 | 2chain=0.0000 | 2clique=0.0439 | 29.9s/5000
  step  115000 | lr=9.68e-05 | loss=0.002264 | ER=0.9922 | 2chain=0.0000 | 2clique=0.1508 | 29.8s/5000
  step  120000 | lr=9.65e-05 | loss=0.002180 | ER=0.9937 | 2chain=0.0000 | 2clique=0.0644 | 29.8s/5000
  step  125000 | lr=9.62e-05 | loss=0.002073 | ER=0.9970 | 2chain=0.0000 | 2clique=0.0000 | 29.7s/5000
  step  130000 | lr=9.59e-05 | loss=0.002006 | ER=0.9963 | 2chain=0.0000 | 2clique=0.0000 | 29.8s/5000
  step  135000 | lr=9.56e-05 | loss=0.001944 | ER=0.9958 | 2chain=0.0000 | 2clique=0.0000 | 29.8s/5000
  step  140000 | lr=9.53e-05 | loss=0.001846 | ER=0.9921 | 2chain=0.0000 | 2clique=0.0001 | 29.8s/5000
