cell,s1,s2,s3,stage,exact,reach_1,reach_2,reach_3,cut_12,cut_13,cut_23,pred_positive_rate
s1_22_23,1,22,23,H0,0.0,nan,0.01015,0.00957,1.0,1.0,1.0,0.02624
s1_22_23,1,22,23,Hattn1,0.0,nan,0.09943,0.09474,1.0,1.0,1.0,0.0661
s1_22_23,1,22,23,H1,0.0,nan,0.03659,0.03502,1.0,1.0,1.0,0.0381
s1_22_23,1,22,23,Hattn2,0.0,nan,0.68364,0.6468,1.0,1.0,1.0,0.32567
s1_22_23,1,22,23,H2,0.0,nan,1.0,1.0,1.0,1.0,0.0,0.95747
s4_15_27,4,15,27,H0,0.0,0.3151,0.01935,0.00752,1.0,1.0,1.0,0.02794
s4_15_27,4,15,27,Hattn1,0.0,0.61719,0.15179,0.07964,1.0,1.0,1.0,0.06672
s4_15_27,4,15,27,H1,0.0,0.48177,0.05312,0.03058,1.0,1.0,1.0,0.03989
s4_15_27,4,15,27,Hattn2,0.0,1.0,0.90342,0.44574,1.0,1.0,1.0,0.26495
s4_15_27,4,15,27,H2,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.84121
s7_15_24,7,15,24,H0,0.0,0.09524,0.02128,0.00906,1.0,1.0,1.0,0.0281
s7_15_24,7,15,24,Hattn1,0.0,0.37946,0.15208,0.09035,1.0,1.0,1.0,0.06793
s7_15_24,7,15,24,H1,0.0,0.1064,0.05357,0.03334,1.0,1.0,1.0,0.03787
s7_15_24,7,15,24,Hattn2,0.0,1.0,0.77113,0.3861,1.0,1.0,1.0,0.21884
s7_15_24,7,15,24,H2,0.0,0.9003,0.99807,0.75136,1.0,1.0,0.67296,0.44595
s2_10_34,2,10,34,H0,0.0,1.0,0.04375,0.00479,1.0,1.0,1.0,0.02709
s2_10_34,2,10,34,Hattn1,0.0,1.0,0.24375,0.06233,1.0,1.0,1.0,0.0661
s2_10_34,2,10,34,H1,0.0,1.0,0.07812,0.0242,1.0,1.0,1.0,0.03884
s2_10_34,2,10,34,Hattn2,0.0,1.0,0.55243,0.1926,1.0,1.0,1.0,0.1483
s2_10_34,2,10,34,H2,0.0,1.0,0.56563,1.0,1.0,0.0023,1.0,0.64111
s15_15_16,15,15,16,H0,0.0,0.02277,0.02024,0.01836,1.0,1.0,1.0,0.02809
s15_15_16,15,15,16,Hattn1,0.0,0.15208,0.15208,0.14154,1.0,1.0,1.0,0.06798
s15_15_16,15,15,16,H1,0.0,0.05357,0.05476,0.04909,1.0,1.0,1.0,0.03806
s15_15_16,15,15,16,Hattn2,0.0,0.56071,0.53631,0.55352,1.0,1.0,1.0,0.19339
s15_15_16,15,15,16,H2,0.0,0.66682,0.67753,0.57773,1.0,1.0,1.0,0.22068
