cell,s1,s2,s3,stage,exact,reach_1,reach_2,reach_3,cut_12,cut_13,cut_23,pred_positive_rate
s1_22_23,1,22,23,H0,0.0,nan,0.03497,0.03316,1.0,1.0,1.0,0.03731
s1_22_23,1,22,23,Hattn1,0.0,nan,0.09957,0.09486,1.0,1.0,1.0,0.06616
s1_22_23,1,22,23,H1,0.0,nan,0.08191,0.07868,1.0,1.0,1.0,0.05844
s1_22_23,1,22,23,Hattn2,0.0,nan,0.83232,0.79508,1.0,1.0,1.0,0.39359
s1_22_23,1,22,23,H2,0.0,nan,1.0,1.0,1.0,1.0,0.0,0.95747
s4_15_27,4,15,27,H0,0.0,0.39323,0.05595,0.02827,1.0,1.0,1.0,0.0389
s4_15_27,4,15,27,Hattn1,0.0,0.96354,0.15238,0.07977,1.0,1.0,1.0,0.06879
s4_15_27,4,15,27,H1,0.0,0.83594,0.11354,0.06811,1.0,1.0,1.0,0.06034
s4_15_27,4,15,27,Hattn2,0.0,1.0,0.97054,0.63889,1.0,1.0,0.99992,0.33572
s4_15_27,4,15,27,H2,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.84121
s7_15_24,7,15,24,H0,0.0,0.16295,0.05461,0.03261,1.0,1.0,1.0,0.0389
s7_15_24,7,15,24,Hattn1,0.0,0.38095,0.15238,0.09058,1.0,1.0,1.0,0.06805
s7_15_24,7,15,24,H1,0.0,0.18973,0.11339,0.07603,1.0,1.0,1.0,0.05659
s7_15_24,7,15,24,Hattn2,0.0,1.0,0.92545,0.61249,0.9997,1.0,1.0,0.29324
s7_15_24,7,15,24,H2,0.0,0.97842,0.99985,0.89232,1.0,1.0,0.45812,0.55755
s2_10_34,2,10,34,H0,0.0,1.0,0.09653,0.02161,1.0,1.0,1.0,0.03825
s2_10_34,2,10,34,Hattn1,0.0,1.0,0.24444,0.06239,1.0,1.0,1.0,0.06616
s2_10_34,2,10,34,H1,0.0,1.0,0.15556,0.05512,1.0,1.0,1.0,0.05853
s2_10_34,2,10,34,Hattn2,0.0,1.0,0.72674,0.31027,0.96094,1.0,1.0,0.21885
s2_10_34,2,10,34,H2,0.0,1.0,0.83021,1.0,1.0,0.0,1.0,0.65251
s15_15_16,15,15,16,H0,0.0,0.05744,0.05699,0.04805,1.0,1.0,1.0,0.03855
s15_15_16,15,15,16,Hattn1,0.0,0.15238,0.15238,0.14167,1.0,1.0,1.0,0.06805
s15_15_16,15,15,16,H1,0.0,0.11369,0.11414,0.1082,1.0,1.0,1.0,0.05662
s15_15_16,15,15,16,Hattn2,0.0,0.82812,0.80937,0.78633,1.0,1.0,1.0,0.27344
s15_15_16,15,15,16,H2,0.0,0.81801,0.82455,0.74596,1.0,1.0,1.0,0.26936
