s1,s2,s3,n_graphs,exact,reach_1,reach_2,reach_3,cut_12,cut_13,cut_23,pred_positive_rate
1,1,44,200,0.01,,,1.0,0.01,1.0,1.0,0.9168
1,2,43,200,0.0,,1.0,1.0,1.0,1.0,0.0,0.9575
1,3,42,200,0.0,,0.3333,1.0,0.98,1.0,0.3338,0.9159
1,4,41,200,1.0,,1.0,1.0,1.0,1.0,1.0,0.8025
1,5,40,200,0.0,,1.0,1.0,1.0,1.0,0.1546,0.9282
1,6,39,200,0.055,,1.0,1.0,1.0,1.0,0.6877,0.8054
1,7,38,200,0.035,,1.0,1.0,1.0,1.0,0.4928,0.8336
1,8,37,200,0.335,,1.0,1.0,1.0,1.0,0.8861,0.7096
1,9,36,200,0.245,,1.0,1.0,1.0,1.0,0.7038,0.7419
1,10,35,200,0.04,,1.0,1.0,1.0,1.0,0.2264,0.8826
1,11,34,200,0.0,,1.0,1.0,1.0,1.0,0.0641,0.9348
1,12,33,200,0.0,,1.0,1.0,1.0,1.0,0.0,0.9575
1,13,32,200,0.0,,1.0,1.0,1.0,1.0,0.0,0.9575
1,14,31,200,0.0,,1.0,1.0,1.0,1.0,0.0,0.9575
1,15,30,200,0.0,,1.0,1.0,1.0,1.0,0.0,0.9575
1,16,29,200,0.0,,1.0,1.0,1.0,1.0,0.0,0.9575
1,17,28,200,0.0,,1.0,1.0,1.0,1.0,0.0,0.9575
1,18,27,200,0.0,,1.0,1.0,1.0,1.0,0.0,0.9575
1,19,26,200,0.0,,1.0,1.0,1.0,1.0,0.0,0.9575
1,20,25,200,0.0,,1.0,1.0,1.0,1.0,0.0,0.9575
1,21,24,200,0.0,,1.0,1.0,1.0,1.0,0.0,0.9575
1,22,23,200,0.0,,1.0,1.0,1.0,1.0,0.0,0.9575
2,2,42,200,0.0,1.0,1.0,0.5118,1.0,1.0,1.0,0.4401
2,3,41,200,0.445,1.0,0.7817,1.0,1.0,0.9634,1.0,0.8028
2,4,40,200,0.0,1.0,0.985,1.0,1.0,0.0,1.0,0.8411
2,5,39,200,0.0,1.0,1.0,0.8705,1.0,0.8367,1.0,0.6539
2,6,38,200,0.015,1.0,0.868,1.0,1.0,0.1212,1.0,0.7626
2,7,37,200,0.0,1.0,0.5688,1.0,1.0,0.0873,1.0,0.7273
2,8,36,200,0.0,1.0,0.5509,1.0,1.0,0.0,1.0,0.7008
2,9,35,200,0.0,1.0,0.5413,1.0,1.0,0.0,1.0,0.6696
2,10,34,200,0.0,1.0,0.5546,1.0,1.0,0.0059,1.0,0.6404
2,11,33,200,0.0,1.0,0.688,0.9135,1.0,0.5947,1.0,0.5396
2,12,32,200,0.0,1.0,0.6625,0.0178,1.0,1.0,1.0,0.0724
2,13,31,200,0.0,1.0,0.7408,0.0187,1.0,1.0,1.0,0.0855
2,14,30,200,0.0,1.0,0.7726,0.0201,1.0,1.0,1.0,0.0974
2,15,29,200,0.0,1.0,0.6378,0.0241,1.0,1.0,1.0,0.0952
2,16,28,200,0.0,1.0,0.5244,0.0261,1.0,1.0,1.0,0.0915
