s1,s2,s3,n_graphs,exact,reach_1,reach_2,reach_3,cut_12,cut_13,cut_23,pred_positive_rate
1,1,44,200,0.005,,,1.0,0.005,1.0,1.0,0.9168
1,2,43,200,0.0,,1.0,1.0,1.0,1.0,0.0,0.9575
1,3,42,200,0.0,,0.3333,1.0,0.8717,1.0,0.3333,0.9162
1,4,41,200,0.87,,1.0,1.0,1.0,1.0,0.9942,0.8034
1,5,40,200,0.0,,1.0,1.0,1.0,1.0,0.0141,0.9548
1,6,39,200,0.0,,1.0,1.0,1.0,1.0,0.31,0.8889
1,7,38,200,0.0,,1.0,1.0,1.0,1.0,0.1141,0.9288
1,8,37,200,0.055,,1.0,1.0,1.0,1.0,0.4445,0.8331
1,9,36,200,0.045,,1.0,1.0,1.0,1.0,0.3634,0.8462
1,10,35,200,0.005,,1.0,1.0,1.0,1.0,0.0744,0.9329
1,11,34,200,0.0,,1.0,1.0,1.0,1.0,0.0192,0.9507
1,12,33,200,0.0,,1.0,1.0,1.0,1.0,0.0,0.9575
1,13,32,200,0.0,,1.0,1.0,1.0,1.0,0.0,0.9575
1,14,31,200,0.0,,1.0,1.0,1.0,1.0,0.0,0.9575
1,15,30,200,0.0,,1.0,1.0,1.0,1.0,0.0,0.9575
1,16,29,200,0.0,,1.0,1.0,1.0,1.0,0.0,0.9575
1,17,28,200,0.0,,1.0,1.0,1.0,1.0,0.0,0.9575
1,18,27,200,0.0,,1.0,1.0,1.0,1.0,0.0,0.9575
1,19,26,200,0.0,,1.0,1.0,1.0,1.0,0.0,0.9575
1,20,25,200,0.0,,1.0,1.0,1.0,1.0,0.0,0.9575
1,21,24,200,0.0,,1.0,1.0,1.0,1.0,0.0,0.9575
1,22,23,200,0.0,,1.0,1.0,1.0,1.0,0.0,0.9575
2,2,42,200,0.0,1.0,1.0,0.7943,1.0,1.0,1.0,0.67
2,3,41,200,0.45,1.0,0.9867,1.0,1.0,0.8221,1.0,0.8143
2,4,40,200,0.0,1.0,0.9958,1.0,1.0,0.0,1.0,0.8412
2,5,39,200,0.025,1.0,1.0,0.9769,1.0,0.5171,1.0,0.7519
2,6,38,200,0.01,1.0,0.9723,1.0,1.0,0.0234,1.0,0.7711
2,7,37,200,0.0,1.0,0.8424,1.0,1.0,0.0046,1.0,0.7385
