s1,s2,s3,n_graphs,exact,reach_1,reach_2,reach_3,cut_12,cut_13,cut_23,pred_positive_rate
1,1,58,300,0.17,,,1.0,0.17,1.0,1.0,0.9355
1,2,57,300,0.9233,,1.0,1.0,0.9233,1.0,1.0,0.904
1,3,56,300,1.0,,1.0,1.0,1.0,1.0,1.0,0.8739
1,4,55,300,1.0,,1.0,1.0,1.0,1.0,1.0,0.845
1,5,54,300,1.0,,1.0,1.0,1.0,1.0,1.0,0.8172
1,6,53,300,1.0,,1.0,1.0,1.0,1.0,1.0,0.7906
1,7,52,300,1.0,,1.0,1.0,1.0,1.0,1.0,0.765
1,8,51,300,1.0,,1.0,1.0,1.0,1.0,1.0,0.7406
1,9,50,300,1.0,,1.0,1.0,1.0,1.0,1.0,0.7172
1,10,49,300,1.0,,1.0,1.0,1.0,1.0,1.0,0.695
1,11,48,300,1.0,,1.0,1.0,1.0,1.0,1.0,0.6739
1,12,47,300,0.0,,1.0,0.9048,1.0,1.0,1.0,0.5967
1,13,46,300,0.0,,1.0,0.8991,1.0,1.0,1.0,0.577
1,14,45,300,0.0,,1.0,0.8959,1.0,1.0,0.9544,0.5759
1,15,44,300,0.0,,1.0,0.8905,1.0,1.0,0.8725,0.5898
1,16,43,300,0.0,,1.0,0.8836,1.0,1.0,0.7895,0.6071
1,17,42,300,0.0,,0.9995,0.8808,1.0,1.0,0.734,0.619
1,18,41,300,0.0,,0.999,0.8717,1.0,1.0,0.6792,0.6302
1,19,40,300,0.0,,0.9976,0.8734,1.0,1.0,0.6288,0.6467
1,20,39,300,0.0,,0.9951,0.8616,1.0,1.0,0.5981,0.6505
1,21,38,300,0.0,,0.9913,0.8635,1.0,1.0,0.5657,0.6621
1,22,37,300,0.0,,0.9861,0.8585,1.0,1.0,0.5557,0.6617
1,23,36,300,0.0,,0.9791,0.8602,1.0,1.0,0.5517,0.6616
1,24,35,300,0.0,,0.9692,0.8555,1.0,1.0,0.5568,0.6549
1,25,34,300,0.0,,0.9583,0.8634,1.0,1.0,0.536,0.6646
1,26,33,300,0.0,,0.9418,0.8631,1.0,1.0,0.5268,0.6654
1,27,32,300,0.0,,0.9272,0.8711,1.0,1.0,0.4946,0.6801
1,28,31,300,0.0,,0.913,0.8784,1.0,1.0,0.4803,0.6859
1,29,30,300,0.0,,0.9001,0.8899,1.0,1.0,0.4741,0.6889
2,2,56,300,0.34,1.0,1.0,1.0,0.34,1.0,1.0,0.8748
2,3,55,300,0.8333,1.0,1.0,1.0,0.9011,1.0,1.0,0.8442
2,4,54,300,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8156
2,5,53,300,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7883
2,6,52,300,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7622
2,7,51,300,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7372
2,8,50,300,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7133
2,9,49,300,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6906
2,10,48,300,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6689
2,11,47,300,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6483
2,12,46,300,0.0,1.0,1.0,0.906,1.0,1.0,1.0,0.5748
2,13,45,300,0.0,1.0,1.0,0.9003,1.0,1.0,0.9999,0.5558
2,14,44,300,0.0,1.0,1.0,0.8955,1.0,1.0,0.9549,0.5538
2,15,43,300,0.0,1.0,1.0,0.8893,1.0,1.0,0.8744,0.5667
2,16,42,300,0.0,1.0,0.9999,0.8875,1.0,1.0,0.7866,0.5881
2,17,41,300,0.0,1.0,0.9994,0.8852,1.0,1.0,0.7266,0.6019
2,18,40,300,0.0,1.0,0.9987,0.8792,1.0,1.0,0.6706,0.6149
2,19,39,300,0.0,1.0,0.9974,0.8682,1.0,1.0,0.6293,0.622
2,20,38,300,0.0,1.0,0.9939,0.871,1.0,1.0,0.5881,0.6362
2,21,37,300,0.0,1.0,0.9904,0.8676,1.0,1.0,0.554,0.6463
2,22,36,300,0.0,1.0,0.9864,0.8686,1.0,1.0,0.5411,0.6497
2,23,35,300,0.0,1.0,0.9787,0.866,1.0,1.0,0.5383,0.6475
2,24,34,300,0.0,1.0,0.9712,0.867,1.0,1.0,0.538,0.6458
2,25,33,300,0.0,1.0,0.96,0.8723,1.0,1.0,0.5258,0.6504
2,26,32,300,0.0,1.0,0.9441,0.8774,1.0,1.0,0.5123,0.6549
2,27,31,300,0.0,1.0,0.9306,0.8873,1.0,1.0,0.4782,0.6706
2,28,30,300,0.0,1.0,0.9176,0.8938,1.0,1.0,0.4656,0.6753
