condition,split_a,exact,reach_long,reach_short,cut
baseline,1,0.6533,1.0,nan,0.9818
baseline,4,0.1,0.9894,1.0,0.9792
baseline,7,0.0,0.916,1.0,0.9986
baseline,8,0.0,0.9412,1.0,0.9999
baseline,10,0.2133,0.9931,0.9926,0.9999
zero_attn0,1,0.0,0.1053,nan,0.9996
zero_attn0,4,0.0,0.125,0.5,1.0
zero_attn0,7,0.0,0.1538,0.2859,1.0
zero_attn0,8,0.0,0.1667,0.25,1.0
zero_attn0,10,0.0,0.2,0.2,0.9999
zero_attn1,1,0.0,0.2982,nan,1.0
zero_attn1,4,0.0,0.35,1.0,1.0
zero_attn1,7,0.0,0.4231,0.7143,1.0
zero_attn1,8,0.0,0.4545,0.6429,1.0
zero_attn1,10,0.0,0.5333,0.5333,1.0
zero_mlp0,1,0.0,0.8852,nan,0.7116
zero_mlp0,4,0.0,0.8517,1.0,0.6898
zero_mlp0,7,0.0,0.7906,0.9198,0.794
zero_mlp0,8,0.0,0.8008,0.8971,0.7873
zero_mlp0,10,0.0,0.8341,0.8317,0.7968
zero_mlp1,1,0.0533,0.9994,nan,0.9982
zero_mlp1,4,0.0,0.9932,1.0,0.5323
zero_mlp1,7,0.0,0.9975,1.0,0.2667
zero_mlp1,8,0.0,0.9993,1.0,0.2695
zero_mlp1,10,0.0,1.0,1.0,0.2833
bypass,1,0.0,0.4493,nan,0.6874
bypass,4,0.0,0.4496,0.3622,0.5784
bypass,7,0.0,0.4479,0.4068,0.5713
bypass,8,0.0,0.4346,0.4075,0.5619
bypass,10,0.0,0.4273,0.4254,0.5564
