condition,split_a,exact,reach_long,reach_short,cut
baseline,1,1.0,1.0,nan,1.0
baseline,4,1.0,1.0,1.0,1.0
baseline,7,0.9733,1.0,1.0,0.9998
baseline,8,0.98,0.9999,1.0,0.9999
baseline,10,1.0,1.0,1.0,1.0
zero_attn0,1,0.0,0.1102,nan,1.0
zero_attn0,4,0.0,0.1289,0.5006,0.9981
zero_attn0,7,0.0,0.158,0.2873,0.9962
zero_attn0,8,0.0,0.1704,0.2519,0.9958
zero_attn0,10,0.0,0.2036,0.2024,0.9957
zero_attn1,1,0.0,0.6905,nan,0.7091
zero_attn1,4,0.0,0.6787,1.0,0.6969
zero_attn1,7,0.0,0.6701,0.7427,0.6693
zero_attn1,8,0.0,0.6684,0.7055,0.6378
zero_attn1,10,0.0,0.6701,0.6731,0.6276
zero_mlp0,1,0.0,0.7057,nan,0.5419
zero_mlp0,4,0.0,0.7058,0.9233,0.7399
zero_mlp0,7,0.0,0.7235,0.7865,0.6767
zero_mlp0,8,0.0,0.7205,0.7806,0.6646
zero_mlp0,10,0.0,0.7548,0.7616,0.6247
zero_mlp1,1,0.0,0.9967,nan,0.7063
zero_mlp1,4,0.0,0.994,0.8422,0.5883
zero_mlp1,7,0.0,0.9866,0.9924,0.5208
zero_mlp1,8,0.0,0.9885,0.9999,0.4539
zero_mlp1,10,0.0,1.0,1.0,0.3954
bypass,1,0.0,0.4332,nan,0.7337
bypass,4,0.0,0.4358,0.5189,0.6369
bypass,7,0.0,0.4397,0.4729,0.618
bypass,8,0.0,0.4426,0.4654,0.6181
bypass,10,0.0,0.4501,0.4535,0.6183
