condition,split_a,exact,reach_long,reach_short,cut
baseline,1,0.0,0.7162,nan,1.0
baseline,4,0.0,0.7569,1.0,1.0
baseline,7,0.0,0.801,1.0,1.0
baseline,8,0.0,0.8163,1.0,1.0
baseline,10,0.0,0.8481,1.0,1.0
baseline,14,0.0,0.9138,1.0,1.0
baseline,17,0.0,0.9605,1.0,1.0
baseline,20,0.0,0.9947,0.9947,1.0
zero_attn0,1,0.0067,0.9336,nan,0.9949
zero_attn0,4,0.0,0.9223,0.8944,0.3746
zero_attn0,7,0.0,0.9203,0.7952,0.2385
zero_attn0,8,0.0,0.9141,0.815,0.2022
zero_attn0,10,0.0,0.9138,0.7973,0.1887
zero_attn0,14,0.0,0.8996,0.8275,0.1587
zero_attn0,17,0.0,0.8955,0.8672,0.1371
zero_attn0,20,0.0,0.8764,0.8764,0.1394
zero_attn1,1,0.0,0.227,nan,1.0
zero_attn1,4,0.0,0.2461,1.0,1.0
zero_attn1,7,0.0,0.2677,0.9997,1.0
zero_attn1,8,0.0,0.2758,0.9555,1.0
zero_attn1,10,0.0,0.2933,0.8018,1.0
zero_attn1,14,0.0,0.3369,0.5941,1.0
zero_attn1,17,0.0,0.3767,0.5001,1.0
zero_attn1,20,0.0,0.4304,0.4279,1.0
zero_mlp0,1,0.3267,1.0,nan,0.4745
zero_mlp0,4,0.0,1.0,0.9989,0.0103
zero_mlp0,7,0.0,1.0,0.9949,0.0019
zero_mlp0,8,0.0,1.0,0.9981,0.0001
zero_mlp0,10,0.0,0.9998,1.0,0.0001
zero_mlp0,14,0.0,1.0,0.9996,0.0001
zero_mlp0,17,0.0,1.0,1.0,0.0
zero_mlp0,20,0.0,0.9999,0.9996,0.0001
zero_mlp1,1,0.0,0.8025,nan,0.113
zero_mlp1,4,0.0,0.84,1.0,0.6987
zero_mlp1,7,0.0,0.8772,1.0,0.8761
zero_mlp1,8,0.0,0.8887,1.0,0.8182
zero_mlp1,10,0.0,0.9005,1.0,0.667
zero_mlp1,14,0.0,0.9561,1.0,0.6303
zero_mlp1,17,0.0,0.9839,1.0,0.6672
zero_mlp1,20,0.0,0.9982,0.9978,0.657
bypass,1,0.0,0.1012,nan,1.0
bypass,4,0.0,0.1095,0.8333,1.0
bypass,7,0.0,0.1193,0.5238,1.0
bypass,8,0.0,0.123,0.4643,1.0
bypass,10,0.0,0.131,0.3778,1.0
bypass,14,0.0,0.1508,0.2747,1.0
bypass,17,0.0,0.17,0.2279,1.0
bypass,20,0.0,0.1947,0.1947,1.0
