condition,split_a,exact,reach_long,reach_short,cut
baseline,1,1.0,1.0,nan,1.0
baseline,4,1.0,1.0,1.0,1.0
baseline,7,1.0,1.0,1.0,1.0
baseline,8,0.0,0.8185,1.0,1.0
baseline,10,0.0,0.8488,1.0,1.0
baseline,14,0.0,0.9138,1.0,0.9997
baseline,17,0.0,0.9605,1.0,0.9972
baseline,20,0.0,0.9947,0.9947,0.9988
zero_attn0,1,0.4933,0.9787,nan,0.9913
zero_attn0,4,0.0,0.9783,0.8567,0.0878
zero_attn0,7,0.0,0.9791,0.9041,0.06
zero_attn0,8,0.0,0.9799,0.9019,0.0591
zero_attn0,10,0.0,0.9752,0.9253,0.0508
zero_attn0,14,0.0,0.9723,0.9437,0.0426
zero_attn0,17,0.0,0.9706,0.9601,0.0342
zero_attn0,20,0.0,0.9669,0.957,0.0363
zero_attn1,1,0.0,0.9238,nan,0.0101
zero_attn1,4,0.0,0.9186,1.0,0.8552
zero_attn1,7,0.0,0.9109,0.9911,0.3018
zero_attn1,8,0.0,0.9126,0.9274,0.276
zero_attn1,10,0.0,0.9051,0.8621,0.2324
zero_attn1,14,0.0,0.8951,0.854,0.1891
zero_attn1,17,0.0,0.8876,0.8633,0.1788
zero_attn1,20,0.0,0.877,0.8772,0.1723
zero_mlp0,1,0.0,0.9504,nan,0.9379
zero_mlp0,4,0.0,0.9169,1.0,0.0802
zero_mlp0,7,0.0,0.9184,0.7295,0.19
zero_mlp0,8,0.0,0.9341,0.736,0.1537
zero_mlp0,10,0.0,0.9255,0.7674,0.1439
zero_mlp0,14,0.0,0.9094,0.8306,0.1224
zero_mlp0,17,0.0,0.9064,0.8701,0.107
zero_mlp0,20,0.0,0.8892,0.8892,0.1071
zero_mlp1,1,0.0,0.6735,nan,0.9829
zero_mlp1,4,0.0,0.8805,1.0,0.1158
zero_mlp1,7,0.0,0.8102,1.0,0.7357
zero_mlp1,8,0.0,0.7665,1.0,0.9792
zero_mlp1,10,0.0,0.7997,1.0,0.9998
zero_mlp1,14,0.0,0.8797,1.0,0.9971
zero_mlp1,17,0.0,0.9423,1.0,0.9956
zero_mlp1,20,0.0,0.9856,0.9855,0.9964
bypass,1,0.0,0.1026,nan,0.9487
bypass,4,0.0,0.1111,1.0,0.9722
bypass,7,0.0,0.1212,0.5714,0.9827
bypass,8,0.0,0.125,0.5,0.9844
bypass,10,0.0,0.1333,0.4,0.9867
bypass,14,0.0,0.1538,0.2857,0.989
bypass,17,0.0,0.1739,0.2353,0.9898
bypass,20,0.0,0.2,0.2,0.99
