split_a,mode,metric,distance,value,n_pairs
1,random,reach_long_by_dist,1,1.0,76
1,random,reach_long_by_dist,2,1.0,74
1,random,reach_long_by_dist,3,1.0,72
1,random,reach_long_by_dist,4,1.0,70
1,random,reach_long_by_dist,5,1.0,68
1,random,reach_long_by_dist,6,1.0,66
1,random,reach_long_by_dist,7,1.0,64
1,random,reach_long_by_dist,8,0.9998,62
1,random,reach_long_by_dist,9,0.9426,60
1,random,reach_long_by_dist,10,0.9242,58
1,random,reach_long_by_dist,11,0.9229,56
1,random,reach_long_by_dist,12,0.92,54
1,random,reach_long_by_dist,13,0.9176,52
1,random,reach_long_by_dist,14,0.9148,50
1,random,reach_long_by_dist,15,0.9123,48
1,random,reach_long_by_dist,16,0.9103,46
1,random,reach_long_by_dist,17,0.9064,44
1,random,reach_long_by_dist,18,0.9015,42
1,random,reach_long_by_dist,19,0.8962,40
1,random,reach_long_by_dist,20,0.8946,38
1,random,reach_long_by_dist,21,0.89,36
1,random,reach_long_by_dist,22,0.8803,34
1,random,reach_long_by_dist,23,0.8764,32
1,random,reach_long_by_dist,24,0.8685,30
1,random,reach_long_by_dist,25,0.8554,28
1,random,reach_long_by_dist,26,0.8535,26
1,random,reach_long_by_dist,27,0.8479,24
1,random,reach_long_by_dist,28,0.8514,22
1,random,reach_long_by_dist,29,0.8535,20
1,random,reach_long_by_dist,30,0.8708,18
1,random,reach_long_by_dist,31,0.9119,16
1,random,reach_long_by_dist,32,0.9504,14
1,random,reach_long_by_dist,33,0.9742,12
1,random,reach_long_by_dist,34,0.984,10
1,random,reach_long_by_dist,35,0.9912,8
1,random,reach_long_by_dist,36,0.9908,6
1,random,reach_long_by_dist,37,0.9912,4
1,random,reach_long_by_dist,38,1.0,2
1,random,exact,,0.005,
1,random,reach_long,,0.9403,
1,random,reach_short,,nan,
1,random,cut,,1.0,
1,random,pred_positive_rate,,0.896,
2,random,reach_long_by_dist,1,1.0,74
2,random,reach_long_by_dist,2,1.0,72
2,random,reach_long_by_dist,3,1.0,70
2,random,reach_long_by_dist,4,1.0,68
2,random,reach_long_by_dist,5,1.0,66
2,random,reach_long_by_dist,6,1.0,64
2,random,reach_long_by_dist,7,1.0,62
2,random,reach_long_by_dist,8,1.0,60
2,random,reach_long_by_dist,9,0.9734,58
2,random,reach_long_by_dist,10,0.9612,56
2,random,reach_long_by_dist,11,0.9604,54
2,random,reach_long_by_dist,12,0.9589,52
2,random,reach_long_by_dist,13,0.9559,50
2,random,reach_long_by_dist,14,0.9552,48
2,random,reach_long_by_dist,15,0.9529,46
2,random,reach_long_by_dist,16,0.951,44
2,random,reach_long_by_dist,17,0.9492,42
2,random,reach_long_by_dist,18,0.947,40
2,random,reach_long_by_dist,19,0.9454,38
2,random,reach_long_by_dist,20,0.94,36
2,random,reach_long_by_dist,21,0.9372,34
2,random,reach_long_by_dist,22,0.9369,32
2,random,reach_long_by_dist,23,0.9297,30
2,random,reach_long_by_dist,24,0.925,28
2,random,reach_long_by_dist,25,0.9233,26
2,random,reach_long_by_dist,26,0.9171,24
2,random,reach_long_by_dist,27,0.9232,22
2,random,reach_long_by_dist,28,0.926,20
2,random,reach_long_by_dist,29,0.9303,18
2,random,reach_long_by_dist,30,0.9587,16
2,random,reach_long_by_dist,31,0.9775,14
2,random,reach_long_by_dist,32,0.9912,12
2,random,reach_long_by_dist,33,0.997,10
2,random,reach_long_by_dist,34,0.9975,8
2,random,reach_long_by_dist,35,1.0,6
2,random,reach_long_by_dist,36,0.9975,4
2,random,reach_long_by_dist,37,1.0,2
2,random,exact,,0.025,
2,random,reach_long,,0.9694,
2,random,reach_short,,1.0,
2,random,cut,,1.0,
