split_a,pair_type,mean_hTw,frac_positive,n_pairs
1,within_long,3.4881,0.9391,296400
1,cut,-4.2166,0.0,7800
1,cut,-30.7084,0.0,7800
1,within_long_d1,10.0865,1.0,76
1,within_long_d2,10.8797,1.0,74
1,within_long_d3,10.7882,1.0,72
1,within_long_d4,7.268,1.0,70
1,within_long_d5,6.4529,1.0,68
1,within_long_d6,5.5946,1.0,66
1,within_long_d7,4.5988,1.0,64
1,within_long_d8,3.3784,1.0,62
1,within_long_d9,1.3367,0.9426,60
1,within_long_d10,1.081,0.9223,58
1,within_long_d11,1.0835,0.92,56
1,within_long_d12,1.0784,0.9175,54
1,within_long_d13,1.0711,0.9137,52
1,within_long_d14,1.0643,0.9108,50
1,within_long_d15,1.0602,0.908,48
1,within_long_d16,1.0562,0.9087,46
1,within_long_d17,1.052,0.9028,44
1,within_long_d18,1.0483,0.8998,42
1,within_long_d19,1.0452,0.8979,40
1,within_long_d20,1.0422,0.8926,38
1,within_long_d21,1.0381,0.8838,36
1,within_long_d22,1.0333,0.8806,34
1,within_long_d23,1.0267,0.8747,32
1,within_long_d24,1.0195,0.8667,30
1,within_long_d25,1.009,0.8588,28
1,within_long_d26,0.9934,0.8562,26
1,within_long_d27,0.9703,0.8475,24
1,within_long_d28,0.9442,0.8523,22
1,within_long_d29,0.9317,0.8472,20
1,within_long_d30,0.9675,0.8658,18
1,within_long_d31,1.0514,0.9116,16
1,within_long_d32,1.1377,0.9479,14
1,within_long_d33,1.2166,0.9729,12
1,within_long_d34,1.2941,0.983,10
1,within_long_d35,1.3666,0.9912,8
1,within_long_d36,1.3494,0.9925,6
1,within_long_d37,1.4186,0.995,4
1,within_long_d38,1.6278,1.0,2
2,within_long,3.9148,0.9713,281200
2,within_short,36.0697,1.0,400
2,cut,-4.097,0.0,15200
2,cut,-6.0102,0.0,15200
2,within_long_d1,10.79,1.0,74
2,within_long_d2,11.6179,1.0,72
2,within_long_d3,11.5341,1.0,70
2,within_long_d4,7.8617,1.0,68
2,within_long_d5,7.0177,1.0,66
2,within_long_d6,6.1312,1.0,64
2,within_long_d7,5.0985,1.0,62
2,within_long_d8,3.8113,1.0,60
2,within_long_d9,1.6236,0.9747,58
2,within_long_d10,1.321,0.9642,56
2,within_long_d11,1.3224,0.9627,54
2,within_long_d12,1.3135,0.9617,52
2,within_long_d13,1.3045,0.9586,50
2,within_long_d14,1.2975,0.9596,48
2,within_long_d15,1.293,0.9571,46
2,within_long_d16,1.2883,0.9551,44
2,within_long_d17,1.2812,0.9524,42
2,within_long_d18,1.2743,0.9489,40
