split_a,pair_type,mean_cos,frac_positive,n_pairs
1,within_long,0.4201,0.7158,296400
1,cut,-0.1344,0.0,7800
1,cut,-0.1344,0.0,7800
1,within_long_d1,0.8226,1.0,76
1,within_long_d2,0.6822,1.0,74
1,within_long_d3,0.6399,1.0,72
1,within_long_d4,0.6134,1.0,70
1,within_long_d5,0.5656,1.0,68
1,within_long_d6,0.5075,1.0,66
1,within_long_d7,0.4934,1.0,64
1,within_long_d8,0.4888,1.0,62
1,within_long_d9,0.4844,1.0,60
1,within_long_d10,0.4696,1.0,58
1,within_long_d11,0.461,1.0,56
1,within_long_d12,0.4724,1.0,54
1,within_long_d13,0.4984,1.0,52
1,within_long_d14,0.4684,1.0,50
1,within_long_d15,0.4402,1.0,48
1,within_long_d16,0.443,1.0,46
1,within_long_d17,0.4462,1.0,44
1,within_long_d18,0.3297,0.9731,42
1,within_long_d19,0.1349,0.0,40
1,within_long_d20,0.1338,0.0,38
1,within_long_d21,0.1325,0.0,36
1,within_long_d22,0.1314,0.0,34
1,within_long_d23,0.1302,0.0,32
1,within_long_d24,0.1289,0.0,30
1,within_long_d25,0.1275,0.0,28
1,within_long_d26,0.1258,0.0,26
1,within_long_d27,0.1237,0.0,24
1,within_long_d28,0.1211,0.0,22
1,within_long_d29,0.1182,0.0,20
1,within_long_d30,0.1152,0.0,18
1,within_long_d31,0.1174,0.0,16
1,within_long_d32,0.126,0.0,14
1,within_long_d33,0.1409,0.0,12
1,within_long_d34,0.1521,0.0,10
1,within_long_d35,0.1565,0.0,8
1,within_long_d36,0.161,0.0,6
1,within_long_d37,0.1686,0.0,4
1,within_long_d38,0.1749,0.0,2
2,within_long,0.4266,0.7289,281200
2,within_short,1.0,1.0,400
2,cut,-0.1491,0.0,15200
2,cut,-0.1491,0.0,15200
2,within_long_d1,0.8229,1.0,74
2,within_long_d2,0.6836,1.0,72
2,within_long_d3,0.6421,1.0,70
2,within_long_d4,0.6155,1.0,68
2,within_long_d5,0.5676,1.0,66
2,within_long_d6,0.5095,1.0,64
2,within_long_d7,0.4952,1.0,62
2,within_long_d8,0.4908,1.0,60
2,within_long_d9,0.4867,1.0,58
2,within_long_d10,0.4715,1.0,56
2,within_long_d11,0.4629,1.0,54
2,within_long_d12,0.4741,1.0,52
2,within_long_d13,0.5002,1.0,50
2,within_long_d14,0.4699,1.0,48
2,within_long_d15,0.4409,1.0,46
2,within_long_d16,0.4432,1.0,44
2,within_long_d17,0.4466,1.0,42
2,within_long_d18,0.3297,0.9708,40
2,within_long_d19,0.133,0.0,38
2,within_long_d20,0.1318,0.0,36
2,within_long_d21,0.1305,0.0,34
2,within_long_d22,0.1292,0.0,32
2,within_long_d23,0.1279,0.0,30
2,within_long_d24,0.1266,0.0,28
2,within_long_d25,0.1249,0.0,26
2,within_long_d26,0.1226,0.0,24
2,within_long_d27,0.1202,0.0,22
2,within_long_d28,0.1176,0.0,20
2,within_long_d29,0.1147,0.0,18
2,within_long_d30,0.1167,0.0,16
2,within_long_d31,0.1253,0.0,14
2,within_long_d32,0.1403,0.0,12
2,within_long_d33,0.1515,0.0,10
2,within_long_d34,0.156,0.0,8
2,within_long_d35,0.1601,0.0,6
2,within_long_d36,0.168,0.0,4
2,within_long_d37,0.1749,0.0,2
3,within_long,0.4315,0.7424,266400
3,within_short,0.9984,1.0,1200
3,cut,-0.1683,0.0,22200
3,cut,-0.1683,0.0,22200
3,within_long_d1,0.8219,1.0,72
3,within_long_d2,0.6814,1.0,70
3,within_long_d3,0.6396,1.0,68
3,within_long_d4,0.6133,1.0,66
3,within_long_d5,0.5655,1.0,64
3,within_long_d6,0.5071,1.0,62
3,within_long_d7,0.4927,1.0,60
3,within_long_d8,0.4888,1.0,58
3,within_long_d9,0.4853,1.0,56
3,within_long_d10,0.4702,1.0,54
3,within_long_d11,0.4621,1.0,52
3,within_long_d12,0.4742,1.0,50
3,within_long_d13,0.5014,1.0,48
3,within_long_d14,0.4715,1.0,46
3,within_long_d15,0.4429,1.0,44
3,within_long_d16,0.4456,1.0,42
3,within_long_d17,0.4498,1.0,40
3,within_long_d18,0.3314,0.9705,38
3,within_long_d19,0.1305,0.0,36
3,within_long_d20,0.1291,0.0,34
3,within_long_d21,0.1279,0.0,32
3,within_long_d22,0.1268,0.0,30
3,within_long_d23,0.1256,0.0,28
3,within_long_d24,0.1238,0.0,26
3,within_long_d25,0.1216,0.0,24
3,within_long_d26,0.1192,0.0,22
3,within_long_d27,0.1166,0.0,20
3,within_long_d28,0.1134,0.0,18
3,within_long_d29,0.1152,0.0,16
3,within_long_d30,0.124,0.0,14
3,within_long_d31,0.1389,0.0,12
3,within_long_d32,0.1499,0.0,10
3,within_long_d33,0.1542,0.0,8
3,within_long_d34,0.1579,0.0,6
3,within_long_d35,0.1657,0.0,4
3,within_long_d36,0.1719,0.0,2
4,within_long,0.4392,0.7564,252000
4,within_short,0.9538,1.0,2400
4,cut,-0.1187,0.0,28800
4,cut,-0.1187,0.0,28800
4,within_long_d1,0.8214,1.0,70
4,within_long_d2,0.6805,1.0,68
4,within_long_d3,0.6385,1.0,66
4,within_long_d4,0.6128,1.0,64
4,within_long_d5,0.5652,1.0,62
4,within_long_d6,0.5067,1.0,60
4,within_long_d7,0.4924,1.0,58
4,within_long_d8,0.4887,1.0,56
4,within_long_d9,0.4854,1.0,54
