split_a,pair_type,mean_hTw,frac_positive,n_pairs
1,within_long,21.22,1.0,296400
1,cut,-9.366,0.0,7800
1,cut,-27.6077,0.0,7800
1,within_long_d1,31.5609,1.0,76
1,within_long_d2,28.0973,1.0,74
1,within_long_d3,31.739,1.0,72
1,within_long_d4,34.8483,1.0,70
1,within_long_d5,35.3501,1.0,68
1,within_long_d6,31.686,1.0,66
1,within_long_d7,32.5805,1.0,64
1,within_long_d8,48.8459,1.0,62
1,within_long_d9,26.613,1.0,60
1,within_long_d10,13.1945,1.0,58
1,within_long_d11,13.1732,1.0,56
1,within_long_d12,13.1627,1.0,54
1,within_long_d13,13.1282,1.0,52
1,within_long_d14,13.0818,1.0,50
1,within_long_d15,13.0392,1.0,48
1,within_long_d16,12.9849,1.0,46
1,within_long_d17,12.9218,1.0,44
1,within_long_d18,12.8469,1.0,42
1,within_long_d19,12.7695,1.0,40
1,within_long_d20,12.6824,1.0,38
1,within_long_d21,12.6032,1.0,36
1,within_long_d22,12.4948,1.0,34
1,within_long_d23,12.3914,1.0,32
1,within_long_d24,12.2989,1.0,30
1,within_long_d25,12.2324,1.0,28
1,within_long_d26,12.1557,1.0,26
1,within_long_d27,12.1452,1.0,24
1,within_long_d28,12.1832,1.0,22
1,within_long_d29,12.1708,1.0,20
1,within_long_d30,11.9605,1.0,18
1,within_long_d31,11.6533,1.0,16
1,within_long_d32,11.608,1.0,14
1,within_long_d33,11.5024,1.0,12
1,within_long_d34,11.4625,1.0,10
1,within_long_d35,11.68,1.0,8
1,within_long_d36,12.07,1.0,6
1,within_long_d37,12.859,1.0,4
1,within_long_d38,12.9609,1.0,2
2,within_long,23.6615,0.9995,281200
2,within_short,19.3354,1.0,400
2,cut,-27.0627,0.0,15200
2,cut,-11.0149,0.0,15200
2,within_long_d1,41.5456,1.0,74
2,within_long_d2,38.5044,1.0,72
2,within_long_d3,41.652,1.0,70
2,within_long_d4,44.1679,1.0,68
2,within_long_d5,44.8447,1.0,66
2,within_long_d6,41.4116,1.0,64
2,within_long_d7,41.3548,1.0,62
2,within_long_d8,50.0895,1.0,60
2,within_long_d9,27.7991,1.0,58
2,within_long_d10,12.1013,0.9992,56
2,within_long_d11,12.0885,0.9994,54
2,within_long_d12,12.0094,0.9993,52
