split_a,pair_type,mean_cos,frac_positive,n_pairs
1,within_long,0.6225,1.0,296400
1,cut,-0.2128,0.0,7800
1,cut,-0.2128,0.0,7800
1,within_long_d1,0.8856,1.0,76
1,within_long_d2,0.7942,1.0,74
1,within_long_d3,0.7502,1.0,72
1,within_long_d4,0.7246,1.0,70
1,within_long_d5,0.711,1.0,68
1,within_long_d6,0.6978,1.0,66
1,within_long_d7,0.6815,1.0,64
1,within_long_d8,0.6688,1.0,62
1,within_long_d9,0.6638,1.0,60
1,within_long_d10,0.6558,1.0,58
1,within_long_d11,0.6529,1.0,56
1,within_long_d12,0.6435,1.0,54
1,within_long_d13,0.6361,1.0,52
1,within_long_d14,0.6297,1.0,50
1,within_long_d15,0.6413,1.0,48
1,within_long_d16,0.6547,1.0,46
1,within_long_d17,0.6568,1.0,44
1,within_long_d18,0.5836,1.0,42
1,within_long_d19,0.4524,1.0,40
1,within_long_d20,0.4502,1.0,38
1,within_long_d21,0.4479,1.0,36
1,within_long_d22,0.4464,1.0,34
1,within_long_d23,0.4444,1.0,32
1,within_long_d24,0.4425,1.0,30
1,within_long_d25,0.4404,1.0,28
1,within_long_d26,0.4386,1.0,26
1,within_long_d27,0.4383,1.0,24
1,within_long_d28,0.437,1.0,22
1,within_long_d29,0.4333,1.0,20
1,within_long_d30,0.4271,1.0,18
1,within_long_d31,0.4232,1.0,16
1,within_long_d32,0.4208,1.0,14
1,within_long_d33,0.4176,1.0,12
1,within_long_d34,0.4172,1.0,10
1,within_long_d35,0.415,1.0,8
1,within_long_d36,0.4077,1.0,6
1,within_long_d37,0.404,1.0,4
1,within_long_d38,0.3998,1.0,2
2,within_long,0.6179,1.0,281200
2,within_short,1.0,1.0,400
2,cut,-0.2566,0.0,15200
2,cut,-0.2566,0.0,15200
2,within_long_d1,0.8851,1.0,74
2,within_long_d2,0.7947,1.0,72
2,within_long_d3,0.7517,1.0,70
2,within_long_d4,0.7259,1.0,68
2,within_long_d5,0.7112,1.0,66
2,within_long_d6,0.6971,1.0,64
2,within_long_d7,0.6801,1.0,62
2,within_long_d8,0.6667,1.0,60
2,within_long_d9,0.6603,1.0,58
2,within_long_d10,0.6515,1.0,56
2,within_long_d11,0.6476,1.0,54
2,within_long_d12,0.6373,1.0,52
2,within_long_d13,0.6291,1.0,50
2,within_long_d14,0.6207,1.0,48
2,within_long_d15,0.6299,1.0,46
2,within_long_d16,0.6419,1.0,44
2,within_long_d17,0.6443,1.0,42
2,within_long_d18,0.5713,1.0,40
2,within_long_d19,0.4364,1.0,38
2,within_long_d20,0.433,1.0,36
2,within_long_d21,0.4302,1.0,34
2,within_long_d22,0.427,1.0,32
2,within_long_d23,0.4241,1.0,30
2,within_long_d24,0.421,1.0,28
2,within_long_d25,0.4183,1.0,26
2,within_long_d26,0.4173,1.0,24
2,within_long_d27,0.4154,1.0,22
2,within_long_d28,0.411,1.0,20
2,within_long_d29,0.4037,1.0,18
2,within_long_d30,0.3985,1.0,16
2,within_long_d31,0.397,1.0,14
2,within_long_d32,0.3951,1.0,12
2,within_long_d33,0.3974,1.0,10
2,within_long_d34,0.3978,1.0,8
2,within_long_d35,0.3924,1.0,6
2,within_long_d36,0.3898,1.0,4
2,within_long_d37,0.3887,1.0,2
3,within_long,0.6184,1.0,266400
3,within_short,0.9567,1.0,1200
3,cut,-0.2947,0.0,22200
3,cut,-0.2947,0.0,22200
3,within_long_d1,0.8841,1.0,72
3,within_long_d2,0.7929,1.0,70
3,within_long_d3,0.7491,1.0,68
3,within_long_d4,0.7231,1.0,66
3,within_long_d5,0.7084,1.0,64
3,within_long_d6,0.6943,1.0,62
3,within_long_d7,0.6779,1.0,60
3,within_long_d8,0.6647,1.0,58
3,within_long_d9,0.6583,1.0,56
3,within_long_d10,0.6492,1.0,54
3,within_long_d11,0.6449,1.0,52
3,within_long_d12,0.6348,1.0,50
3,within_long_d13,0.6272,1.0,48
3,within_long_d14,0.6191,1.0,46
3,within_long_d15,0.6289,1.0,44
3,within_long_d16,0.6412,1.0,42
3,within_long_d17,0.6432,1.0,40
3,within_long_d18,0.5678,1.0,38
3,within_long_d19,0.4285,1.0,36
3,within_long_d20,0.4251,1.0,34
3,within_long_d21,0.4215,1.0,32
3,within_long_d22,0.4184,1.0,30
3,within_long_d23,0.4155,1.0,28
3,within_long_d24,0.4128,1.0,26
3,within_long_d25,0.4114,1.0,24
3,within_long_d26,0.4091,1.0,22
3,within_long_d27,0.4045,1.0,20
3,within_long_d28,0.3967,1.0,18
3,within_long_d29,0.3917,1.0,16
3,within_long_d30,0.3911,1.0,14
3,within_long_d31,0.3905,1.0,12
3,within_long_d32,0.3946,1.0,10
3,within_long_d33,0.3965,1.0,8
3,within_long_d34,0.3923,1.0,6
3,within_long_d35,0.3898,1.0,4
3,within_long_d36,0.3886,1.0,2
4,within_long,0.5941,1.0,252000
4,within_short,0.9033,1.0,2400
4,cut,-0.2547,0.0,28800
4,cut,-0.2547,0.0,28800
4,within_long_d1,0.8674,1.0,70
4,within_long_d2,0.7633,1.0,68
4,within_long_d3,0.7172,1.0,66
4,within_long_d4,0.6924,1.0,64
4,within_long_d5,0.68,1.0,62
4,within_long_d6,0.6667,1.0,60
4,within_long_d7,0.6521,1.0,58
4,within_long_d8,0.6407,1.0,56
4,within_long_d9,0.637,1.0,54
4,within_long_d10,0.6303,1.0,52
4,within_long_d11,0.6293,1.0,50
4,within_long_d12,0.6223,1.0,48
4,within_long_d13,0.6184,1.0,46
4,within_long_d14,0.611,1.0,44
4,within_long_d15,0.6234,1.0,42
4,within_long_d16,0.641,1.0,40
4,within_long_d17,0.6446,1.0,38
4,within_long_d18,0.5555,1.0,36
4,within_long_d19,0.3876,1.0,34
4,within_long_d20,0.3819,1.0,32
4,within_long_d21,0.3764,1.0,30
4,within_long_d22,0.3706,1.0,28
4,within_long_d23,0.3643,1.0,26
4,within_long_d24,0.3583,1.0,24
4,within_long_d25,0.3516,1.0,22
4,within_long_d26,0.3423,1.0,20
4,within_long_d27,0.329,1.0,18
4,within_long_d28,0.3207,1.0,16
4,within_long_d29,0.3171,1.0,14
4,within_long_d30,0.3134,1.0,12
4,within_long_d31,0.3129,1.0,10
4,within_long_d32,0.3133,1.0,8
4,within_long_d33,0.3111,1.0,6
4,within_long_d34,0.3076,1.0,4
4,within_long_d35,0.3027,1.0,2
5,within_long,0.6784,1.0,238000
5,within_short,0.8952,1.0,4000
5,cut,-0.3095,0.0,35000
5,cut,-0.3095,0.0,35000
5,within_long_d1,0.8989,1.0,68
5,within_long_d2,0.8216,1.0,66
5,within_long_d3,0.7886,1.0,64
5,within_long_d4,0.7689,1.0,62
5,within_long_d5,0.7575,1.0,60
5,within_long_d6,0.7463,1.0,58
5,within_long_d7,0.7339,1.0,56
5,within_long_d8,0.7234,1.0,54
5,within_long_d9,0.7175,1.0,52
5,within_long_d10,0.7091,1.0,50
5,within_long_d11,0.7049,1.0,48
5,within_long_d12,0.697,1.0,46
5,within_long_d13,0.6916,1.0,44
5,within_long_d14,0.6825,1.0,42
5,within_long_d15,0.6867,1.0,40
5,within_long_d16,0.6955,1.0,38
