split_a,mode,metric,distance,value,n_pairs
3,random,reach_long_by_dist,1,1.0,74
3,random,reach_long_by_dist,2,1.0,74
3,random,reach_long_by_dist,3,1.0,74
3,random,reach_long_by_dist,4,1.0,74
3,random,reach_long_by_dist,5,1.0,74
3,random,reach_long_by_dist,6,1.0,74
3,random,reach_long_by_dist,7,1.0,74
3,random,reach_long_by_dist,8,1.0,74
3,random,reach_long_by_dist,9,1.0,74
3,random,reach_long_by_dist,10,1.0,74
3,random,reach_long_by_dist,11,1.0,74
3,random,reach_long_by_dist,12,1.0,74
3,random,reach_long_by_dist,13,1.0,74
3,random,reach_long_by_dist,14,1.0,74
3,random,reach_long_by_dist,15,1.0,74
3,random,reach_long_by_dist,16,1.0,74
3,random,reach_long_by_dist,17,1.0,74
3,random,reach_long_by_dist,18,1.0,74
3,random,exact,,0.0,
3,random,reach_long,,1.0,
3,random,reach_short,,1.0,
3,random,cut,,0.0,
3,random,pred_positive_rate,,1.0,
4,random,reach_long_by_dist,1,1.0,72
4,random,reach_long_by_dist,2,1.0,72
4,random,reach_long_by_dist,3,1.0,72
4,random,reach_long_by_dist,4,1.0,72
4,random,reach_long_by_dist,5,1.0,72
4,random,reach_long_by_dist,6,1.0,72
4,random,reach_long_by_dist,7,1.0,72
4,random,reach_long_by_dist,8,1.0,72
4,random,reach_long_by_dist,9,1.0,72
4,random,reach_long_by_dist,10,1.0,72
4,random,reach_long_by_dist,11,1.0,72
4,random,reach_long_by_dist,12,1.0,72
4,random,reach_long_by_dist,13,1.0,72
4,random,reach_long_by_dist,14,1.0,72
4,random,reach_long_by_dist,15,1.0,72
4,random,reach_long_by_dist,16,1.0,72
4,random,reach_long_by_dist,17,1.0,72
4,random,reach_long_by_dist,18,1.0,36
4,random,exact,,0.0,
4,random,reach_long,,1.0,
4,random,reach_short,,1.0,
4,random,cut,,0.0,
4,random,pred_positive_rate,,1.0,
5,random,reach_long_by_dist,1,1.0,70
5,random,reach_long_by_dist,2,1.0,70
5,random,reach_long_by_dist,3,1.0,70
5,random,reach_long_by_dist,4,1.0,70
5,random,reach_long_by_dist,5,1.0,70
5,random,reach_long_by_dist,6,1.0,70
5,random,reach_long_by_dist,7,1.0,70
5,random,reach_long_by_dist,8,1.0,70
5,random,reach_long_by_dist,9,1.0,70
5,random,reach_long_by_dist,10,1.0,70
5,random,reach_long_by_dist,11,1.0,70
5,random,reach_long_by_dist,12,1.0,70
5,random,reach_long_by_dist,13,1.0,70
5,random,reach_long_by_dist,14,1.0,70
5,random,reach_long_by_dist,15,1.0,70
5,random,reach_long_by_dist,16,1.0,70
5,random,reach_long_by_dist,17,1.0,70
5,random,exact,,0.0,
5,random,reach_long,,1.0,
5,random,reach_short,,1.0,
5,random,cut,,0.0,
5,random,pred_positive_rate,,1.0,
6,random,reach_long_by_dist,1,1.0,68
6,random,reach_long_by_dist,2,1.0,68
6,random,reach_long_by_dist,3,1.0,68
6,random,reach_long_by_dist,4,1.0,68
6,random,reach_long_by_dist,5,1.0,68
6,random,reach_long_by_dist,6,1.0,68
6,random,reach_long_by_dist,7,1.0,68
6,random,reach_long_by_dist,8,1.0,68
6,random,reach_long_by_dist,9,1.0,68
6,random,reach_long_by_dist,10,1.0,68
6,random,reach_long_by_dist,11,1.0,68
6,random,reach_long_by_dist,12,1.0,68
6,random,reach_long_by_dist,13,1.0,68
6,random,reach_long_by_dist,14,1.0,68
6,random,reach_long_by_dist,15,1.0,68
6,random,reach_long_by_dist,16,1.0,68
6,random,reach_long_by_dist,17,1.0,34
6,random,exact,,0.0,
6,random,reach_long,,1.0,
6,random,reach_short,,1.0,
6,random,cut,,0.0,
6,random,pred_positive_rate,,1.0,
7,random,reach_long_by_dist,1,1.0,66
7,random,reach_long_by_dist,2,1.0,66
7,random,reach_long_by_dist,3,1.0,66
7,random,reach_long_by_dist,4,1.0,66
7,random,reach_long_by_dist,5,1.0,66
7,random,reach_long_by_dist,6,1.0,66
7,random,reach_long_by_dist,7,1.0,66
7,random,reach_long_by_dist,8,1.0,66
7,random,reach_long_by_dist,9,1.0,66
7,random,reach_long_by_dist,10,1.0,66
7,random,reach_long_by_dist,11,1.0,66
7,random,reach_long_by_dist,12,1.0,66
7,random,reach_long_by_dist,13,1.0,66
7,random,reach_long_by_dist,14,1.0,66
7,random,reach_long_by_dist,15,1.0,66
7,random,reach_long_by_dist,16,1.0,66
7,random,exact,,0.0,
7,random,reach_long,,1.0,
7,random,reach_short,,1.0,
7,random,cut,,0.0,
7,random,pred_positive_rate,,1.0,
8,random,reach_long_by_dist,1,1.0,64
8,random,reach_long_by_dist,2,1.0,64
8,random,reach_long_by_dist,3,1.0,64
8,random,reach_long_by_dist,4,1.0,64
8,random,reach_long_by_dist,5,1.0,64
8,random,reach_long_by_dist,6,1.0,64
