split_a,pair_type,mean_cos,frac_positive,n_pairs
3,within_long,0.9178,1.0,266400
3,within_short,1.0,1.0,1200
3,cut,0.6597,1.0,22200
3,cut,0.6597,1.0,22200
3,within_long_d1,0.9701,1.0,74
3,within_long_d2,0.9459,1.0,74
3,within_long_d3,0.9335,1.0,74
3,within_long_d4,0.9262,1.0,74
3,within_long_d5,0.9235,1.0,74
3,within_long_d6,0.9204,1.0,74
3,within_long_d7,0.9161,1.0,74
3,within_long_d8,0.9132,1.0,74
3,within_long_d9,0.9122,1.0,74
3,within_long_d10,0.9095,1.0,74
3,within_long_d11,0.9088,1.0,74
3,within_long_d12,0.9068,1.0,74
3,within_long_d13,0.9047,1.0,74
3,within_long_d14,0.9044,1.0,74
3,within_long_d15,0.9079,1.0,74
3,within_long_d16,0.9104,1.0,74
3,within_long_d17,0.9102,1.0,74
3,within_long_d18,0.897,1.0,74
4,within_long,0.9214,1.0,252000
4,within_short,0.9933,1.0,2400
4,cut,0.7523,1.0,28800
4,cut,0.7523,1.0,28800
4,within_long_d1,0.971,1.0,72
4,within_long_d2,0.9474,1.0,72
4,within_long_d3,0.9352,1.0,72
4,within_long_d4,0.9281,1.0,72
4,within_long_d5,0.9256,1.0,72
4,within_long_d6,0.9225,1.0,72
4,within_long_d7,0.9184,1.0,72
4,within_long_d8,0.9157,1.0,72
4,within_long_d9,0.9147,1.0,72
4,within_long_d10,0.912,1.0,72
4,within_long_d11,0.9113,1.0,72
4,within_long_d12,0.9094,1.0,72
4,within_long_d13,0.9074,1.0,72
4,within_long_d14,0.9072,1.0,72
4,within_long_d15,0.9106,1.0,72
4,within_long_d16,0.913,1.0,72
4,within_long_d17,0.9127,1.0,72
4,within_long_d18,0.923,1.0,36
5,within_long,0.9252,1.0,238000
5,within_short,0.9961,1.0,4000
5,cut,0.7379,1.0,35000
5,cut,0.7379,1.0,35000
5,within_long_d1,0.9719,1.0,70
5,within_long_d2,0.949,1.0,70
5,within_long_d3,0.9373,1.0,70
