split_a,branch,category,value
4,dZ_attn1,within_short,7.17892
4,dZ_attn1,within_long_near,3.52243
4,dZ_attn1,within_long_far,0.79259
4,dZ_attn1,cross,0.81991
4,dZ_mlp1,within_short,1.3886
4,dZ_mlp1,within_long_near,1.58772
4,dZ_mlp1,within_long_far,1.00005
4,dZ_mlp1,cross,0.78098
4,dZ_attn2,within_short,1.38211
4,dZ_attn2,within_long_near,12.32122
4,dZ_attn2,within_long_far,2.40437
4,dZ_attn2,cross,1.41453
4,dZ_mlp2,within_short,1.07995
4,dZ_mlp2,within_long_near,10.6874
4,dZ_mlp2,within_long_far,27.37289
4,dZ_mlp2,cross,24.19141
20,dZ_attn1,within_short,3.39818
20,dZ_attn1,within_long_near,3.53944
20,dZ_attn1,within_long_far,0.79429
20,dZ_attn1,cross,0.78915
20,dZ_mlp1,within_short,1.52219
20,dZ_mlp1,within_long_near,1.58906
20,dZ_mlp1,within_long_far,1.04132
20,dZ_mlp1,cross,0.99205
20,dZ_attn2,within_short,18.06582
20,dZ_attn2,within_long_near,17.71347
20,dZ_attn2,within_long_far,24.51366
20,dZ_attn2,cross,-5.13636
20,dZ_mlp2,within_short,5.80465
20,dZ_mlp2,within_long_near,5.7632
20,dZ_mlp2,within_long_far,5.67829
20,dZ_mlp2,cross,34.2431
