split_a,stage,quantity,value
4,H0,mu_short,0.66099
4,H0,mu_long_near,0.09738
4,H0,mu_long_far,-0.01514
4,H0,mu_cross,-0.01473
4,H0,M_far,-0.00041
4,Hattn1,mu_short,0.88047
4,Hattn1,mu_long_near,0.20507
4,Hattn1,mu_long_far,0.00909
4,Hattn1,mu_cross,0.01034
4,Hattn1,M_far,-0.00125
4,H1,mu_short,0.92292
4,H1,mu_long_near,0.25361
4,H1,mu_long_far,0.03966
4,H1,mu_cross,0.03421
4,H1,M_far,0.00545
4,Hattn2,mu_short,0.96517
4,Hattn2,mu_long_near,0.63029
4,Hattn2,mu_long_far,0.11317
4,Hattn2,mu_cross,0.07746
4,Hattn2,M_far,0.03571
4,H2,mu_short,0.99819
4,H2,mu_long_near,0.95703
4,H2,mu_long_far,0.95001
4,H2,mu_cross,0.81703
4,H2,M_far,0.13297
20,H0,mu_short,0.09185
20,H0,mu_long_near,0.09722
20,H0,mu_long_far,-0.01564
20,H0,mu_cross,-0.01506
20,H0,M_far,-0.00057
20,Hattn1,mu_short,0.19574
20,Hattn1,mu_long_near,0.20542
20,Hattn1,mu_long_far,0.00865
20,Hattn1,mu_cross,0.00906
20,Hattn1,M_far,-0.00041
20,H1,mu_short,0.24228
20,H1,mu_long_near,0.254
20,H1,mu_long_far,0.04048
20,H1,mu_cross,0.03939
20,H1,M_far,0.00109
20,Hattn2,mu_short,0.79458
20,Hattn2,mu_long_near,0.79554
20,Hattn2,mu_long_far,0.78991
20,Hattn2,mu_cross,-0.11764
20,Hattn2,M_far,0.90755
20,H2,mu_short,0.97204
20,H2,mu_long_near,0.97173
20,H2,mu_long_far,0.96351
20,H2,mu_cross,0.92924
20,H2,M_far,0.03427
