split_a,stage,metric,value
4,H0,exact,0.0
4,H0,reach_long,0.11429
4,H0,reach_long_near,0.22222
4,H0,reach_long_far,0.0
4,H0,reach_short,1.0
4,H0,cut,1.0
4,H0,pred_positive_rate,0.1225
4,Hattn1,exact,0.0
4,Hattn1,reach_long,0.18924
4,Hattn1,reach_long_near,0.36796
4,Hattn1,reach_long_far,0.0
4,Hattn1,reach_short,1.0
4,Hattn1,cut,1.0
4,Hattn1,pred_positive_rate,0.18152
4,H1,exact,0.0
4,H1,reach_long,0.31471
4,H1,reach_long_near,0.61193
4,H1,reach_long_far,0.0
4,H1,reach_short,1.0
4,H1,cut,1.0
4,H1,pred_positive_rate,0.28033
4,Hattn2,exact,0.0
4,Hattn2,reach_long,0.6943
4,Hattn2,reach_long_near,1.0
4,Hattn2,reach_long_far,0.37061
4,Hattn2,reach_short,1.0
4,Hattn2,cut,0.99989
4,Hattn2,pred_positive_rate,0.57928
4,H2,exact,0.0
4,H2,reach_long,1.0
4,H2,reach_long_near,1.0
4,H2,reach_long_far,1.0
4,H2,reach_short,1.0
4,H2,cut,0.0
4,H2,pred_positive_rate,1.0
20,H0,exact,0.0
20,H0,reach_long,0.21053
20,H0,reach_long_near,0.22222
20,H0,reach_long_far,0.0
20,H0,reach_short,0.21053
20,H0,cut,1.0
20,H0,pred_positive_rate,0.125
20,Hattn1,exact,0.0
20,Hattn1,reach_long,0.35008
20,Hattn1,reach_long_near,0.36953
20,Hattn1,reach_long_far,0.0
20,Hattn1,reach_short,0.34984
20,Hattn1,cut,1.0
20,Hattn1,pred_positive_rate,0.19123
20,H1,exact,0.0
20,H1,reach_long,0.58257
20,H1,reach_long_near,0.61493
20,H1,reach_long_far,0.0
20,H1,reach_short,0.57681
20,H1,cut,1.0
20,H1,pred_positive_rate,0.30035
20,Hattn2,exact,1.0
20,Hattn2,reach_long,1.0
20,Hattn2,reach_long_near,1.0
20,Hattn2,reach_long_far,1.0
20,Hattn2,reach_short,1.0
20,Hattn2,cut,1.0
20,Hattn2,pred_positive_rate,0.5
20,H2,exact,0.0
20,H2,reach_long,1.0
20,H2,reach_long_near,1.0
20,H2,reach_long_far,1.0
20,H2,reach_short,1.0
20,H2,cut,0.0
20,H2,pred_positive_rate,1.0
