split_a,pair_type,mean_cos,frac_positive,n_pairs
3,within_long,0.5544,0.9695,361200
3,within_short,1.0,1.0,1200
3,cut,-0.4528,0.0,25800
3,cut,-0.4528,0.0,25800
3,within_long_d1,0.86,1.0,86
3,within_long_d2,0.7528,1.0,86
3,within_long_d3,0.6876,1.0,86
3,within_long_d4,0.6459,1.0,86
3,within_long_d5,0.608,1.0,86
3,within_long_d6,0.5719,1.0,86
3,within_long_d7,0.5631,1.0,86
3,within_long_d8,0.5586,1.0,86
3,within_long_d9,0.5524,1.0,86
3,within_long_d10,0.5475,1.0,86
3,within_long_d11,0.5463,1.0,86
3,within_long_d12,0.5539,1.0,86
3,within_long_d13,0.5623,1.0,86
3,within_long_d14,0.5489,0.9997,86
3,within_long_d15,0.5418,0.9978,86
3,within_long_d16,0.5307,0.989,86
3,within_long_d17,0.4956,0.967,86
3,within_long_d18,0.4263,0.9129,86
3,within_long_d19,0.3632,0.8324,86
3,within_long_d20,0.3631,0.8299,86
3,within_long_d21,0.363,0.8316,86
4,within_long,0.5011,0.9995,344400
4,within_short,0.9812,1.0,2400
4,cut,-0.4395,0.0,33600
4,cut,-0.4395,0.0,33600
4,within_long_d1,0.8416,1.0,84
4,within_long_d2,0.7199,1.0,84
4,within_long_d3,0.6452,1.0,84
4,within_long_d4,0.5981,1.0,84
4,within_long_d5,0.555,1.0,84
4,within_long_d6,0.5143,1.0,84
4,within_long_d7,0.5047,1.0,84
4,within_long_d8,0.4998,1.0,84
4,within_long_d9,0.493,1.0,84
4,within_long_d10,0.4878,1.0,84
4,within_long_d11,0.4871,1.0,84
4,within_long_d12,0.4965,1.0,84
4,within_long_d13,0.5064,1.0,84
4,within_long_d14,0.4917,0.9995,84
4,within_long_d15,0.4841,0.9995,84
4,within_long_d16,0.4714,0.9995,84
4,within_long_d17,0.4299,0.9992,84
4,within_long_d18,0.3496,0.9987,84
4,within_long_d19,0.2789,0.9979,84
4,within_long_d20,0.2789,0.9976,84
4,within_long_d21,0.2789,0.9974,42
5,within_long,0.4695,0.9915,328000
5,within_short,0.9635,1.0,4000
5,cut,-0.4416,0.0,41000
5,cut,-0.4416,0.0,41000
5,within_long_d1,0.8283,1.0,82
5,within_long_d2,0.696,1.0,82
5,within_long_d3,0.6154,1.0,82
5,within_long_d4,0.565,1.0,82
5,within_long_d5,0.5196,1.0,82
5,within_long_d6,0.4762,1.0,82
5,within_long_d7,0.4662,1.0,82
5,within_long_d8,0.4613,1.0,82
5,within_long_d9,0.454,1.0,82
5,within_long_d10,0.4487,1.0,82
5,within_long_d11,0.4484,1.0,82
5,within_long_d12,0.4591,1.0,82
5,within_long_d13,0.4705,1.0,82
5,within_long_d14,0.4552,0.9998,82
5,within_long_d15,0.4486,0.9994,82
5,within_long_d16,0.4356,0.9973,82
5,within_long_d17,0.3911,0.9895,82
5,within_long_d18,0.3035,0.971,82
5,within_long_d19,0.2241,0.9362,82
5,within_long_d20,0.2242,0.9365,82
6,within_long,0.5066,0.9882,312000
6,within_short,0.9756,1.0,6000
6,cut,-0.5165,0.0,48000
6,cut,-0.5165,0.0,48000
6,within_long_d1,0.8389,1.0,80
6,within_long_d2,0.7148,1.0,80
6,within_long_d3,0.6385,1.0,80
6,within_long_d4,0.5906,1.0,80
6,within_long_d5,0.5482,1.0,80
6,within_long_d6,0.5072,1.0,80
6,within_long_d7,0.4973,1.0,80
6,within_long_d8,0.4924,1.0,80
6,within_long_d9,0.4858,1.0,80
6,within_long_d10,0.4807,1.0,80
6,within_long_d11,0.4803,1.0,80
6,within_long_d12,0.4898,1.0,80
6,within_long_d13,0.5001,1.0,80
6,within_long_d14,0.4865,0.9998,80
6,within_long_d15,0.48,0.9986,80
6,within_long_d16,0.4673,0.9942,80
6,within_long_d17,0.4264,0.9821,80
6,within_long_d18,0.3453,0.9489,80
6,within_long_d19,0.2718,0.8979,80
6,within_long_d20,0.2719,0.898,40
7,within_long,0.2756,0.8973,296400
7,within_short,0.9441,1.0,8400
7,cut,-0.414,0.0,54600
7,cut,-0.414,0.0,54600
7,within_long_d1,0.7536,1.0,78
7,within_long_d2,0.5601,1.0,78
7,within_long_d3,0.4465,1.0,78
7,within_long_d4,0.3775,1.0,78
7,within_long_d5,0.3173,1.0,78
7,within_long_d6,0.2606,1.0,78
7,within_long_d7,0.2488,1.0,78
7,within_long_d8,0.2424,0.9999,78
7,within_long_d9,0.2334,1.0,78
7,within_long_d10,0.2272,1.0,78
7,within_long_d11,0.2275,0.9997,78
7,within_long_d12,0.2434,0.9996,78
7,within_long_d13,0.2611,0.9986,78
7,within_long_d14,0.2457,0.991,78
7,within_long_d15,0.2422,0.9668,78
7,within_long_d16,0.2291,0.9049,78
7,within_long_d17,0.1678,0.7576,78
7,within_long_d18,0.0355,0.4309,78
7,within_long_d19,-0.0825,0.0,78
8,within_long,0.2852,0.9218,281200
8,within_short,0.9266,1.0,11200
8,cut,-0.4158,0.0,60800
8,cut,-0.4158,0.0,60800
8,within_long_d1,0.7538,1.0,76
8,within_long_d2,0.5594,1.0,76
8,within_long_d3,0.4463,1.0,76
8,within_long_d4,0.3776,1.0,76
8,within_long_d5,0.3172,1.0,76
8,within_long_d6,0.2607,1.0,76
8,within_long_d7,0.2485,1.0,76
8,within_long_d8,0.2422,1.0,76
8,within_long_d9,0.233,1.0,76
8,within_long_d10,0.2266,0.9999,76
8,within_long_d11,0.2269,0.9996,76
8,within_long_d12,0.2432,0.9999,76
8,within_long_d13,0.2606,0.9989,76
8,within_long_d14,0.2454,0.9917,76
8,within_long_d15,0.2426,0.9682,76
8,within_long_d16,0.2297,0.9066,76
8,within_long_d17,0.1679,0.7601,76
8,within_long_d18,0.0353,0.428,76
8,within_long_d19,-0.0822,0.0,38
9,within_long,0.2948,0.9471,266400
9,within_short,0.8999,1.0,14400
9,cut,-0.3994,0.0,66600
9,cut,-0.3994,0.0,66600
9,within_long_d1,0.7541,1.0,74
9,within_long_d2,0.5597,1.0,74
9,within_long_d3,0.4462,1.0,74
9,within_long_d4,0.3774,1.0,74
9,within_long_d5,0.3169,1.0,74
9,within_long_d6,0.2599,1.0,74
9,within_long_d7,0.2477,1.0,74
9,within_long_d8,0.2412,1.0,74
9,within_long_d9,0.2322,1.0,74
9,within_long_d10,0.2259,0.9997,74
9,within_long_d11,0.2264,0.9993,74
9,within_long_d12,0.2423,0.9993,74
9,within_long_d13,0.2599,0.9981,74
9,within_long_d14,0.2445,0.9903,74
9,within_long_d15,0.2417,0.9662,74
9,within_long_d16,0.2294,0.9065,74
9,within_long_d17,0.167,0.7574,74
9,within_long_d18,0.0346,0.4301,74
10,within_long,0.3054,0.9688,252000
10,within_short,0.865,1.0,18000
10,cut,-0.3883,0.0,72000
10,cut,-0.3883,0.0,72000
10,within_long_d1,0.7535,1.0,72
10,within_long_d2,0.5588,1.0,72
10,within_long_d3,0.4449,1.0,72
10,within_long_d4,0.377,1.0,72
10,within_long_d5,0.3169,1.0,72
10,within_long_d6,0.2603,1.0,72
10,within_long_d7,0.2483,1.0,72
10,within_long_d8,0.2419,1.0,72
10,within_long_d9,0.2325,0.9999,72
