split_a,pair_type,mean_cos,frac_positive,n_pairs
3,within_long,0.5544,0.9971,361200
3,within_short,1.0,1.0,1200
3,cut,-0.4528,0.0,25800
3,cut,-0.4528,0.0,25800
3,within_long_d1,0.86,1.0,86
3,within_long_d2,0.7528,1.0,86
3,within_long_d3,0.6876,1.0,86
3,within_long_d4,0.6459,1.0,86
3,within_long_d5,0.608,1.0,86
3,within_long_d6,0.5719,1.0,86
3,within_long_d7,0.5631,1.0,86
3,within_long_d8,0.5586,1.0,86
3,within_long_d9,0.5524,1.0,86
3,within_long_d10,0.5475,1.0,86
3,within_long_d11,0.5463,1.0,86
3,within_long_d12,0.5539,1.0,86
3,within_long_d13,0.5623,1.0,86
3,within_long_d14,0.5489,1.0,86
3,within_long_d15,0.5418,0.9998,86
3,within_long_d16,0.5307,0.9993,86
3,within_long_d17,0.4956,0.9974,86
3,within_long_d18,0.4263,0.9928,86
3,within_long_d19,0.3632,0.9829,86
3,within_long_d20,0.3631,0.9836,86
3,within_long_d21,0.363,0.9835,86
4,within_long,0.5011,1.0,344400
4,within_short,0.9812,1.0,2400
4,cut,-0.4395,0.0,33600
4,cut,-0.4395,0.0,33600
4,within_long_d1,0.8416,1.0,84
4,within_long_d2,0.7199,1.0,84
4,within_long_d3,0.6452,1.0,84
4,within_long_d4,0.5981,1.0,84
4,within_long_d5,0.555,1.0,84
4,within_long_d6,0.5143,1.0,84
4,within_long_d7,0.5047,1.0,84
4,within_long_d8,0.4998,1.0,84
4,within_long_d9,0.493,1.0,84
4,within_long_d10,0.4878,1.0,84
4,within_long_d11,0.4871,1.0,84
4,within_long_d12,0.4965,1.0,84
4,within_long_d13,0.5064,1.0,84
4,within_long_d14,0.4917,1.0,84
4,within_long_d15,0.4841,1.0,84
4,within_long_d16,0.4714,1.0,84
4,within_long_d17,0.4299,1.0,84
4,within_long_d18,0.3496,1.0,84
4,within_long_d19,0.2789,1.0,84
4,within_long_d20,0.2789,1.0,84
4,within_long_d21,0.2789,1.0,42
5,within_long,0.4695,0.9996,328000
5,within_short,0.9635,1.0,4000
5,cut,-0.4416,0.0,41000
5,cut,-0.4416,0.0,41000
5,within_long_d1,0.8283,1.0,82
5,within_long_d2,0.696,1.0,82
5,within_long_d3,0.6154,1.0,82
5,within_long_d4,0.565,1.0,82
5,within_long_d5,0.5196,1.0,82
5,within_long_d6,0.4762,1.0,82
5,within_long_d7,0.4662,1.0,82
5,within_long_d8,0.4613,1.0,82
5,within_long_d9,0.454,1.0,82
5,within_long_d10,0.4487,1.0,82
5,within_long_d11,0.4484,1.0,82
5,within_long_d12,0.4591,1.0,82
5,within_long_d13,0.4705,1.0,82
5,within_long_d14,0.4552,1.0,82
5,within_long_d15,0.4486,1.0,82
5,within_long_d16,0.4356,1.0,82
5,within_long_d17,0.3911,0.9999,82
5,within_long_d18,0.3035,0.9988,82
5,within_long_d19,0.2241,0.9963,82
5,within_long_d20,0.2242,0.9962,82
6,within_long,0.5066,0.9993,312000
6,within_short,0.9756,1.0,6000
6,cut,-0.5165,0.0,48000
6,cut,-0.5165,0.0,48000
6,within_long_d1,0.8389,1.0,80
6,within_long_d2,0.7148,1.0,80
6,within_long_d3,0.6385,1.0,80
6,within_long_d4,0.5906,1.0,80
6,within_long_d5,0.5482,1.0,80
6,within_long_d6,0.5072,1.0,80
6,within_long_d7,0.4973,1.0,80
6,within_long_d8,0.4924,1.0,80
6,within_long_d9,0.4858,1.0,80
6,within_long_d10,0.4807,1.0,80
6,within_long_d11,0.4803,1.0,80
6,within_long_d12,0.4898,1.0,80
6,within_long_d13,0.5001,1.0,80
6,within_long_d14,0.4865,1.0,80
6,within_long_d15,0.48,1.0,80
6,within_long_d16,0.4673,0.9998,80
6,within_long_d17,0.4264,0.9994,80
6,within_long_d18,0.3453,0.9975,80
6,within_long_d19,0.2718,0.9935,80
6,within_long_d20,0.2719,0.9942,40
7,within_long,0.2756,0.8988,296400
7,within_short,0.9441,1.0,8400
