split_a,mode,metric,distance,value,n_pairs
4,random,reach_long_by_dist,1,1.0,86
4,random,reach_long_by_dist,2,1.0,92
4,random,reach_long_by_dist,3,1.0,100
4,random,reach_long_by_dist,4,1.0,108
4,random,reach_long_by_dist,5,1.0,116
4,random,reach_long_by_dist,6,1.0,124
4,random,reach_long_by_dist,7,1.0,132
4,random,reach_long_by_dist,8,1.0,140
4,random,reach_long_by_dist,9,1.0,148
4,random,reach_long_by_dist,10,1.0,156
4,random,reach_long_by_dist,11,1.0,120
4,random,reach_long_by_dist,12,1.0,76
4,random,reach_long_by_dist,13,1.0,68
4,random,reach_long_by_dist,14,1.0,60
4,random,reach_long_by_dist,15,1.0,52
4,random,reach_long_by_dist,16,1.0,44
4,random,reach_long_by_dist,17,1.0,36
4,random,reach_long_by_dist,18,1.0,28
4,random,reach_long_by_dist,19,1.0,20
4,random,reach_long_by_dist,20,1.0,12
4,random,reach_long_by_dist,21,1.0,4
4,random,exact,,1.0,
4,random,reach_long,,1.0,
4,random,reach_short,,1.0,
4,random,cut,,1.0,
4,random,pred_positive_rate,,0.8412,
5,random,reach_long_by_dist,1,1.0,84
5,random,reach_long_by_dist,2,1.0,90
5,random,reach_long_by_dist,3,1.0,98
5,random,reach_long_by_dist,4,1.0,106
5,random,reach_long_by_dist,5,1.0,114
5,random,reach_long_by_dist,6,1.0,122
5,random,reach_long_by_dist,7,1.0,130
5,random,reach_long_by_dist,8,1.0,138
5,random,reach_long_by_dist,9,1.0,146
5,random,reach_long_by_dist,10,1.0,154
5,random,reach_long_by_dist,11,1.0,98
5,random,reach_long_by_dist,12,1.0,72
5,random,reach_long_by_dist,13,1.0,64
5,random,reach_long_by_dist,14,1.0,56
5,random,reach_long_by_dist,15,1.0,48
5,random,reach_long_by_dist,16,1.0,40
5,random,reach_long_by_dist,17,1.0,32
5,random,reach_long_by_dist,18,1.0,24
5,random,reach_long_by_dist,19,1.0,16
5,random,reach_long_by_dist,20,1.0,8
5,random,exact,,1.0,
5,random,reach_long,,1.0,
5,random,reach_short,,1.0,
5,random,cut,,1.0,
5,random,pred_positive_rate,,0.8062,
6,random,reach_long_by_dist,1,1.0,82
6,random,reach_long_by_dist,2,1.0,88
6,random,reach_long_by_dist,3,1.0,96
6,random,reach_long_by_dist,4,1.0,104
6,random,reach_long_by_dist,5,1.0,112
6,random,reach_long_by_dist,6,1.0,120
6,random,reach_long_by_dist,7,1.0,128
6,random,reach_long_by_dist,8,1.0,136
6,random,reach_long_by_dist,9,1.0,144
6,random,reach_long_by_dist,10,1.0,152
6,random,reach_long_by_dist,11,1.0,76
6,random,reach_long_by_dist,12,1.0,68
6,random,reach_long_by_dist,13,1.0,60
6,random,reach_long_by_dist,14,1.0,52
6,random,reach_long_by_dist,15,1.0,44
6,random,reach_long_by_dist,16,1.0,36
6,random,reach_long_by_dist,17,1.0,28
6,random,reach_long_by_dist,18,1.0,20
6,random,reach_long_by_dist,19,1.0,12
6,random,reach_long_by_dist,20,1.0,2
6,random,exact,,1.0,
6,random,reach_long,,1.0,
6,random,reach_short,,1.0,
6,random,cut,,1.0,
6,random,pred_positive_rate,,0.7732,
7,random,reach_long_by_dist,1,1.0,80
7,random,reach_long_by_dist,2,1.0,86
7,random,reach_long_by_dist,3,1.0,94
7,random,reach_long_by_dist,4,1.0,102
7,random,reach_long_by_dist,5,1.0,110
7,random,reach_long_by_dist,6,1.0,118
7,random,reach_long_by_dist,7,1.0,126
7,random,reach_long_by_dist,8,1.0,134
7,random,reach_long_by_dist,9,1.0,142
7,random,reach_long_by_dist,10,1.0,130
7,random,reach_long_by_dist,11,1.0,72
7,random,reach_long_by_dist,12,1.0,64
7,random,reach_long_by_dist,13,1.0,56
7,random,reach_long_by_dist,14,1.0,48
7,random,reach_long_by_dist,15,1.0,40
7,random,reach_long_by_dist,16,1.0,32
7,random,reach_long_by_dist,17,1.0,24
7,random,reach_long_by_dist,18,1.0,16
7,random,reach_long_by_dist,19,1.0,8
7,random,exact,,0.99,
7,random,reach_long,,1.0,
7,random,reach_short,,0.999,
7,random,cut,,1.0,
7,random,pred_positive_rate,,0.7419,
8,random,reach_long_by_dist,1,1.0,78
8,random,reach_long_by_dist,2,1.0,84
8,random,reach_long_by_dist,3,1.0,92
8,random,reach_long_by_dist,4,1.0,100
8,random,reach_long_by_dist,5,1.0,108
8,random,reach_long_by_dist,6,1.0,116
8,random,reach_long_by_dist,7,1.0,124
8,random,reach_long_by_dist,8,1.0,132
8,random,reach_long_by_dist,9,1.0,140
8,random,reach_long_by_dist,10,1.0,108
8,random,reach_long_by_dist,11,1.0,68
8,random,reach_long_by_dist,12,1.0,60
8,random,reach_long_by_dist,13,1.0,52
8,random,reach_long_by_dist,14,1.0,44
8,random,reach_long_by_dist,15,1.0,36
8,random,reach_long_by_dist,16,1.0,28
8,random,reach_long_by_dist,17,1.0,20
8,random,reach_long_by_dist,18,1.0,12
8,random,reach_long_by_dist,19,1.0,4
8,random,exact,,1.0,
8,random,reach_long,,1.0,
8,random,reach_short,,1.0,
8,random,cut,,1.0,
8,random,pred_positive_rate,,0.7127,
9,random,reach_long_by_dist,1,1.0,76
9,random,reach_long_by_dist,2,1.0,82
9,random,reach_long_by_dist,3,1.0,90
9,random,reach_long_by_dist,4,1.0,98
9,random,reach_long_by_dist,5,1.0,106
9,random,reach_long_by_dist,6,1.0,114
9,random,reach_long_by_dist,7,1.0,122
9,random,reach_long_by_dist,8,1.0,130
9,random,reach_long_by_dist,9,1.0,138
9,random,reach_long_by_dist,10,1.0,88
9,random,reach_long_by_dist,11,1.0,64
9,random,reach_long_by_dist,12,1.0,56
9,random,reach_long_by_dist,13,1.0,48
9,random,reach_long_by_dist,14,1.0,40
9,random,reach_long_by_dist,15,1.0,32
9,random,reach_long_by_dist,16,1.0,24
9,random,reach_long_by_dist,17,1.0,16
9,random,reach_long_by_dist,18,1.0,8
9,random,exact,,0.825,
9,random,reach_long,,1.0,
9,random,reach_short,,1.0,
9,random,cut,,0.9822,
9,random,pred_positive_rate,,0.6909,
10,random,reach_long_by_dist,1,1.0,74
10,random,reach_long_by_dist,2,1.0,80
10,random,reach_long_by_dist,3,1.0,88
10,random,reach_long_by_dist,4,1.0,96
10,random,reach_long_by_dist,5,1.0,104
10,random,reach_long_by_dist,6,1.0,112
10,random,reach_long_by_dist,7,1.0,120
10,random,reach_long_by_dist,8,1.0,128
10,random,reach_long_by_dist,9,1.0,136
10,random,reach_long_by_dist,10,1.0,68
10,random,reach_long_by_dist,11,1.0,60
10,random,reach_long_by_dist,12,1.0,52
10,random,reach_long_by_dist,13,1.0,44
10,random,reach_long_by_dist,14,1.0,36
10,random,reach_long_by_dist,15,1.0,28
10,random,reach_long_by_dist,16,1.0,20
10,random,reach_long_by_dist,17,1.0,12
10,random,reach_long_by_dist,18,1.0,2
10,random,exact,,0.13,
10,random,reach_long,,1.0,
10,random,reach_short,,1.0,
10,random,cut,,0.8997,
10,random,pred_positive_rate,,0.6939,
11,random,reach_long_by_dist,1,1.0,72
11,random,reach_long_by_dist,2,1.0,78
