split_a,pair_type,mean_cos,frac_positive,n_pairs
4,within_long,0.9737,1.0,344400
4,within_short,0.9453,1.0,2400
4,cut,-0.6457,0.0,33600
4,cut,-0.6457,0.0,33600
4,within_long_d1,0.9943,1.0,86
4,within_long_d2,0.9882,1.0,92
4,within_long_d3,0.9812,1.0,100
4,within_long_d4,0.9757,1.0,108
4,within_long_d5,0.9721,1.0,116
4,within_long_d6,0.9691,1.0,124
4,within_long_d7,0.9666,1.0,132
4,within_long_d8,0.965,1.0,140
4,within_long_d9,0.9644,1.0,148
4,within_long_d10,0.9647,1.0,156
4,within_long_d11,0.9662,1.0,120
4,within_long_d12,0.9715,1.0,76
4,within_long_d13,0.9766,1.0,68
4,within_long_d14,0.9805,1.0,60
4,within_long_d15,0.983,1.0,52
4,within_long_d16,0.9841,1.0,44
4,within_long_d17,0.9846,1.0,36
4,within_long_d18,0.9848,1.0,28
4,within_long_d19,0.9849,1.0,20
4,within_long_d20,0.9849,1.0,12
4,within_long_d21,0.9849,1.0,4
5,within_long,0.9566,1.0,328000
5,within_short,0.9434,1.0,4000
5,cut,-0.6535,0.0,41000
5,cut,-0.6535,0.0,41000
5,within_long_d1,0.9908,1.0,84
5,within_long_d2,0.9814,1.0,90
5,within_long_d3,0.9709,1.0,98
5,within_long_d4,0.9625,1.0,106
5,within_long_d5,0.9564,1.0,114
5,within_long_d6,0.9506,1.0,122
5,within_long_d7,0.9453,1.0,130
5,within_long_d8,0.942,1.0,138
5,within_long_d9,0.9405,1.0,146
5,within_long_d10,0.9409,1.0,154
5,within_long_d11,0.9437,1.0,98
5,within_long_d12,0.9524,1.0,72
5,within_long_d13,0.9601,1.0,64
5,within_long_d14,0.9666,1.0,56
5,within_long_d15,0.9707,1.0,48
5,within_long_d16,0.9726,1.0,40
5,within_long_d17,0.9736,1.0,32
5,within_long_d18,0.9742,1.0,24
5,within_long_d19,0.9744,1.0,16
5,within_long_d20,0.9745,1.0,8
6,within_long,0.9316,1.0,312000
6,within_short,0.7994,1.0,6000
6,cut,-0.5617,0.0,48000
6,cut,-0.5617,0.0,48000
6,within_long_d1,0.9845,1.0,82
6,within_long_d2,0.97,1.0,88
6,within_long_d3,0.9546,1.0,96
6,within_long_d4,0.9409,1.0,104
6,within_long_d5,0.9306,1.0,112
6,within_long_d6,0.9211,1.0,120
6,within_long_d7,0.9125,1.0,128
6,within_long_d8,0.9071,1.0,136
6,within_long_d9,0.905,1.0,144
6,within_long_d10,0.9059,1.0,152
6,within_long_d11,0.9124,1.0,76
6,within_long_d12,0.9303,1.0,68
6,within_long_d13,0.9417,1.0,60
6,within_long_d14,0.9516,1.0,52
6,within_long_d15,0.9565,1.0,44
6,within_long_d16,0.9588,1.0,36
6,within_long_d17,0.9604,1.0,28
6,within_long_d18,0.9613,1.0,20
6,within_long_d19,0.9615,1.0,12
6,within_long_d20,0.9615,1.0,2
7,within_long,0.9233,1.0,296400
7,within_short,0.7652,1.0,8400
7,cut,-0.5327,0.0,54600
7,cut,-0.5327,0.0,54600
7,within_long_d1,0.9827,1.0,80
7,within_long_d2,0.9669,1.0,86
7,within_long_d3,0.9502,1.0,94
7,within_long_d4,0.9347,1.0,102
7,within_long_d5,0.9222,1.0,110
7,within_long_d6,0.9106,1.0,118
7,within_long_d7,0.9006,1.0,126
7,within_long_d8,0.8942,1.0,134
7,within_long_d9,0.8917,1.0,142
7,within_long_d10,0.8934,1.0,130
7,within_long_d11,0.9044,1.0,72
7,within_long_d12,0.9241,1.0,64
7,within_long_d13,0.9375,1.0,56
7,within_long_d14,0.9481,1.0,48
7,within_long_d15,0.953,1.0,40
7,within_long_d16,0.9555,1.0,32
7,within_long_d17,0.9571,1.0,24
7,within_long_d18,0.958,1.0,16
7,within_long_d19,0.9581,1.0,8
8,within_long,0.9227,1.0,281200
8,within_short,0.7315,1.0,11200
8,cut,-0.504,0.0,60800
8,cut,-0.504,0.0,60800
8,within_long_d1,0.9829,1.0,78
8,within_long_d2,0.967,1.0,84
8,within_long_d3,0.9505,1.0,92
8,within_long_d4,0.935,1.0,100
8,within_long_d5,0.922,1.0,108
8,within_long_d6,0.9098,1.0,116
8,within_long_d7,0.899,1.0,124
8,within_long_d8,0.8921,1.0,132
8,within_long_d9,0.8892,1.0,140
8,within_long_d10,0.8914,1.0,108
8,within_long_d11,0.9065,1.0,68
8,within_long_d12,0.9251,1.0,60
8,within_long_d13,0.9393,1.0,52
8,within_long_d14,0.949,1.0,44
8,within_long_d15,0.9534,1.0,36
8,within_long_d16,0.9557,1.0,28
8,within_long_d17,0.9573,1.0,20
8,within_long_d18,0.958,1.0,12
8,within_long_d19,0.9581,1.0,4
9,within_long,0.8376,1.0,266400
9,within_short,0.7057,1.0,14400
9,cut,-0.3189,0.0163,66600
9,cut,-0.3189,0.0163,66600
9,within_long_d1,0.9545,1.0,76
9,within_long_d2,0.9128,1.0,82
9,within_long_d3,0.8753,1.0,90
9,within_long_d4,0.8451,1.0,98
9,within_long_d5,0.8262,1.0,106
9,within_long_d6,0.8078,1.0,114
9,within_long_d7,0.7926,1.0,122
9,within_long_d8,0.7845,1.0,130
9,within_long_d9,0.7819,1.0,138
9,within_long_d10,0.7916,1.0,88
9,within_long_d11,0.8285,1.0,64
9,within_long_d12,0.8553,1.0,56
9,within_long_d13,0.876,1.0,48
9,within_long_d14,0.8895,1.0,40
9,within_long_d15,0.8969,1.0,32
9,within_long_d16,0.9028,1.0,24
9,within_long_d17,0.9079,1.0,16
9,within_long_d18,0.9109,1.0,8
10,within_long,0.503,1.0,252000
10,within_short,0.8382,1.0,18000
10,cut,-0.102,0.1096,72000
10,cut,-0.102,0.1096,72000
10,within_long_d1,0.8563,1.0,74
10,within_long_d2,0.7047,1.0,80
10,within_long_d3,0.5963,1.0,88
10,within_long_d4,0.5444,1.0,96
10,within_long_d5,0.5091,1.0,104
10,within_long_d6,0.4683,1.0,112
10,within_long_d7,0.4246,1.0,120
10,within_long_d8,0.4004,1.0,128
10,within_long_d9,0.3883,1.0,136
10,within_long_d10,0.3892,1.0,68
10,within_long_d11,0.3984,1.0,60
10,within_long_d12,0.4332,1.0,52
10,within_long_d13,0.4737,1.0,44
10,within_long_d14,0.5137,1.0,36
10,within_long_d15,0.5573,1.0,28
10,within_long_d16,0.6035,1.0,20
10,within_long_d17,0.6431,1.0,12
10,within_long_d18,0.6581,1.0,2
11,within_long,0.4654,1.0,238000
11,within_short,0.7932,1.0,22000
11,cut,-0.0913,0.1202,77000
11,cut,-0.0913,0.1202,77000
11,within_long_d1,0.8432,1.0,72
11,within_long_d2,0.6784,1.0,78
11,within_long_d3,0.5558,1.0,86
11,within_long_d4,0.4946,1.0,94
11,within_long_d5,0.4581,1.0,102
11,within_long_d6,0.4187,1.0,110
11,within_long_d7,0.3768,1.0,118
11,within_long_d8,0.3553,1.0,126
11,within_long_d9,0.3459,1.0,116
11,within_long_d10,0.3486,1.0,64
11,within_long_d11,0.3649,1.0,56
11,within_long_d12,0.4072,1.0,48
11,within_long_d13,0.4543,1.0,40
11,within_long_d14,0.4972,1.0,32
11,within_long_d15,0.5414,1.0,24
11,within_long_d16,0.587,1.0,16
11,within_long_d17,0.6238,1.0,8
12,within_long,0.5065,1.0,224400
12,within_short,0.7433,1.0,26400
12,cut,-0.0358,0.2803,81600
12,cut,-0.0358,0.2803,81600
12,within_long_d1,0.8561,1.0,70
12,within_long_d2,0.7038,1.0,76
12,within_long_d3,0.5839,1.0,84
12,within_long_d4,0.5189,1.0,92
12,within_long_d5,0.48,1.0,100
12,within_long_d6,0.4412,1.0,108
12,within_long_d7,0.4047,1.0,116
12,within_long_d8,0.3892,1.0,124
12,within_long_d9,0.39,1.0,96
12,within_long_d10,0.4131,1.0,60
12,within_long_d11,0.4519,1.0,52
12,within_long_d12,0.5054,1.0,44
12,within_long_d13,0.5538,1.0,36
12,within_long_d14,0.5877,1.0,28
12,within_long_d15,0.6181,1.0,20
12,within_long_d16,0.6488,1.0,12
12,within_long_d17,0.6705,1.0,4
13,within_long,0.5106,1.0,211200
13,within_short,0.6992,1.0,31200
13,cut,-0.0114,0.3537,85800
13,cut,-0.0114,0.3537,85800
13,within_long_d1,0.8556,1.0,68
13,within_long_d2,0.7032,1.0,74
13,within_long_d3,0.5828,1.0,82
13,within_long_d4,0.5177,1.0,90
13,within_long_d5,0.4795,1.0,98
13,within_long_d6,0.4423,1.0,106
13,within_long_d7,0.4084,1.0,114
13,within_long_d8,0.3952,1.0,122
13,within_long_d9,0.3996,1.0,78
13,within_long_d10,0.426,1.0,56
13,within_long_d11,0.4694,1.0,48
13,within_long_d12,0.5229,1.0,40
13,within_long_d13,0.5641,1.0,32
13,within_long_d14,0.5939,1.0,24
13,within_long_d15,0.6232,1.0,16
13,within_long_d16,0.652,1.0,8
14,within_long,0.5124,1.0,198400
14,within_short,0.6643,1.0,36400
14,cut,-0.0094,0.3642,89600
14,cut,-0.0094,0.3642,89600
14,within_long_d1,0.8539,1.0,66
14,within_long_d2,0.7002,1.0,72
14,within_long_d3,0.5796,1.0,80
14,within_long_d4,0.5158,1.0,88
14,within_long_d5,0.4785,1.0,96
14,within_long_d6,0.4424,1.0,104
14,within_long_d7,0.4101,1.0,112
14,within_long_d8,0.3985,1.0,120
14,within_long_d9,0.4076,1.0,60
14,within_long_d10,0.4343,1.0,52
14,within_long_d11,0.4811,1.0,44
14,within_long_d12,0.5343,1.0,36
14,within_long_d13,0.5691,1.0,28
14,within_long_d14,0.5952,1.0,20
14,within_long_d15,0.6246,1.0,12
14,within_long_d16,0.6557,1.0,2
15,within_long,0.512,1.0,186000
15,within_short,0.6428,1.0,42000
15,cut,0.0034,0.4008,93000
15,cut,0.0034,0.4008,93000
15,within_long_d1,0.8522,1.0,64
15,within_long_d2,0.6975,1.0,70
15,within_long_d3,0.5754,1.0,78
15,within_long_d4,0.5111,1.0,86
15,within_long_d5,0.474,1.0,94
15,within_long_d6,0.4387,1.0,102
15,within_long_d7,0.4093,1.0,110
15,within_long_d8,0.4004,1.0,102
15,within_long_d9,0.4126,1.0,56
15,within_long_d10,0.4426,1.0,48
15,within_long_d11,0.4883,1.0,40
15,within_long_d12,0.5352,1.0,32
15,within_long_d13,0.5646,1.0,24
15,within_long_d14,0.5858,1.0,16
15,within_long_d15,0.6067,1.0,8
16,within_long,0.5055,1.0,174000
16,within_short,0.6255,1.0,48000
16,cut,0.0027,0.406,96000
16,cut,0.0027,0.406,96000
16,within_long_d1,0.8484,1.0,62
16,within_long_d2,0.6896,1.0,68
16,within_long_d3,0.565,1.0,76
16,within_long_d4,0.5003,1.0,84
16,within_long_d5,0.4638,1.0,92
16,within_long_d6,0.4297,1.0,100
16,within_long_d7,0.4017,1.0,108
16,within_long_d8,0.3956,1.0,84
16,within_long_d9,0.409,1.0,52
16,within_long_d10,0.4413,1.0,44
16,within_long_d11,0.4858,1.0,36
16,within_long_d12,0.5264,1.0,28
16,within_long_d13,0.5516,1.0,20
16,within_long_d14,0.5677,1.0,12
16,within_long_d15,0.579,1.0,4
17,within_long,0.5052,1.0,162400
17,within_short,0.6046,1.0,54400
17,cut,0.0283,0.4442,98600
17,cut,0.0283,0.4442,98600
17,within_long_d1,0.8469,1.0,60
17,within_long_d2,0.6862,1.0,66
17,within_long_d3,0.5596,1.0,74
17,within_long_d4,0.4937,1.0,82
17,within_long_d5,0.4578,1.0,90
17,within_long_d6,0.4256,1.0,98
17,within_long_d7,0.4006,1.0,106
17,within_long_d8,0.3951,1.0,68
17,within_long_d9,0.4159,1.0,48
17,within_long_d10,0.4534,1.0,40
17,within_long_d11,0.4982,1.0,32
17,within_long_d12,0.5313,1.0,24
17,within_long_d13,0.547,1.0,16
17,within_long_d14,0.5542,1.0,8
18,within_long,0.4998,1.0,151200
18,within_short,0.5852,1.0,61200
18,cut,0.0326,0.4526,100800
18,cut,0.0326,0.4526,100800
18,within_long_d1,0.8416,1.0,58
18,within_long_d2,0.6772,1.0,64
18,within_long_d3,0.5481,1.0,72
18,within_long_d4,0.4837,1.0,80
18,within_long_d5,0.4498,1.0,88
18,within_long_d6,0.4194,1.0,96
18,within_long_d7,0.397,1.0,104
18,within_long_d8,0.3919,1.0,52
18,within_long_d9,0.4151,1.0,44
18,within_long_d10,0.4528,1.0,36
18,within_long_d11,0.4948,1.0,28
18,within_long_d12,0.5171,1.0,20
18,within_long_d13,0.5197,1.0,12
18,within_long_d14,0.5128,1.0,2
19,within_long,0.5043,1.0,140400
19,within_short,0.5592,1.0,68400
19,cut,0.0546,0.4817,102600
19,cut,0.0546,0.4817,102600
19,within_long_d1,0.8406,1.0,56
19,within_long_d2,0.6763,1.0,62
19,within_long_d3,0.5481,1.0,70
19,within_long_d4,0.4849,1.0,78
19,within_long_d5,0.4521,1.0,86
19,within_long_d6,0.4231,1.0,94
19,within_long_d7,0.4006,1.0,88
19,within_long_d8,0.3976,1.0,48
19,within_long_d9,0.4236,1.0,40
19,within_long_d10,0.4613,1.0,32
19,within_long_d11,0.4973,1.0,24
19,within_long_d12,0.5107,1.0,16
19,within_long_d13,0.5028,1.0,8
20,within_long,0.4976,1.0,130000
20,within_short,0.5416,1.0,76000
20,cut,0.0612,0.4802,104000
20,cut,0.0612,0.4802,104000
20,within_long_d1,0.8349,1.0,54
20,within_long_d2,0.6666,1.0,60
20,within_long_d3,0.5378,1.0,68
20,within_long_d4,0.4762,1.0,76
20,within_long_d5,0.4458,1.0,84
20,within_long_d6,0.4193,1.0,92
20,within_long_d7,0.3965,1.0,72
20,within_long_d8,0.3899,1.0,44
20,within_long_d9,0.4111,1.0,36
20,within_long_d10,0.4416,1.0,28
20,within_long_d11,0.4645,1.0,20
20,within_long_d12,0.4671,1.0,12
20,within_long_d13,0.4579,1.0,4
21,within_long,0.5005,1.0,120000
21,within_short,0.5268,1.0,84000
21,cut,0.0623,0.4676,105000
21,cut,0.0623,0.4676,105000
21,within_long_d1,0.8324,1.0,52
21,within_long_d2,0.6635,1.0,58
21,within_long_d3,0.537,1.0,66
21,within_long_d4,0.4793,1.0,74
21,within_long_d5,0.4528,1.0,82
21,within_long_d6,0.4274,1.0,90
21,within_long_d7,0.3964,1.0,58
21,within_long_d8,0.3898,1.0,40
21,within_long_d9,0.4049,1.0,32
21,within_long_d10,0.4243,1.0,24
21,within_long_d11,0.4327,1.0,16
21,within_long_d12,0.4249,1.0,8
22,within_long,0.5018,1.0,110400
22,within_short,0.5206,1.0,92400
22,cut,0.0721,0.4762,105600
22,cut,0.0721,0.4762,105600
22,within_long_d1,0.8282,1.0,50
22,within_long_d2,0.659,1.0,56
22,within_long_d3,0.5331,1.0,64
22,within_long_d4,0.4769,1.0,72
22,within_long_d5,0.4521,1.0,80
22,within_long_d6,0.4271,1.0,88
22,within_long_d7,0.3875,1.0,44
22,within_long_d8,0.3867,1.0,36
22,within_long_d9,0.4026,1.0,28
22,within_long_d10,0.4185,1.0,20
22,within_long_d11,0.4192,1.0,12
22,within_long_d12,0.4147,1.0,2
23,within_long,0.5099,1.0,101200
23,within_short,0.5115,1.0,101200
23,cut,0.0708,0.4731,105800
23,cut,0.0708,0.4731,105800
23,within_long_d1,0.828,1.0,48
23,within_long_d2,0.6621,1.0,54
23,within_long_d3,0.54,1.0,62
23,within_long_d4,0.486,1.0,70
23,within_long_d5,0.4607,1.0,78
23,within_long_d6,0.4332,1.0,74
23,within_long_d7,0.3904,1.0,40
23,within_long_d8,0.3857,1.0,32
23,within_long_d9,0.3934,1.0,24
23,within_long_d10,0.4002,1.0,16
23,within_long_d11,0.4054,1.0,8
