split_a,pair_type,mean_cos,frac_positive,n_pairs
1,within_long,0.9928,1.0,396000
1,cut,-0.7062,0.0,9000
1,cut,-0.7062,0.0,9000
1,within_long_d1,0.9991,1.0,88
1,within_long_d2,0.9978,1.0,86
1,within_long_d3,0.9965,1.0,84
1,within_long_d4,0.9955,1.0,82
1,within_long_d5,0.9947,1.0,80
1,within_long_d6,0.9943,1.0,78
1,within_long_d7,0.994,1.0,76
1,within_long_d8,0.9938,1.0,74
1,within_long_d9,0.9936,1.0,72
1,within_long_d10,0.9934,1.0,70
1,within_long_d11,0.9932,1.0,68
1,within_long_d12,0.993,1.0,66
1,within_long_d13,0.9926,1.0,64
1,within_long_d14,0.9922,1.0,62
1,within_long_d15,0.9917,1.0,60
1,within_long_d16,0.9912,1.0,58
1,within_long_d17,0.9908,1.0,56
1,within_long_d18,0.9906,1.0,54
1,within_long_d19,0.9905,1.0,52
1,within_long_d20,0.9905,1.0,50
1,within_long_d21,0.9905,1.0,48
1,within_long_d22,0.9905,1.0,46
1,within_long_d23,0.9905,1.0,44
1,within_long_d24,0.9905,1.0,42
1,within_long_d25,0.9905,1.0,40
1,within_long_d26,0.9905,1.0,38
1,within_long_d27,0.9905,1.0,36
1,within_long_d28,0.9906,1.0,34
1,within_long_d29,0.9906,1.0,32
1,within_long_d30,0.9907,1.0,30
1,within_long_d31,0.9907,1.0,28
1,within_long_d32,0.9908,1.0,26
1,within_long_d33,0.9908,1.0,24
1,within_long_d34,0.9908,1.0,22
1,within_long_d35,0.9907,1.0,20
1,within_long_d36,0.9906,1.0,18
1,within_long_d37,0.9903,1.0,16
1,within_long_d38,0.9898,1.0,14
1,within_long_d39,0.9886,1.0,12
1,within_long_d40,0.9881,1.0,10
1,within_long_d41,0.9876,1.0,8
1,within_long_d42,0.988,1.0,6
1,within_long_d43,0.9874,1.0,4
1,within_long_d44,0.9873,1.0,2
2,within_long,0.9941,1.0,378400
2,within_short,1.0,1.0,400
2,cut,-0.7804,0.0,17600
2,cut,-0.7804,0.0,17600
2,within_long_d1,0.999,1.0,86
2,within_long_d2,0.9982,1.0,84
2,within_long_d3,0.9972,1.0,82
2,within_long_d4,0.9966,1.0,80
2,within_long_d5,0.996,1.0,78
2,within_long_d6,0.9955,1.0,76
2,within_long_d7,0.995,1.0,74
2,within_long_d8,0.9947,1.0,72
2,within_long_d9,0.9945,1.0,70
2,within_long_d10,0.9943,1.0,68
2,within_long_d11,0.9941,1.0,66
2,within_long_d12,0.994,1.0,64
2,within_long_d13,0.9939,1.0,62
2,within_long_d14,0.9937,1.0,60
2,within_long_d15,0.9935,1.0,58
2,within_long_d16,0.9932,1.0,56
2,within_long_d17,0.9929,1.0,54
2,within_long_d18,0.9927,1.0,52
2,within_long_d19,0.9926,1.0,50
2,within_long_d20,0.9926,1.0,48
2,within_long_d21,0.9925,1.0,46
2,within_long_d22,0.9925,1.0,44
2,within_long_d23,0.9925,1.0,42
2,within_long_d24,0.9925,1.0,40
2,within_long_d25,0.9925,1.0,38
2,within_long_d26,0.9924,1.0,36
2,within_long_d27,0.9924,1.0,34
2,within_long_d28,0.9923,1.0,32
2,within_long_d29,0.9922,1.0,30
2,within_long_d30,0.9921,1.0,28
2,within_long_d31,0.992,1.0,26
2,within_long_d32,0.9921,1.0,24
2,within_long_d33,0.9921,1.0,22
2,within_long_d34,0.992,1.0,20
2,within_long_d35,0.9918,1.0,18
2,within_long_d36,0.9916,1.0,16
2,within_long_d37,0.9915,1.0,14
2,within_long_d38,0.9908,1.0,12
2,within_long_d39,0.9898,1.0,10
2,within_long_d40,0.9877,1.0,8
2,within_long_d41,0.9883,1.0,6
2,within_long_d42,0.9844,1.0,4
2,within_long_d43,0.9918,1.0,2
3,within_long,0.9942,1.0,361200
3,within_short,0.8811,1.0,1200
3,cut,-0.8929,0.0,25800
3,cut,-0.8929,0.0,25800
3,within_long_d1,0.9991,1.0,84
3,within_long_d2,0.9981,1.0,82
3,within_long_d3,0.997,1.0,80
3,within_long_d4,0.9961,1.0,78
3,within_long_d5,0.9953,1.0,76
3,within_long_d6,0.9948,1.0,74
3,within_long_d7,0.9945,1.0,72
3,within_long_d8,0.9942,1.0,70
3,within_long_d9,0.9942,1.0,68
3,within_long_d10,0.9942,1.0,66
3,within_long_d11,0.9943,1.0,64
3,within_long_d12,0.9944,1.0,62
3,within_long_d13,0.9944,1.0,60
3,within_long_d14,0.9943,1.0,58
3,within_long_d15,0.9939,1.0,56
3,within_long_d16,0.9935,1.0,54
3,within_long_d17,0.9931,1.0,52
3,within_long_d18,0.9928,1.0,50
3,within_long_d19,0.9926,1.0,48
3,within_long_d20,0.9926,1.0,46
3,within_long_d21,0.9926,1.0,44
3,within_long_d22,0.9926,1.0,42
3,within_long_d23,0.9926,1.0,40
3,within_long_d24,0.9926,1.0,38
3,within_long_d25,0.9926,1.0,36
3,within_long_d26,0.9926,1.0,34
3,within_long_d27,0.9925,1.0,32
3,within_long_d28,0.9925,1.0,30
3,within_long_d29,0.9924,1.0,28
3,within_long_d30,0.9924,1.0,26
3,within_long_d31,0.9924,1.0,24
