split_a,pair_type,mean_cos,frac_positive,n_pairs
1,within_long,0.7808,1.0,396000
1,cut,-0.3053,0.0,9000
1,cut,-0.3053,0.0,9000
1,within_long_d1,0.9788,1.0,88
1,within_long_d2,0.937,1.0,86
1,within_long_d3,0.8912,1.0,84
1,within_long_d4,0.8503,1.0,82
1,within_long_d5,0.8208,1.0,80
1,within_long_d6,0.8022,1.0,78
1,within_long_d7,0.7914,1.0,76
1,within_long_d8,0.7864,1.0,74
1,within_long_d9,0.7839,1.0,72
1,within_long_d10,0.7835,1.0,70
1,within_long_d11,0.7808,1.0,68
1,within_long_d12,0.7759,1.0,66
1,within_long_d13,0.7689,1.0,64
1,within_long_d14,0.7575,1.0,62
1,within_long_d15,0.7425,1.0,60
1,within_long_d16,0.7276,1.0,58
1,within_long_d17,0.7158,1.0,56
1,within_long_d18,0.71,1.0,54
1,within_long_d19,0.7095,1.0,52
1,within_long_d20,0.7114,1.0,50
1,within_long_d21,0.7142,1.0,48
1,within_long_d22,0.7176,1.0,46
1,within_long_d23,0.7213,1.0,44
1,within_long_d24,0.7246,1.0,42
1,within_long_d25,0.7271,1.0,40
1,within_long_d26,0.7284,1.0,38
1,within_long_d27,0.7281,1.0,36
1,within_long_d28,0.7267,1.0,34
1,within_long_d29,0.7243,1.0,32
1,within_long_d30,0.7215,1.0,30
1,within_long_d31,0.7195,1.0,28
1,within_long_d32,0.7199,1.0,26
1,within_long_d33,0.7226,1.0,24
1,within_long_d34,0.7267,1.0,22
1,within_long_d35,0.7323,1.0,20
1,within_long_d36,0.7428,1.0,18
1,within_long_d37,0.7551,1.0,16
1,within_long_d38,0.7694,1.0,14
1,within_long_d39,0.7847,1.0,12
1,within_long_d40,0.7994,1.0,10
1,within_long_d41,0.8093,1.0,8
1,within_long_d42,0.8079,1.0,6
1,within_long_d43,0.8073,1.0,4
1,within_long_d44,0.8079,1.0,2
2,within_long,0.7815,1.0,378400
2,within_short,1.0,1.0,400
2,cut,-0.3233,0.0,17600
2,cut,-0.3233,0.0,17600
2,within_long_d1,0.979,1.0,86
2,within_long_d2,0.9385,1.0,84
2,within_long_d3,0.8949,1.0,82
2,within_long_d4,0.8564,1.0,80
2,within_long_d5,0.8285,1.0,78
2,within_long_d6,0.8101,1.0,76
2,within_long_d7,0.7985,1.0,74
2,within_long_d8,0.7926,1.0,72
2,within_long_d9,0.7891,1.0,70
2,within_long_d10,0.7877,1.0,68
2,within_long_d11,0.7841,1.0,66
2,within_long_d12,0.7785,1.0,64
2,within_long_d13,0.771,1.0,62
2,within_long_d14,0.7591,1.0,60
2,within_long_d15,0.7438,1.0,58
2,within_long_d16,0.7288,1.0,56
2,within_long_d17,0.7172,1.0,54
2,within_long_d18,0.7117,1.0,52
2,within_long_d19,0.7114,1.0,50
2,within_long_d20,0.7137,1.0,48
2,within_long_d21,0.7165,1.0,46
2,within_long_d22,0.7195,1.0,44
2,within_long_d23,0.7221,1.0,42
2,within_long_d24,0.7238,1.0,40
2,within_long_d25,0.7244,1.0,38
