split_a,pair_type,mean_cos,frac_positive,n_pairs
1,within_long,1.0,1.0,396000
1,cut,-0.999,0.0,9000
1,cut,-0.999,0.0,9000
1,within_long_d1,1.0,1.0,1980
2,within_long,1.0,1.0,378400
2,within_short,1.0,1.0,400
2,cut,-0.9991,0.0,17600
2,cut,-0.9991,0.0,17600
2,within_long_d1,1.0,1.0,1892
3,within_long,1.0,1.0,361200
3,within_short,1.0,1.0,1200
3,cut,-0.9991,0.0,25800
3,cut,-0.9991,0.0,25800
3,within_long_d1,1.0,1.0,1806
4,within_long,1.0,1.0,344400
4,within_short,1.0,1.0,2400
4,cut,-0.9992,0.0,33600
4,cut,-0.9992,0.0,33600
4,within_long_d1,1.0,1.0,1722
5,within_long,1.0,1.0,328000
5,within_short,1.0,1.0,4000
5,cut,-0.9992,0.0,41000
5,cut,-0.9992,0.0,41000
5,within_long_d1,1.0,1.0,1640
6,within_long,1.0,1.0,312000
6,within_short,1.0,1.0,6000
6,cut,-0.9992,0.0,48000
6,cut,-0.9992,0.0,48000
6,within_long_d1,1.0,1.0,1560
7,within_long,1.0,1.0,296400
7,within_short,1.0,1.0,8400
7,cut,-0.9992,0.0,54600
7,cut,-0.9992,0.0,54600
7,within_long_d1,1.0,1.0,1482
8,within_long,1.0,1.0,281200
8,within_short,1.0,1.0,11200
8,cut,-0.9992,0.0,60800
8,cut,-0.9992,0.0,60800
8,within_long_d1,1.0,1.0,1406
9,within_long,1.0,1.0,266400
9,within_short,1.0,1.0,14400
9,cut,-0.9993,0.0,66600
9,cut,-0.9993,0.0,66600
9,within_long_d1,1.0,1.0,1332
10,within_long,1.0,1.0,252000
10,within_short,1.0,1.0,18000
10,cut,-0.9992,0.0,72000
10,cut,-0.9992,0.0,72000
10,within_long_d1,1.0,1.0,1260
11,within_long,1.0,1.0,238000
11,within_short,1.0,1.0,22000
11,cut,-0.9993,0.0,77000
11,cut,-0.9993,0.0,77000
11,within_long_d1,1.0,1.0,1190
12,within_long,1.0,1.0,224400
12,within_short,1.0,1.0,26400
12,cut,-0.9993,0.0,81600
12,cut,-0.9993,0.0,81600
12,within_long_d1,1.0,1.0,1122
13,within_long,1.0,1.0,211200
13,within_short,1.0,1.0,31200
13,cut,-0.9993,0.0,85800
13,cut,-0.9993,0.0,85800
13,within_long_d1,1.0,1.0,1056
14,within_long,1.0,1.0,198400
14,within_short,1.0,1.0,36400
14,cut,-0.9993,0.0,89600
14,cut,-0.9993,0.0,89600
14,within_long_d1,1.0,1.0,992
15,within_long,1.0,1.0,186000
15,within_short,1.0,1.0,42000
15,cut,-0.9993,0.0,93000
15,cut,-0.9993,0.0,93000
15,within_long_d1,1.0,1.0,930
16,within_long,1.0,1.0,174000
16,within_short,1.0,1.0,48000
16,cut,-0.9993,0.0,96000
16,cut,-0.9993,0.0,96000
16,within_long_d1,1.0,1.0,870
17,within_long,1.0,1.0,162400
17,within_short,1.0,1.0,54400
17,cut,-0.9993,0.0,98600
17,cut,-0.9993,0.0,98600
17,within_long_d1,1.0,1.0,812
18,within_long,1.0,1.0,151200
18,within_short,1.0,1.0,61200
18,cut,-0.9993,0.0,100800
18,cut,-0.9993,0.0,100800
18,within_long_d1,1.0,1.0,756
19,within_long,1.0,1.0,140400
19,within_short,1.0,1.0,68400
19,cut,-0.9993,0.0,102600
19,cut,-0.9993,0.0,102600
19,within_long_d1,1.0,1.0,702
20,within_long,1.0,1.0,130000
20,within_short,1.0,1.0,76000
20,cut,-0.9993,0.0,104000
20,cut,-0.9993,0.0,104000
20,within_long_d1,1.0,1.0,650
21,within_long,1.0,1.0,120000
21,within_short,1.0,1.0,84000
21,cut,-0.9993,0.0,105000
21,cut,-0.9993,0.0,105000
21,within_long_d1,1.0,1.0,600
22,within_long,1.0,1.0,110400
22,within_short,1.0,1.0,92400
22,cut,-0.9993,0.0,105600
22,cut,-0.9993,0.0,105600
22,within_long_d1,1.0,1.0,552
23,within_long,1.0,1.0,101200
23,within_short,1.0,1.0,101200
23,cut,-0.9993,0.0,105800
23,cut,-0.9993,0.0,105800
23,within_long_d1,1.0,1.0,506
