split_a,mode,metric,distance,value,n_pairs
4,random,reach_long_by_dist,1,1.0,126
4,random,reach_long_by_dist,2,1.0,226
4,random,reach_long_by_dist,3,1.0,372
4,random,reach_long_by_dist,4,1.0,500
4,random,reach_long_by_dist,5,1.0,366
4,random,reach_long_by_dist,6,1.0,122
4,random,reach_long_by_dist,7,1.0,10
4,random,exact,,1.0,
4,random,reach_long,,1.0,
4,random,reach_short,,1.0,
4,random,cut,,1.0,
4,random,pred_positive_rate,,0.8412,
6,random,reach_long_by_dist,1,1.0,120
6,random,reach_long_by_dist,2,1.0,220
6,random,reach_long_by_dist,3,1.0,352
6,random,reach_long_by_dist,4,1.0,454
6,random,reach_long_by_dist,5,1.0,308
6,random,reach_long_by_dist,6,1.0,94
6,random,reach_long_by_dist,7,1.0,12
6,random,exact,,1.0,
6,random,reach_long,,1.0,
6,random,reach_short,,1.0,
6,random,cut,,1.0,
6,random,pred_positive_rate,,0.7732,
8,random,reach_long_by_dist,1,1.0,114
8,random,reach_long_by_dist,2,1.0,206
8,random,reach_long_by_dist,3,1.0,360
8,random,reach_long_by_dist,4,1.0,434
8,random,reach_long_by_dist,5,1.0,260
8,random,reach_long_by_dist,6,1.0,32
8,random,exact,,1.0,
8,random,reach_long,,1.0,
8,random,reach_short,,1.0,
8,random,cut,,1.0,
8,random,pred_positive_rate,,0.7127,
10,random,reach_long_by_dist,1,1.0,108
10,random,reach_long_by_dist,2,1.0,202
10,random,reach_long_by_dist,3,1.0,312
10,random,reach_long_by_dist,4,1.0,346
10,random,reach_long_by_dist,5,1.0,252
10,random,reach_long_by_dist,6,1.0,40
10,random,exact,,1.0,
10,random,reach_long,,1.0,
10,random,reach_short,,1.0,
10,random,cut,,1.0,
10,random,pred_positive_rate,,0.6597,
12,random,reach_long_by_dist,1,1.0,102
12,random,reach_long_by_dist,2,1.0,178
12,random,reach_long_by_dist,3,1.0,274
12,random,reach_long_by_dist,4,1.0,342
12,random,reach_long_by_dist,5,1.0,176
12,random,reach_long_by_dist,6,1.0,42
12,random,reach_long_by_dist,7,1.0,8
12,random,exact,,1.0,
12,random,reach_long,,1.0,
12,random,reach_short,,1.0,
12,random,cut,,1.0,
12,random,pred_positive_rate,,0.6144,
14,random,reach_long_by_dist,1,1.0,96
14,random,reach_long_by_dist,2,1.0,180
14,random,reach_long_by_dist,3,1.0,294
14,random,reach_long_by_dist,4,1.0,306
14,random,reach_long_by_dist,5,1.0,108
14,random,reach_long_by_dist,6,1.0,8
14,random,exact,,1.0,
14,random,reach_long,,1.0,
14,random,reach_short,,1.0,
14,random,cut,,1.0,
14,random,pred_positive_rate,,0.5766,
16,random,reach_long_by_dist,1,1.0,90
16,random,reach_long_by_dist,2,1.0,170
16,random,reach_long_by_dist,3,1.0,260
16,random,reach_long_by_dist,4,1.0,290
16,random,reach_long_by_dist,5,1.0,60
16,random,exact,,1.0,
16,random,reach_long,,1.0,
16,random,reach_short,,1.0,
16,random,cut,,1.0,
16,random,pred_positive_rate,,0.5463,
18,random,reach_long_by_dist,1,1.0,84
18,random,reach_long_by_dist,2,1.0,160
18,random,reach_long_by_dist,3,1.0,218
18,random,reach_long_by_dist,4,1.0,216
18,random,reach_long_by_dist,5,1.0,74
18,random,reach_long_by_dist,6,1.0,4
18,random,exact,,1.0,
18,random,reach_long,,1.0,
18,random,reach_short,,1.0,
18,random,cut,,1.0,
18,random,pred_positive_rate,,0.5236,
20,random,reach_long_by_dist,1,1.0,78
20,random,reach_long_by_dist,2,1.0,140
20,random,reach_long_by_dist,3,1.0,166
20,random,reach_long_by_dist,4,1.0,148
20,random,reach_long_by_dist,5,1.0,92
20,random,reach_long_by_dist,6,1.0,26
20,random,exact,,1.0,
20,random,reach_long,,1.0,
20,random,reach_short,,1.0,
20,random,cut,,1.0,
20,random,pred_positive_rate,,0.5085,
22,random,reach_long_by_dist,1,1.0,72
22,random,reach_long_by_dist,2,1.0,126
22,random,reach_long_by_dist,3,1.0,174
22,random,reach_long_by_dist,4,1.0,140
22,random,reach_long_by_dist,5,1.0,40
22,random,exact,,1.0,
22,random,reach_long,,1.0,
22,random,reach_short,,1.0,
22,random,cut,,1.0,
22,random,pred_positive_rate,,0.5009,
4,fixed,reach_long_by_dist,1,1.0,126
