split_a,pair_type,mean_cos,frac_positive,n_pairs
4,within_long,0.9837,1.0,344400
4,within_short,1.0,1.0,2400
4,cut,-0.7548,0.0,33600
4,cut,-0.7548,0.0,33600
4,within_long_d1,0.9918,1.0,126
4,within_long_d2,0.9878,1.0,226
4,within_long_d3,0.9847,1.0,372
4,within_long_d4,0.9828,1.0,500
4,within_long_d5,0.9818,1.0,366
4,within_long_d6,0.9759,1.0,122
4,within_long_d7,0.9643,1.0,10
6,within_long,0.9652,1.0,312000
6,within_short,0.9985,1.0,6000
6,cut,-0.6973,0.0,48000
6,cut,-0.6973,0.0,48000
6,within_long_d1,0.9852,1.0,120
6,within_long_d2,0.9757,1.0,220
6,within_long_d3,0.97,1.0,352
6,within_long_d4,0.9653,1.0,454
6,within_long_d5,0.9559,1.0,308
6,within_long_d6,0.9352,1.0,94
6,within_long_d7,0.9013,1.0,12
8,within_long,0.9818,1.0,281200
8,within_short,0.9864,1.0,11200
8,cut,-0.8169,0.0,60800
8,cut,-0.8169,0.0,60800
8,within_long_d1,0.9922,1.0,114
8,within_long_d2,0.9855,1.0,206
8,within_long_d3,0.9813,1.0,360
8,within_long_d4,0.9796,1.0,434
8,within_long_d5,0.9791,1.0,260
8,within_long_d6,0.9785,1.0,32
10,within_long,0.9839,1.0,252000
10,within_short,0.9685,1.0,18000
10,cut,-0.8142,0.0,72000
10,cut,-0.8142,0.0,72000
10,within_long_d1,0.9937,1.0,108
10,within_long_d2,0.9881,1.0,202
10,within_long_d3,0.9837,1.0,312
10,within_long_d4,0.9814,1.0,346
10,within_long_d5,0.9808,1.0,252
10,within_long_d6,0.9799,1.0,40
12,within_long,0.962,1.0,224400
12,within_short,0.9745,1.0,26400
12,cut,-0.8313,0.0,81600
12,cut,-0.8313,0.0,81600
12,within_long_d1,0.9839,1.0,102
12,within_long_d2,0.9736,1.0,178
12,within_long_d3,0.9663,1.0,274
12,within_long_d4,0.9621,1.0,342
12,within_long_d5,0.9493,1.0,176
12,within_long_d6,0.9031,1.0,42
12,within_long_d7,0.8603,1.0,8
14,within_long,0.9845,1.0,198400
14,within_short,0.9723,1.0,36400
14,cut,-0.7856,0.0,89600
14,cut,-0.7856,0.0,89600
14,within_long_d1,0.994,1.0,96
14,within_long_d2,0.9882,1.0,180
14,within_long_d3,0.9837,1.0,294
14,within_long_d4,0.9817,1.0,306
14,within_long_d5,0.9802,1.0,108
14,within_long_d6,0.9792,1.0,8
16,within_long,0.9859,1.0,174000
16,within_short,0.9823,1.0,48000
16,cut,-0.755,0.0,96000
16,cut,-0.755,0.0,96000
16,within_long_d1,0.9944,1.0,90
16,within_long_d2,0.9888,1.0,170
16,within_long_d3,0.9849,1.0,260
16,within_long_d4,0.9831,1.0,290
16,within_long_d5,0.9822,1.0,60
18,within_long,0.9837,1.0,151200
18,within_short,0.9846,1.0,61200
18,cut,-0.7968,0.0,100800
18,cut,-0.7968,0.0,100800
18,within_long_d1,0.9935,1.0,84
18,within_long_d2,0.9876,1.0,160
18,within_long_d3,0.9828,1.0,218
18,within_long_d4,0.98,1.0,216
18,within_long_d5,0.978,1.0,74
18,within_long_d6,0.9764,1.0,4
20,within_long,0.9554,1.0,130000
20,within_short,0.9724,1.0,76000
20,cut,-0.81,0.0,104000
20,cut,-0.81,0.0,104000
20,within_long_d1,0.9853,1.0,78
20,within_long_d2,0.9706,1.0,140
20,within_long_d3,0.96,1.0,166
20,within_long_d4,0.9466,1.0,148
20,within_long_d5,0.9294,1.0,92
20,within_long_d6,0.8977,1.0,26
22,within_long,0.977,1.0,110400
22,within_short,0.9829,1.0,92400
22,cut,-0.6524,0.0,105600
22,cut,-0.6524,0.0,105600
22,within_long_d1,0.9902,1.0,72
22,within_long_d2,0.981,1.0,126
22,within_long_d3,0.9737,1.0,174
22,within_long_d4,0.9728,1.0,140
22,within_long_d5,0.9692,1.0,40
