split_a,pair_type,mean_cos,frac_positive,n_pairs
3,within_long,0.994,1.0,361200
3,within_short,1.0,1.0,1200
3,cut,0.6283,0.9987,25800
3,cut,0.6283,0.9987,25800
3,within_long_d1,0.9995,1.0,86
3,within_long_d2,0.9987,1.0,86
3,within_long_d3,0.9978,1.0,86
3,within_long_d4,0.9969,1.0,86
3,within_long_d5,0.996,1.0,86
3,within_long_d6,0.9951,1.0,86
3,within_long_d7,0.9943,1.0,86
3,within_long_d8,0.9936,1.0,86
3,within_long_d9,0.993,1.0,86
3,within_long_d10,0.9925,1.0,86
3,within_long_d11,0.9923,1.0,86
3,within_long_d12,0.9921,1.0,86
3,within_long_d13,0.9921,1.0,86
3,within_long_d14,0.992,1.0,86
3,within_long_d15,0.992,1.0,86
3,within_long_d16,0.9922,1.0,86
3,within_long_d17,0.9924,1.0,86
3,within_long_d18,0.9926,1.0,86
3,within_long_d19,0.9927,1.0,86
3,within_long_d20,0.9928,1.0,86
3,within_long_d21,0.9928,1.0,86
4,within_long,0.9942,1.0,344400
4,within_short,0.9992,1.0,2400
4,cut,0.7318,1.0,33600
4,cut,0.7318,1.0,33600
4,within_long_d1,0.9995,1.0,84
4,within_long_d2,0.9987,1.0,84
4,within_long_d3,0.9978,1.0,84
4,within_long_d4,0.997,1.0,84
4,within_long_d5,0.9961,1.0,84
4,within_long_d6,0.9952,1.0,84
4,within_long_d7,0.9944,1.0,84
4,within_long_d8,0.9938,1.0,84
4,within_long_d9,0.9932,1.0,84
4,within_long_d10,0.9928,1.0,84
4,within_long_d11,0.9926,1.0,84
4,within_long_d12,0.9925,1.0,84
4,within_long_d13,0.9924,1.0,84
4,within_long_d14,0.9924,1.0,84
4,within_long_d15,0.9923,1.0,84
4,within_long_d16,0.9925,1.0,84
4,within_long_d17,0.9926,1.0,84
4,within_long_d18,0.9927,1.0,84
4,within_long_d19,0.9927,1.0,84
4,within_long_d20,0.9927,1.0,84
4,within_long_d21,0.9927,1.0,42
5,within_long,0.9944,1.0,328000
5,within_short,0.9983,1.0,4000
5,cut,0.7563,1.0,41000
5,cut,0.7563,1.0,41000
5,within_long_d1,0.9995,1.0,82
5,within_long_d2,0.9987,1.0,82
5,within_long_d3,0.9979,1.0,82
5,within_long_d4,0.9971,1.0,82
5,within_long_d5,0.9963,1.0,82
5,within_long_d6,0.9955,1.0,82
5,within_long_d7,0.9948,1.0,82
5,within_long_d8,0.9942,1.0,82
5,within_long_d9,0.9937,1.0,82
5,within_long_d10,0.9933,1.0,82
5,within_long_d11,0.9931,1.0,82
5,within_long_d12,0.993,1.0,82
5,within_long_d13,0.9929,1.0,82
5,within_long_d14,0.9928,1.0,82
5,within_long_d15,0.9927,1.0,82
5,within_long_d16,0.9927,1.0,82
5,within_long_d17,0.9927,1.0,82
5,within_long_d18,0.9927,1.0,82
5,within_long_d19,0.9927,1.0,82
5,within_long_d20,0.9927,1.0,82
6,within_long,0.9949,1.0,312000
6,within_short,0.9955,1.0,6000
6,cut,0.7754,1.0,48000
6,cut,0.7754,1.0,48000
6,within_long_d1,0.9995,1.0,80
6,within_long_d2,0.9987,1.0,80
6,within_long_d3,0.998,1.0,80
6,within_long_d4,0.9972,1.0,80
6,within_long_d5,0.9965,1.0,80
6,within_long_d6,0.9957,1.0,80
6,within_long_d7,0.9951,1.0,80
6,within_long_d8,0.9945,1.0,80
6,within_long_d9,0.9941,1.0,80
6,within_long_d10,0.9938,1.0,80
6,within_long_d11,0.9936,1.0,80
6,within_long_d12,0.9936,1.0,80
6,within_long_d13,0.9935,1.0,80
6,within_long_d14,0.9934,1.0,80
