split_a,pair_type,mean_cos,frac_positive,n_pairs
1,within_long,0.9891,1.0,396000
1,cut,-0.8056,0.0,9000
1,cut,-0.8056,0.0,9000
1,within_long_d1,0.9993,1.0,88
1,within_long_d2,0.9982,1.0,86
1,within_long_d3,0.9972,1.0,84
1,within_long_d4,0.9961,1.0,82
1,within_long_d5,0.9951,1.0,80
1,within_long_d6,0.9941,1.0,78
1,within_long_d7,0.9931,1.0,76
1,within_long_d8,0.9921,1.0,74
1,within_long_d9,0.9911,1.0,72
1,within_long_d10,0.9902,1.0,70
1,within_long_d11,0.9893,1.0,68
1,within_long_d12,0.9884,1.0,66
1,within_long_d13,0.9876,1.0,64
1,within_long_d14,0.9868,1.0,62
1,within_long_d15,0.9861,1.0,60
1,within_long_d16,0.9856,1.0,58
1,within_long_d17,0.9851,1.0,56
1,within_long_d18,0.9848,1.0,54
1,within_long_d19,0.9845,1.0,52
1,within_long_d20,0.9842,1.0,50
1,within_long_d21,0.9841,1.0,48
1,within_long_d22,0.9841,1.0,46
1,within_long_d23,0.9842,1.0,44
1,within_long_d24,0.9844,1.0,42
1,within_long_d25,0.9847,1.0,40
1,within_long_d26,0.985,1.0,38
1,within_long_d27,0.9852,1.0,36
1,within_long_d28,0.9853,1.0,34
1,within_long_d29,0.9853,1.0,32
1,within_long_d30,0.9853,1.0,30
1,within_long_d31,0.9851,1.0,28
1,within_long_d32,0.9848,1.0,26
1,within_long_d33,0.9845,1.0,24
1,within_long_d34,0.9842,1.0,22
1,within_long_d35,0.9837,1.0,20
1,within_long_d36,0.9831,1.0,18
1,within_long_d37,0.9825,1.0,16
1,within_long_d38,0.982,1.0,14
1,within_long_d39,0.9817,1.0,12
1,within_long_d40,0.9814,1.0,10
1,within_long_d41,0.981,1.0,8
1,within_long_d42,0.9802,1.0,6
1,within_long_d43,0.9793,1.0,4
1,within_long_d44,0.9788,1.0,2
2,within_long,0.9882,1.0,378400
2,within_short,1.0,1.0,400
2,cut,-0.7499,0.0,17600
2,cut,-0.7499,0.0,17600
2,within_long_d1,0.9992,1.0,86
2,within_long_d2,0.9979,1.0,84
2,within_long_d3,0.9967,1.0,82
2,within_long_d4,0.9955,1.0,80
2,within_long_d5,0.9944,1.0,78
2,within_long_d6,0.9932,1.0,76
2,within_long_d7,0.9921,1.0,74
2,within_long_d8,0.9912,1.0,72
2,within_long_d9,0.9903,1.0,70
2,within_long_d10,0.9893,1.0,68
2,within_long_d11,0.9884,1.0,66
2,within_long_d12,0.9874,1.0,64
2,within_long_d13,0.9865,1.0,62
2,within_long_d14,0.9856,1.0,60
2,within_long_d15,0.9847,1.0,58
2,within_long_d16,0.9841,1.0,56
2,within_long_d17,0.9836,1.0,54
2,within_long_d18,0.9832,1.0,52
2,within_long_d19,0.9829,1.0,50
2,within_long_d20,0.9826,1.0,48
2,within_long_d21,0.9825,1.0,46
2,within_long_d22,0.9826,1.0,44
2,within_long_d23,0.9827,1.0,42
2,within_long_d24,0.9829,1.0,40
2,within_long_d25,0.9832,1.0,38
2,within_long_d26,0.9834,1.0,36
2,within_long_d27,0.9836,1.0,34
2,within_long_d28,0.9836,1.0,32
2,within_long_d29,0.9835,1.0,30
2,within_long_d30,0.9833,1.0,28
2,within_long_d31,0.9831,1.0,26
2,within_long_d32,0.9831,1.0,24
2,within_long_d33,0.9832,1.0,22
2,within_long_d34,0.9832,1.0,20
2,within_long_d35,0.9833,1.0,18
2,within_long_d36,0.9834,1.0,16
2,within_long_d37,0.9834,1.0,14
2,within_long_d38,0.9833,1.0,12
2,within_long_d39,0.9829,1.0,10
2,within_long_d40,0.9824,1.0,8
2,within_long_d41,0.9815,1.0,6
2,within_long_d42,0.9806,1.0,4
2,within_long_d43,0.9799,1.0,2
3,within_long,0.9866,1.0,361200
3,within_short,0.9875,1.0,1200
3,cut,-0.7516,0.0,25800
3,cut,-0.7516,0.0,25800
3,within_long_d1,0.9992,1.0,84
3,within_long_d2,0.9979,1.0,82
3,within_long_d3,0.9966,1.0,80
3,within_long_d4,0.9954,1.0,78
3,within_long_d5,0.9942,1.0,76
3,within_long_d6,0.9929,1.0,74
3,within_long_d7,0.9918,1.0,72
3,within_long_d8,0.9908,1.0,70
3,within_long_d9,0.9898,1.0,68
3,within_long_d10,0.9887,1.0,66
3,within_long_d11,0.9877,1.0,64
3,within_long_d12,0.9866,1.0,62
3,within_long_d13,0.9854,1.0,60
3,within_long_d14,0.9843,1.0,58
3,within_long_d15,0.9833,1.0,56
3,within_long_d16,0.9824,1.0,54
3,within_long_d17,0.9817,1.0,52
3,within_long_d18,0.9811,1.0,50
3,within_long_d19,0.9805,1.0,48
3,within_long_d20,0.9801,1.0,46
3,within_long_d21,0.9797,1.0,44
3,within_long_d22,0.9795,1.0,42
3,within_long_d23,0.9793,1.0,40
3,within_long_d24,0.9793,1.0,38
3,within_long_d25,0.9792,1.0,36
