split_a,pair_type,mean_cos,frac_positive,n_pairs
1,within_long,1.0,1.0,396000
1,cut,-1.0,0.0,9000
1,cut,-1.0,0.0,9000
1,within_long_d1,1.0,1.0,88
1,within_long_d2,1.0,1.0,86
1,within_long_d3,1.0,1.0,84
1,within_long_d4,1.0,1.0,82
1,within_long_d5,1.0,1.0,80
1,within_long_d6,1.0,1.0,78
1,within_long_d7,1.0,1.0,76
1,within_long_d8,1.0,1.0,74
1,within_long_d9,1.0,1.0,72
1,within_long_d10,1.0,1.0,70
1,within_long_d11,1.0,1.0,68
1,within_long_d12,1.0,1.0,66
1,within_long_d13,1.0,1.0,64
1,within_long_d14,1.0,1.0,62
1,within_long_d15,1.0,1.0,60
1,within_long_d16,1.0,1.0,58
1,within_long_d17,1.0,1.0,56
1,within_long_d18,1.0,1.0,54
1,within_long_d19,1.0,1.0,52
1,within_long_d20,1.0,1.0,50
1,within_long_d21,1.0,1.0,48
1,within_long_d22,1.0,1.0,46
1,within_long_d23,1.0,1.0,44
1,within_long_d24,1.0,1.0,42
1,within_long_d25,1.0,1.0,40
1,within_long_d26,1.0,1.0,38
1,within_long_d27,1.0,1.0,36
1,within_long_d28,1.0,1.0,34
1,within_long_d29,1.0,1.0,32
1,within_long_d30,1.0,1.0,30
1,within_long_d31,1.0,1.0,28
1,within_long_d32,1.0,1.0,26
1,within_long_d33,1.0,1.0,24
1,within_long_d34,1.0,1.0,22
1,within_long_d35,1.0,1.0,20
1,within_long_d36,1.0,1.0,18
1,within_long_d37,1.0,1.0,16
1,within_long_d38,1.0,1.0,14
1,within_long_d39,1.0,1.0,12
1,within_long_d40,1.0,1.0,10
1,within_long_d41,1.0,1.0,8
1,within_long_d42,1.0,1.0,6
1,within_long_d43,1.0,1.0,4
1,within_long_d44,1.0,1.0,2
2,within_long,1.0,1.0,378400
2,within_short,1.0,1.0,400
2,cut,-1.0,0.0,17600
2,cut,-1.0,0.0,17600
2,within_long_d1,1.0,1.0,86
2,within_long_d2,1.0,1.0,84
2,within_long_d3,1.0,1.0,82
2,within_long_d4,1.0,1.0,80
2,within_long_d5,1.0,1.0,78
2,within_long_d6,1.0,1.0,76
2,within_long_d7,1.0,1.0,74
2,within_long_d8,1.0,1.0,72
2,within_long_d9,1.0,1.0,70
2,within_long_d10,1.0,1.0,68
2,within_long_d11,1.0,1.0,66
2,within_long_d12,1.0,1.0,64
2,within_long_d13,1.0,1.0,62
2,within_long_d14,1.0,1.0,60
2,within_long_d15,1.0,1.0,58
2,within_long_d16,1.0,1.0,56
2,within_long_d17,1.0,1.0,54
2,within_long_d18,1.0,1.0,52
2,within_long_d19,1.0,1.0,50
2,within_long_d20,1.0,1.0,48
2,within_long_d21,1.0,1.0,46
2,within_long_d22,1.0,1.0,44
2,within_long_d23,1.0,1.0,42
2,within_long_d24,1.0,1.0,40
2,within_long_d25,1.0,1.0,38
2,within_long_d26,1.0,1.0,36
2,within_long_d27,1.0,1.0,34
2,within_long_d28,1.0,1.0,32
2,within_long_d29,1.0,1.0,30
2,within_long_d30,1.0,1.0,28
2,within_long_d31,1.0,1.0,26
2,within_long_d32,1.0,1.0,24
2,within_long_d33,1.0,1.0,22
2,within_long_d34,1.0,1.0,20
2,within_long_d35,1.0,1.0,18
2,within_long_d36,1.0,1.0,16
2,within_long_d37,1.0,1.0,14
2,within_long_d38,1.0,1.0,12
2,within_long_d39,1.0,1.0,10
2,within_long_d40,1.0,1.0,8
2,within_long_d41,1.0,1.0,6
2,within_long_d42,1.0,1.0,4
2,within_long_d43,1.0,1.0,2
3,within_long,1.0,1.0,361200
3,within_short,0.9999,1.0,1200
3,cut,-0.9999,0.0,25800
3,cut,-0.9999,0.0,25800
3,within_long_d1,1.0,1.0,84
3,within_long_d2,1.0,1.0,82
3,within_long_d3,1.0,1.0,80
3,within_long_d4,1.0,1.0,78
3,within_long_d5,1.0,1.0,76
3,within_long_d6,1.0,1.0,74
3,within_long_d7,1.0,1.0,72
3,within_long_d8,1.0,1.0,70
3,within_long_d9,1.0,1.0,68
3,within_long_d10,1.0,1.0,66
3,within_long_d11,1.0,1.0,64
3,within_long_d12,1.0,1.0,62
3,within_long_d13,1.0,1.0,60
3,within_long_d14,1.0,1.0,58
3,within_long_d15,1.0,1.0,56
3,within_long_d16,1.0,1.0,54
3,within_long_d17,1.0,1.0,52
3,within_long_d18,1.0,1.0,50
3,within_long_d19,1.0,1.0,48
3,within_long_d20,1.0,1.0,46
3,within_long_d21,1.0,1.0,44
3,within_long_d22,1.0,1.0,42
3,within_long_d23,1.0,1.0,40
3,within_long_d24,1.0,1.0,38
3,within_long_d25,1.0,1.0,36
3,within_long_d26,1.0,1.0,34
3,within_long_d27,1.0,1.0,32
3,within_long_d28,1.0,1.0,30
3,within_long_d29,1.0,1.0,28
3,within_long_d30,1.0,1.0,26
3,within_long_d31,1.0,1.0,24
3,within_long_d32,1.0,1.0,22
3,within_long_d33,1.0,1.0,20
3,within_long_d34,1.0,1.0,18
3,within_long_d35,1.0,1.0,16
3,within_long_d36,1.0,1.0,14
3,within_long_d37,1.0,1.0,12
3,within_long_d38,1.0,1.0,10
3,within_long_d39,1.0,1.0,8
3,within_long_d40,1.0,1.0,6
3,within_long_d41,1.0,1.0,4
3,within_long_d42,1.0,1.0,2
4,within_long,1.0,1.0,344400
4,within_short,0.9999,1.0,2400
4,cut,-0.9999,0.0,33600
4,cut,-0.9999,0.0,33600
4,within_long_d1,1.0,1.0,82
4,within_long_d2,1.0,1.0,80
4,within_long_d3,1.0,1.0,78
4,within_long_d4,1.0,1.0,76
4,within_long_d5,1.0,1.0,74
4,within_long_d6,1.0,1.0,72
4,within_long_d7,1.0,1.0,70
4,within_long_d8,1.0,1.0,68
4,within_long_d9,1.0,1.0,66
4,within_long_d10,1.0,1.0,64
4,within_long_d11,1.0,1.0,62
4,within_long_d12,1.0,1.0,60
4,within_long_d13,1.0,1.0,58
4,within_long_d14,1.0,1.0,56
4,within_long_d15,1.0,1.0,54
4,within_long_d16,1.0,1.0,52
4,within_long_d17,0.9999,1.0,50
4,within_long_d18,0.9999,1.0,48
4,within_long_d19,0.9999,1.0,46
4,within_long_d20,0.9999,1.0,44
4,within_long_d21,0.9999,1.0,42
4,within_long_d22,0.9999,1.0,40
4,within_long_d23,0.9999,1.0,38
4,within_long_d24,0.9999,1.0,36
4,within_long_d25,0.9999,1.0,34
4,within_long_d26,0.9999,1.0,32
4,within_long_d27,0.9999,1.0,30
4,within_long_d28,0.9999,1.0,28
4,within_long_d29,0.9999,1.0,26
4,within_long_d30,0.9999,1.0,24
4,within_long_d31,0.9999,1.0,22
4,within_long_d32,0.9999,1.0,20
4,within_long_d33,0.9999,1.0,18
4,within_long_d34,0.9999,1.0,16
4,within_long_d35,0.9999,1.0,14
4,within_long_d36,0.9999,1.0,12
4,within_long_d37,1.0,1.0,10
4,within_long_d38,1.0,1.0,8
4,within_long_d39,1.0,1.0,6
4,within_long_d40,0.9999,1.0,4
4,within_long_d41,0.9999,1.0,2
5,within_long,0.9998,1.0,328000
5,within_short,0.9999,1.0,4000
5,cut,-0.9996,0.0,41000
5,cut,-0.9996,0.0,41000
5,within_long_d1,1.0,1.0,80
5,within_long_d2,1.0,1.0,78
5,within_long_d3,0.9999,1.0,76
5,within_long_d4,0.9999,1.0,74
5,within_long_d5,0.9999,1.0,72
5,within_long_d6,0.9999,1.0,70
5,within_long_d7,0.9999,1.0,68
5,within_long_d8,0.9999,1.0,66
5,within_long_d9,0.9999,1.0,64
5,within_long_d10,0.9998,1.0,62
5,within_long_d11,0.9998,1.0,60
5,within_long_d12,0.9998,1.0,58
5,within_long_d13,0.9998,1.0,56
5,within_long_d14,0.9998,1.0,54
5,within_long_d15,0.9997,1.0,52
5,within_long_d16,0.9997,1.0,50
5,within_long_d17,0.9997,1.0,48
5,within_long_d18,0.9997,1.0,46
5,within_long_d19,0.9996,1.0,44
5,within_long_d20,0.9996,1.0,42
5,within_long_d21,0.9996,1.0,40
5,within_long_d22,0.9996,1.0,38
5,within_long_d23,0.9996,1.0,36
5,within_long_d24,0.9996,1.0,34
5,within_long_d25,0.9996,1.0,32
5,within_long_d26,0.9996,1.0,30
5,within_long_d27,0.9996,1.0,28
5,within_long_d28,0.9996,1.0,26
5,within_long_d29,0.9997,1.0,24
5,within_long_d30,0.9997,1.0,22
5,within_long_d31,0.9997,1.0,20
5,within_long_d32,0.9997,1.0,18
5,within_long_d33,0.9997,1.0,16
5,within_long_d34,0.9997,1.0,14
5,within_long_d35,0.9997,1.0,12
5,within_long_d36,0.9997,1.0,10
5,within_long_d37,0.9997,1.0,8
5,within_long_d38,0.9997,1.0,6
5,within_long_d39,0.9997,1.0,4
5,within_long_d40,0.9997,1.0,2
6,within_long,0.9693,0.9932,312000
6,within_short,0.9998,1.0,6000
6,cut,-0.982,0.0029,48000
6,cut,-0.982,0.0029,48000
6,within_long_d1,0.9963,0.9996,78
6,within_long_d2,0.9932,0.9992,76
6,within_long_d3,0.991,0.9989,74
6,within_long_d4,0.989,0.9986,72
6,within_long_d5,0.9872,0.9981,70
6,within_long_d6,0.9855,0.9978,68
6,within_long_d7,0.9839,0.9976,66
6,within_long_d8,0.9825,0.9975,64
6,within_long_d9,0.9807,0.9973,62
6,within_long_d10,0.9787,0.9968,60
6,within_long_d11,0.9767,0.9964,58
6,within_long_d12,0.9747,0.9964,56
6,within_long_d13,0.9722,0.9956,54
6,within_long_d14,0.9697,0.9946,52
6,within_long_d15,0.9671,0.9938,50
6,within_long_d16,0.9643,0.9929,48
6,within_long_d17,0.9616,0.9924,46
6,within_long_d18,0.9591,0.992,44
6,within_long_d19,0.9564,0.9917,42
6,within_long_d20,0.9548,0.9912,40
6,within_long_d21,0.953,0.99,38
6,within_long_d22,0.9511,0.9892,36
6,within_long_d23,0.949,0.9876,34
6,within_long_d24,0.9469,0.9859,32
6,within_long_d25,0.9444,0.986,30
6,within_long_d26,0.9421,0.9839,28
6,within_long_d27,0.9401,0.9819,26
6,within_long_d28,0.9384,0.9817,24
6,within_long_d29,0.937,0.98,22
6,within_long_d30,0.9349,0.979,20
6,within_long_d31,0.9321,0.98,18
6,within_long_d32,0.9296,0.9781,16
6,within_long_d33,0.9267,0.9757,14
6,within_long_d34,0.9251,0.975,12
6,within_long_d35,0.9238,0.976,10
6,within_long_d36,0.9224,0.9762,8
6,within_long_d37,0.9183,0.9717,6
6,within_long_d38,0.9135,0.96,4
6,within_long_d39,0.9142,0.97,2
7,within_long,0.942,0.9858,296400
7,within_short,0.9994,1.0,8400
7,cut,-0.9661,0.0047,54600
7,cut,-0.9661,0.0047,54600
7,within_long_d1,0.9934,0.9991,76
7,within_long_d2,0.9882,0.9984,74
7,within_long_d3,0.9841,0.9982,72
7,within_long_d4,0.9804,0.9979,70
7,within_long_d5,0.9771,0.9975,68
7,within_long_d6,0.974,0.9976,66
7,within_long_d7,0.9712,0.9972,64
7,within_long_d8,0.9683,0.9969,62
7,within_long_d9,0.9646,0.9968,60
7,within_long_d10,0.9604,0.996,58
7,within_long_d11,0.9563,0.9955,56
7,within_long_d12,0.9517,0.9948,54
7,within_long_d13,0.9467,0.9931,52
7,within_long_d14,0.9416,0.9918,50
7,within_long_d15,0.9362,0.9888,48
7,within_long_d16,0.9306,0.9857,46
7,within_long_d17,0.9249,0.9825,44
7,within_long_d18,0.9191,0.9819,42
7,within_long_d19,0.9134,0.9798,40
7,within_long_d20,0.9098,0.9774,38
7,within_long_d21,0.9059,0.9728,36
7,within_long_d22,0.9018,0.9718,34
7,within_long_d23,0.8973,0.9681,32
7,within_long_d24,0.8923,0.966,30
7,within_long_d25,0.8878,0.9611,28
7,within_long_d26,0.8839,0.9627,26
7,within_long_d27,0.8803,0.9596,24
7,within_long_d28,0.8775,0.9545,22
7,within_long_d29,0.8745,0.954,20
7,within_long_d30,0.8716,0.955,18
7,within_long_d31,0.8684,0.9531,16
7,within_long_d32,0.8649,0.95,14
7,within_long_d33,0.8611,0.9442,12
7,within_long_d34,0.8581,0.942,10
7,within_long_d35,0.8557,0.94,8
7,within_long_d36,0.849,0.9367,6
7,within_long_d37,0.8393,0.93,4
7,within_long_d38,0.8277,0.915,2
8,within_long,0.876,0.9614,281200
8,within_short,0.9991,1.0,11200
8,cut,-0.9256,0.0113,60800
8,cut,-0.9256,0.0113,60800
8,within_long_d1,0.9872,0.9995,74
8,within_long_d2,0.9758,0.9983,72
8,within_long_d3,0.9665,0.998,70
8,within_long_d4,0.9577,0.9972,68
8,within_long_d5,0.9498,0.9965,66
8,within_long_d6,0.9427,0.9967,64
8,within_long_d7,0.9354,0.9956,62
8,within_long_d8,0.9283,0.9943,60
8,within_long_d9,0.9202,0.9929,58
8,within_long_d10,0.9113,0.9902,56
8,within_long_d11,0.9016,0.9867,54
8,within_long_d12,0.8912,0.9823,52
8,within_long_d13,0.8793,0.9764,50
8,within_long_d14,0.8674,0.97,48
8,within_long_d15,0.8552,0.9635,46
8,within_long_d16,0.8428,0.9552,44
8,within_long_d17,0.8299,0.9479,42
8,within_long_d18,0.8168,0.9447,40
8,within_long_d19,0.8037,0.9397,38
8,within_long_d20,0.7964,0.9325,36
8,within_long_d21,0.7884,0.925,34
8,within_long_d22,0.7799,0.9147,32
8,within_long_d23,0.7714,0.903,30
8,within_long_d24,0.7643,0.8954,28
8,within_long_d25,0.7579,0.8892,26
8,within_long_d26,0.7529,0.885,24
8,within_long_d27,0.7487,0.8836,22
8,within_long_d28,0.7453,0.8805,20
8,within_long_d29,0.7412,0.8722,18
8,within_long_d30,0.7361,0.8656,16
8,within_long_d31,0.7294,0.8614,14
