split_a,mode,metric,distance,value,n_pairs
1,random,reach_long_by_dist,1,1.0,88
1,random,reach_long_by_dist,2,1.0,86
1,random,reach_long_by_dist,3,1.0,84
1,random,reach_long_by_dist,4,1.0,82
1,random,reach_long_by_dist,5,1.0,80
1,random,reach_long_by_dist,6,1.0,78
1,random,reach_long_by_dist,7,1.0,76
1,random,reach_long_by_dist,8,1.0,74
1,random,reach_long_by_dist,9,1.0,72
1,random,reach_long_by_dist,10,1.0,70
1,random,reach_long_by_dist,11,1.0,68
1,random,reach_long_by_dist,12,1.0,66
1,random,reach_long_by_dist,13,1.0,64
1,random,reach_long_by_dist,14,1.0,62
1,random,reach_long_by_dist,15,1.0,60
1,random,reach_long_by_dist,16,0.9998,58
1,random,reach_long_by_dist,17,1.0,56
1,random,reach_long_by_dist,18,1.0,54
1,random,reach_long_by_dist,19,0.9998,52
1,random,reach_long_by_dist,20,0.9998,50
1,random,reach_long_by_dist,21,1.0,48
1,random,reach_long_by_dist,22,1.0,46
1,random,reach_long_by_dist,23,0.9998,44
1,random,reach_long_by_dist,24,1.0,42
1,random,reach_long_by_dist,25,0.9998,40
1,random,reach_long_by_dist,26,0.9997,38
1,random,reach_long_by_dist,27,0.9992,36
1,random,reach_long_by_dist,28,0.9997,34
1,random,reach_long_by_dist,29,0.9997,32
1,random,reach_long_by_dist,30,1.0,30
1,random,reach_long_by_dist,31,0.9996,28
1,random,reach_long_by_dist,32,0.9992,26
1,random,reach_long_by_dist,33,0.9983,24
1,random,reach_long_by_dist,34,0.9982,22
1,random,reach_long_by_dist,35,0.9985,20
1,random,reach_long_by_dist,36,0.9983,18
1,random,reach_long_by_dist,37,0.9988,16
1,random,reach_long_by_dist,38,0.9993,14
1,random,reach_long_by_dist,39,1.0,12
1,random,reach_long_by_dist,40,1.0,10
1,random,reach_long_by_dist,41,0.9988,8
1,random,reach_long_by_dist,42,0.9967,6
1,random,reach_long_by_dist,43,0.9975,4
1,random,reach_long_by_dist,44,0.99,2
1,random,exact,,0.0,
1,random,reach_long,,0.9998,
1,random,reach_short,,nan,
1,random,cut,,0.0048,
1,random,pred_positive_rate,,0.9996,
2,random,reach_long_by_dist,1,1.0,86
2,random,reach_long_by_dist,2,1.0,84
2,random,reach_long_by_dist,3,1.0,82
2,random,reach_long_by_dist,4,1.0,80
2,random,reach_long_by_dist,5,1.0,78
2,random,reach_long_by_dist,6,1.0,76
2,random,reach_long_by_dist,7,1.0,74
2,random,reach_long_by_dist,8,1.0,72
2,random,reach_long_by_dist,9,1.0,70
2,random,reach_long_by_dist,10,1.0,68
2,random,reach_long_by_dist,11,1.0,66
2,random,reach_long_by_dist,12,1.0,64
2,random,reach_long_by_dist,13,1.0,62
2,random,reach_long_by_dist,14,1.0,60
2,random,reach_long_by_dist,15,1.0,58
2,random,reach_long_by_dist,16,1.0,56
2,random,reach_long_by_dist,17,1.0,54
2,random,reach_long_by_dist,18,1.0,52
2,random,reach_long_by_dist,19,1.0,50
2,random,reach_long_by_dist,20,1.0,48
2,random,reach_long_by_dist,21,1.0,46
2,random,reach_long_by_dist,22,1.0,44
2,random,reach_long_by_dist,23,1.0,42
2,random,reach_long_by_dist,24,1.0,40
2,random,reach_long_by_dist,25,1.0,38
2,random,reach_long_by_dist,26,1.0,36
2,random,reach_long_by_dist,27,1.0,34
2,random,reach_long_by_dist,28,1.0,32
2,random,reach_long_by_dist,29,1.0,30
2,random,reach_long_by_dist,30,1.0,28
