split_a,pair_type,mean_cos,frac_positive,n_pairs
1,within_long,0.7284,1.0,396000
1,cut,0.3786,0.9063,9000
1,cut,0.3786,0.9063,9000
1,within_long_d1,0.9751,1.0,88
1,within_long_d2,0.9427,1.0,86
1,within_long_d3,0.919,1.0,84
1,within_long_d4,0.8978,1.0,82
1,within_long_d5,0.8727,1.0,80
1,within_long_d6,0.8459,1.0,78
1,within_long_d7,0.8268,1.0,76
1,within_long_d8,0.8208,1.0,74
1,within_long_d9,0.8161,1.0,72
1,within_long_d10,0.8058,1.0,70
1,within_long_d11,0.7897,1.0,68
1,within_long_d12,0.7759,1.0,66
1,within_long_d13,0.7647,1.0,64
1,within_long_d14,0.7531,1.0,62
1,within_long_d15,0.7385,1.0,60
1,within_long_d16,0.7237,1.0,58
1,within_long_d17,0.7125,1.0,56
1,within_long_d18,0.7036,1.0,54
1,within_long_d19,0.6941,1.0,52
1,within_long_d20,0.6839,1.0,50
1,within_long_d21,0.6729,1.0,48
1,within_long_d22,0.661,1.0,46
1,within_long_d23,0.6481,1.0,44
1,within_long_d24,0.6341,1.0,42
1,within_long_d25,0.6188,1.0,40
1,within_long_d26,0.6021,1.0,38
1,within_long_d27,0.5839,1.0,36
1,within_long_d28,0.5643,1.0,34
1,within_long_d29,0.5434,1.0,32
1,within_long_d30,0.5212,1.0,30
1,within_long_d31,0.4972,1.0,28
1,within_long_d32,0.4707,1.0,26
1,within_long_d33,0.441,1.0,24
1,within_long_d34,0.409,1.0,22
1,within_long_d35,0.3752,1.0,20
1,within_long_d36,0.3401,1.0,18
1,within_long_d37,0.3057,1.0,16
1,within_long_d38,0.2728,1.0,14
1,within_long_d39,0.2396,1.0,12
1,within_long_d40,0.2123,1.0,10
1,within_long_d41,0.1838,1.0,8
1,within_long_d42,0.1571,1.0,6
1,within_long_d43,0.1375,1.0,4
1,within_long_d44,0.129,1.0,2
2,within_long,0.8202,1.0,378400
2,within_short,1.0,1.0,400
2,cut,-0.3895,0.0,17600
2,cut,-0.3895,0.0,17600
2,within_long_d1,0.9796,1.0,86
2,within_long_d2,0.9542,1.0,84
2,within_long_d3,0.936,1.0,82
2,within_long_d4,0.918,1.0,80
2,within_long_d5,0.898,1.0,78
2,within_long_d6,0.8776,1.0,76
2,within_long_d7,0.8617,1.0,74
2,within_long_d8,0.8547,1.0,72
2,within_long_d9,0.85,1.0,70
2,within_long_d10,0.8449,1.0,68
2,within_long_d11,0.8392,1.0,66
2,within_long_d12,0.8353,1.0,64
2,within_long_d13,0.8326,1.0,62
2,within_long_d14,0.8299,1.0,60
2,within_long_d15,0.8237,1.0,58
2,within_long_d16,0.8155,1.0,56
2,within_long_d17,0.809,1.0,54
2,within_long_d18,0.8034,1.0,52
2,within_long_d19,0.7971,1.0,50
2,within_long_d20,0.7905,1.0,48
2,within_long_d21,0.7833,1.0,46
2,within_long_d22,0.7756,1.0,44
2,within_long_d23,0.7674,1.0,42
2,within_long_d24,0.7584,1.0,40
2,within_long_d25,0.7487,1.0,38
2,within_long_d26,0.7385,1.0,36
2,within_long_d27,0.728,1.0,34
2,within_long_d28,0.7175,1.0,32
2,within_long_d29,0.707,1.0,30
2,within_long_d30,0.697,1.0,28
2,within_long_d31,0.6874,1.0,26
2,within_long_d32,0.678,1.0,24
2,within_long_d33,0.6682,1.0,22
2,within_long_d34,0.6572,1.0,20
2,within_long_d35,0.6449,1.0,18
2,within_long_d36,0.6316,1.0,16
2,within_long_d37,0.615,1.0,14
2,within_long_d38,0.5894,1.0,12
2,within_long_d39,0.561,1.0,10
2,within_long_d40,0.5289,1.0,8
2,within_long_d41,0.502,1.0,6
2,within_long_d42,0.4803,1.0,4
2,within_long_d43,0.4603,1.0,2
3,within_long,0.9615,1.0,361200
3,within_short,0.8405,1.0,1200
3,cut,-0.6167,0.0,25800
3,cut,-0.6167,0.0,25800
3,within_long_d1,0.9968,1.0,84
3,within_long_d2,0.992,1.0,82
3,within_long_d3,0.9873,1.0,80
3,within_long_d4,0.9825,1.0,78
3,within_long_d5,0.9774,1.0,76
3,within_long_d6,0.9718,1.0,74
3,within_long_d7,0.9663,1.0,72
3,within_long_d8,0.9618,1.0,70
3,within_long_d9,0.9581,1.0,68
3,within_long_d10,0.9549,1.0,66
3,within_long_d11,0.9521,1.0,64
3,within_long_d12,0.9498,1.0,62
3,within_long_d13,0.9483,1.0,60
3,within_long_d14,0.9475,1.0,58
3,within_long_d15,0.9471,1.0,56
3,within_long_d16,0.9469,1.0,54
3,within_long_d17,0.9468,1.0,52
3,within_long_d18,0.9468,1.0,50
3,within_long_d19,0.9469,1.0,48
3,within_long_d20,0.9471,1.0,46
3,within_long_d21,0.9474,1.0,44
3,within_long_d22,0.9477,1.0,42
3,within_long_d23,0.9482,1.0,40
3,within_long_d24,0.9486,1.0,38
3,within_long_d25,0.9492,1.0,36
3,within_long_d26,0.9498,1.0,34
3,within_long_d27,0.9506,1.0,32
3,within_long_d28,0.9516,1.0,30
3,within_long_d29,0.9528,1.0,28
3,within_long_d30,0.9544,1.0,26
3,within_long_d31,0.9565,1.0,24
3,within_long_d32,0.9592,1.0,22
3,within_long_d33,0.9626,1.0,20
3,within_long_d34,0.9667,1.0,18
3,within_long_d35,0.9702,1.0,16
3,within_long_d36,0.9719,1.0,14
3,within_long_d37,0.9709,1.0,12
3,within_long_d38,0.9714,1.0,10
3,within_long_d39,0.9724,1.0,8
3,within_long_d40,0.9732,1.0,6
3,within_long_d41,0.9736,1.0,4
3,within_long_d42,0.9724,1.0,2
4,within_long,0.9426,1.0,344400
4,within_short,0.9705,1.0,2400
4,cut,-0.5249,0.0,33600
4,cut,-0.5249,0.0,33600
4,within_long_d1,0.9939,1.0,82
4,within_long_d2,0.9855,1.0,80
4,within_long_d3,0.9781,1.0,78
4,within_long_d4,0.9703,1.0,76
4,within_long_d5,0.962,1.0,74
4,within_long_d6,0.9536,1.0,72
4,within_long_d7,0.9463,1.0,70
4,within_long_d8,0.9414,1.0,68
4,within_long_d9,0.9377,1.0,66
4,within_long_d10,0.935,1.0,64
4,within_long_d11,0.9333,1.0,62
4,within_long_d12,0.9328,1.0,60
4,within_long_d13,0.9331,1.0,58
4,within_long_d14,0.9337,1.0,56
4,within_long_d15,0.9332,1.0,54
4,within_long_d16,0.9319,1.0,52
4,within_long_d17,0.9309,1.0,50
4,within_long_d18,0.93,1.0,48
4,within_long_d19,0.9291,1.0,46
4,within_long_d20,0.9282,1.0,44
4,within_long_d21,0.9273,1.0,42
4,within_long_d22,0.9263,1.0,40
4,within_long_d23,0.9253,1.0,38
4,within_long_d24,0.9244,1.0,36
4,within_long_d25,0.9236,1.0,34
4,within_long_d26,0.923,1.0,32
4,within_long_d27,0.9226,1.0,30
4,within_long_d28,0.9226,1.0,28
4,within_long_d29,0.923,1.0,26
4,within_long_d30,0.9238,1.0,24
4,within_long_d31,0.9248,1.0,22
4,within_long_d32,0.9263,1.0,20
4,within_long_d33,0.9287,1.0,18
4,within_long_d34,0.9315,1.0,16
4,within_long_d35,0.9332,1.0,14
4,within_long_d36,0.9314,1.0,12
4,within_long_d37,0.9271,1.0,10
4,within_long_d38,0.917,1.0,8
4,within_long_d39,0.9025,1.0,6
4,within_long_d40,0.8924,1.0,4
4,within_long_d41,0.8794,1.0,2
5,within_long,0.9523,1.0,328000
5,within_short,0.8974,1.0,4000
