split_a,pair_type,mean_cos,frac_positive,n_pairs
3,within_long,0.3944,0.9964,361200
3,within_short,1.0,1.0,1200
3,cut,-0.3539,0.0,25800
3,cut,-0.3539,0.0,25800
3,within_long_d1,0.9238,1.0,86
3,within_long_d2,0.8037,1.0,86
3,within_long_d3,0.6918,1.0,86
3,within_long_d4,0.6025,1.0,86
3,within_long_d5,0.5387,1.0,86
3,within_long_d6,0.4933,1.0,86
3,within_long_d7,0.4566,1.0,86
3,within_long_d8,0.4315,1.0,86
3,within_long_d9,0.4101,1.0,86
3,within_long_d10,0.3874,1.0,86
3,within_long_d11,0.3601,1.0,86
3,within_long_d12,0.3376,1.0,86
3,within_long_d13,0.3113,1.0,86
3,within_long_d14,0.2798,1.0,86
3,within_long_d15,0.2443,1.0,86
3,within_long_d16,0.2099,0.9973,86
3,within_long_d17,0.18,0.9741,86
3,within_long_d18,0.1612,0.963,86
3,within_long_d19,0.1538,0.9917,86
3,within_long_d20,0.1524,0.9991,86
3,within_long_d21,0.152,0.9998,86
4,within_long,0.451,1.0,344400
4,within_short,0.9998,1.0,2400
4,cut,-0.3781,0.0,33600
4,cut,-0.3781,0.0,33600
4,within_long_d1,0.9222,1.0,84
4,within_long_d2,0.8076,1.0,84
4,within_long_d3,0.7068,1.0,84
4,within_long_d4,0.628,1.0,84
4,within_long_d5,0.5714,1.0,84
4,within_long_d6,0.5327,1.0,84
4,within_long_d7,0.5006,1.0,84
4,within_long_d8,0.4807,1.0,84
4,within_long_d9,0.4598,1.0,84
4,within_long_d10,0.4334,1.0,84
4,within_long_d11,0.4077,1.0,84
4,within_long_d12,0.3907,1.0,84
4,within_long_d13,0.3685,1.0,84
4,within_long_d14,0.3402,1.0,84
4,within_long_d15,0.3095,1.0,84
4,within_long_d16,0.2815,1.0,84
4,within_long_d17,0.2588,1.0,84
4,within_long_d18,0.2451,1.0,84
4,within_long_d19,0.2402,1.0,84
4,within_long_d20,0.2399,1.0,84
4,within_long_d21,0.2399,1.0,42
5,within_long,0.5116,1.0,328000
5,within_short,0.9995,1.0,4000
5,cut,-0.4179,0.0,41000
5,cut,-0.4179,0.0,41000
5,within_long_d1,0.9227,1.0,82
5,within_long_d2,0.8165,1.0,82
5,within_long_d3,0.7286,1.0,82
5,within_long_d4,0.6612,1.0,82
5,within_long_d5,0.6116,1.0,82
5,within_long_d6,0.578,1.0,82
5,within_long_d7,0.5495,1.0,82
5,within_long_d8,0.5336,1.0,82
5,within_long_d9,0.5115,1.0,82
5,within_long_d10,0.4841,1.0,82
5,within_long_d11,0.4639,1.0,82
5,within_long_d12,0.4523,1.0,82
5,within_long_d13,0.4329,1.0,82
5,within_long_d14,0.4076,1.0,82
5,within_long_d15,0.3817,1.0,82
5,within_long_d16,0.3597,1.0,82
5,within_long_d17,0.343,1.0,82
5,within_long_d18,0.3334,1.0,82
5,within_long_d19,0.3303,1.0,82
5,within_long_d20,0.3304,1.0,82
6,within_long,0.4106,0.9991,312000
6,within_short,0.9975,1.0,6000
6,cut,-0.3977,0.0,48000
6,cut,-0.3977,0.0,48000
6,within_long_d1,0.916,1.0,80
6,within_long_d2,0.7932,1.0,80
6,within_long_d3,0.6845,1.0,80
6,within_long_d4,0.5982,1.0,80
6,within_long_d5,0.5364,1.0,80
6,within_long_d6,0.4913,1.0,80
6,within_long_d7,0.4533,1.0,80
6,within_long_d8,0.4279,1.0,80
6,within_long_d9,0.4026,1.0,80
6,within_long_d10,0.375,1.0,80
6,within_long_d11,0.3484,1.0,80
6,within_long_d12,0.3286,1.0,80
6,within_long_d13,0.3038,1.0,80
6,within_long_d14,0.2738,1.0,80
6,within_long_d15,0.2413,1.0,80
6,within_long_d16,0.2117,1.0,80
6,within_long_d17,0.1882,0.9995,80
6,within_long_d18,0.1754,0.9944,80
6,within_long_d19,0.1718,0.9926,80
6,within_long_d20,0.1721,0.992,40
7,within_long,0.3735,0.921,296400
7,within_short,0.9974,1.0,8400
7,cut,-0.4271,0.0,54600
7,cut,-0.4271,0.0,54600
7,within_long_d1,0.9197,1.0,78
7,within_long_d2,0.7986,1.0,78
7,within_long_d3,0.6859,1.0,78
7,within_long_d4,0.5918,1.0,78
7,within_long_d5,0.5185,1.0,78
7,within_long_d6,0.4566,1.0,78
7,within_long_d7,0.4055,1.0,78
7,within_long_d8,0.3697,1.0,78
7,within_long_d9,0.3385,1.0,78
7,within_long_d10,0.3164,1.0,78
7,within_long_d11,0.2947,1.0,78
7,within_long_d12,0.2732,0.9999,78
7,within_long_d13,0.2476,0.9994,78
7,within_long_d14,0.2214,0.9938,78
7,within_long_d15,0.1919,0.9424,78
7,within_long_d16,0.1574,0.8291,78
7,within_long_d17,0.1215,0.731,78
7,within_long_d18,0.0977,0.5182,78
7,within_long_d19,0.0894,0.485,78
8,within_long,0.396,0.9464,281200
8,within_short,0.9892,1.0,11200
8,cut,-0.4425,0.0,60800
8,cut,-0.4425,0.0,60800
8,within_long_d1,0.9213,1.0,76
8,within_long_d2,0.8024,1.0,76
8,within_long_d3,0.6913,1.0,76
8,within_long_d4,0.5987,1.0,76
8,within_long_d5,0.5264,1.0,76
8,within_long_d6,0.4656,1.0,76
8,within_long_d7,0.4154,1.0,76
8,within_long_d8,0.3801,1.0,76
8,within_long_d9,0.35,1.0,76
8,within_long_d10,0.3292,1.0,76
8,within_long_d11,0.3093,1.0,76
8,within_long_d12,0.2901,1.0,76
8,within_long_d13,0.2673,1.0,76
8,within_long_d14,0.2441,0.9974,76
8,within_long_d15,0.217,0.9757,76
8,within_long_d16,0.1845,0.8839,76
8,within_long_d17,0.1496,0.7883,76
8,within_long_d18,0.1259,0.5864,76
8,within_long_d19,0.1171,0.5526,38
9,within_long,0.4064,0.9671,266400
9,within_short,0.9817,1.0,14400
9,cut,-0.4549,0.0,66600
9,cut,-0.4549,0.0,66600
9,within_long_d1,0.9211,1.0,74
9,within_long_d2,0.8019,1.0,74
9,within_long_d3,0.6905,1.0,74
9,within_long_d4,0.5975,1.0,74
9,within_long_d5,0.525,1.0,74
9,within_long_d6,0.4637,1.0,74
9,within_long_d7,0.4132,1.0,74
9,within_long_d8,0.3779,1.0,74
9,within_long_d9,0.3481,1.0,74
9,within_long_d10,0.3285,1.0,74
9,within_long_d11,0.3106,1.0,74
9,within_long_d12,0.2938,1.0,74
9,within_long_d13,0.2735,1.0,74
9,within_long_d14,0.2525,0.9997,74
9,within_long_d15,0.227,0.9961,74
9,within_long_d16,0.195,0.9403,74
9,within_long_d17,0.1601,0.8418,74
9,within_long_d18,0.1359,0.6296,74
10,within_long,0.4232,0.9867,252000
10,within_short,0.9745,1.0,18000
10,cut,-0.4688,0.0,72000
10,cut,-0.4688,0.0,72000
10,within_long_d1,0.9221,1.0,72
10,within_long_d2,0.8035,1.0,72
10,within_long_d3,0.6923,1.0,72
