split_a,mode,metric,distance,value,n_pairs
1,random,reach_long_by_dist,1,1.0,124
1,random,reach_long_by_dist,2,1.0,122
1,random,reach_long_by_dist,3,1.0,120
1,random,reach_long_by_dist,4,1.0,118
1,random,reach_long_by_dist,5,1.0,116
1,random,reach_long_by_dist,6,1.0,114
1,random,reach_long_by_dist,7,1.0,112
1,random,reach_long_by_dist,8,1.0,110
1,random,reach_long_by_dist,9,1.0,108
1,random,reach_long_by_dist,10,1.0,106
1,random,reach_long_by_dist,11,1.0,104
1,random,reach_long_by_dist,12,1.0,102
1,random,reach_long_by_dist,13,1.0,100
1,random,reach_long_by_dist,14,1.0,98
1,random,reach_long_by_dist,15,1.0,96
1,random,reach_long_by_dist,16,1.0,94
1,random,reach_long_by_dist,17,1.0,92
1,random,reach_long_by_dist,18,1.0,90
1,random,reach_long_by_dist,19,1.0,88
1,random,reach_long_by_dist,20,1.0,86
1,random,reach_long_by_dist,21,1.0,84
1,random,reach_long_by_dist,22,1.0,82
1,random,reach_long_by_dist,23,1.0,80
1,random,reach_long_by_dist,24,1.0,78
1,random,reach_long_by_dist,25,1.0,76
1,random,reach_long_by_dist,26,1.0,74
1,random,reach_long_by_dist,27,1.0,72
1,random,reach_long_by_dist,28,1.0,70
1,random,reach_long_by_dist,29,1.0,68
1,random,reach_long_by_dist,30,1.0,66
1,random,reach_long_by_dist,31,1.0,64
1,random,reach_long_by_dist,32,1.0,62
1,random,reach_long_by_dist,33,1.0,60
1,random,reach_long_by_dist,34,1.0,58
1,random,reach_long_by_dist,35,1.0,56
1,random,reach_long_by_dist,36,1.0,54
1,random,reach_long_by_dist,37,1.0,52
1,random,reach_long_by_dist,38,1.0,50
1,random,reach_long_by_dist,39,1.0,48
1,random,reach_long_by_dist,40,1.0,46
1,random,reach_long_by_dist,41,1.0,44
1,random,reach_long_by_dist,42,1.0,42
1,random,reach_long_by_dist,43,1.0,40
1,random,reach_long_by_dist,44,1.0,38
1,random,reach_long_by_dist,45,1.0,36
1,random,reach_long_by_dist,46,1.0,34
1,random,reach_long_by_dist,47,1.0,32
1,random,reach_long_by_dist,48,1.0,30
1,random,reach_long_by_dist,49,1.0,28
1,random,reach_long_by_dist,50,1.0,26
1,random,reach_long_by_dist,51,1.0,24
1,random,reach_long_by_dist,52,1.0,22
1,random,reach_long_by_dist,53,1.0,20
1,random,reach_long_by_dist,54,1.0,18
1,random,reach_long_by_dist,55,1.0,16
1,random,reach_long_by_dist,56,1.0,14
1,random,reach_long_by_dist,57,1.0,12
1,random,reach_long_by_dist,58,1.0,10
1,random,reach_long_by_dist,59,1.0,8
1,random,reach_long_by_dist,60,1.0,6
1,random,reach_long_by_dist,61,1.0,4
1,random,reach_long_by_dist,62,1.0,2
1,random,exact,,1.0,
1,random,reach_long,,1.0,
1,random,reach_short,,nan,
1,random,cut,,1.0,
1,random,pred_positive_rate,,0.9692,
2,random,reach_long_by_dist,1,1.0,122
2,random,reach_long_by_dist,2,1.0,120
2,random,reach_long_by_dist,3,1.0,118
2,random,reach_long_by_dist,4,1.0,116
2,random,reach_long_by_dist,5,1.0,114
2,random,reach_long_by_dist,6,1.0,112
2,random,reach_long_by_dist,7,1.0,110
2,random,reach_long_by_dist,8,1.0,108
