cell,k,small_size,pair_type,mean_cos,frac_positive,n_pairs
k5_s2,5,2,within_long,0.6995,1.0,198400
k5_s2,5,2,within_short,0.2091,0.2129,11200
k5_s2,5,2,cut,-0.2537,0.0,51200
k5_s2,5,2,cut,-0.2537,0.0,51200
k5_s2,5,2,within_long_d1,0.8975,1.0,62
k5_s2,5,2,within_long_d2,0.8114,1.0,60
k5_s2,5,2,within_long_d3,0.7777,1.0,58
k5_s2,5,2,within_long_d4,0.7609,1.0,56
k5_s2,5,2,within_long_d5,0.7501,1.0,54
k5_s2,5,2,within_long_d6,0.745,1.0,52
k5_s2,5,2,within_long_d7,0.7359,1.0,50
k5_s2,5,2,within_long_d8,0.7316,1.0,48
k5_s2,5,2,within_long_d9,0.7259,1.0,46
k5_s2,5,2,within_long_d10,0.7156,1.0,44
k5_s2,5,2,within_long_d11,0.7068,1.0,42
k5_s2,5,2,within_long_d12,0.6977,1.0,40
k5_s2,5,2,within_long_d13,0.6865,1.0,38
k5_s2,5,2,within_long_d14,0.6764,1.0,36
k5_s2,5,2,within_long_d15,0.6815,1.0,34
k5_s2,5,2,within_long_d16,0.7097,1.0,32
k5_s2,5,2,within_long_d17,0.7309,1.0,30
k5_s2,5,2,within_long_d18,0.6563,1.0,28
k5_s2,5,2,within_long_d19,0.5157,1.0,26
k5_s2,5,2,within_long_d20,0.5141,1.0,24
k5_s2,5,2,within_long_d21,0.5091,1.0,22
k5_s2,5,2,within_long_d22,0.5014,1.0,20
k5_s2,5,2,within_long_d23,0.4938,1.0,18
k5_s2,5,2,within_long_d24,0.4902,1.0,16
k5_s2,5,2,within_long_d25,0.4893,1.0,14
k5_s2,5,2,within_long_d26,0.4907,1.0,12
k5_s2,5,2,within_long_d27,0.5032,1.0,10
k5_s2,5,2,within_long_d28,0.5081,1.0,8
k5_s2,5,2,within_long_d29,0.5093,1.0,6
k5_s2,5,2,within_long_d30,0.5052,1.0,4
k5_s2,5,2,within_long_d31,0.5125,1.0,2
k5_s3,5,3,within_long,0.7879,1.0,151200
k5_s3,5,3,within_short,0.1697,0.292,26400
k5_s3,5,3,cut,-0.2743,0.0,67200
k5_s3,5,3,cut,-0.2743,0.0,67200
k5_s3,5,3,within_long_d1,0.9239,1.0,54
k5_s3,5,3,within_long_d2,0.8602,1.0,52
k5_s3,5,3,within_long_d3,0.8335,1.0,50
k5_s3,5,3,within_long_d4,0.8189,1.0,48
k5_s3,5,3,within_long_d5,0.8096,1.0,46
k5_s3,5,3,within_long_d6,0.806,1.0,44
k5_s3,5,3,within_long_d7,0.7984,1.0,42
k5_s3,5,3,within_long_d8,0.7943,1.0,40
k5_s3,5,3,within_long_d9,0.788,1.0,38
k5_s3,5,3,within_long_d10,0.7784,1.0,36
k5_s3,5,3,within_long_d11,0.7702,1.0,34
k5_s3,5,3,within_long_d12,0.7639,1.0,32
k5_s3,5,3,within_long_d13,0.759,1.0,30
k5_s3,5,3,within_long_d14,0.7562,1.0,28
k5_s3,5,3,within_long_d15,0.7644,1.0,26
k5_s3,5,3,within_long_d16,0.7872,1.0,24
k5_s3,5,3,within_long_d17,0.7992,1.0,22
k5_s3,5,3,within_long_d18,0.7378,1.0,20
k5_s3,5,3,within_long_d19,0.632,1.0,18
k5_s3,5,3,within_long_d20,0.6382,1.0,16
k5_s3,5,3,within_long_d21,0.6452,1.0,14
k5_s3,5,3,within_long_d22,0.6536,1.0,12
k5_s3,5,3,within_long_d23,0.6664,1.0,10
k5_s3,5,3,within_long_d24,0.6682,1.0,8
k5_s3,5,3,within_long_d25,0.6604,1.0,6
k5_s3,5,3,within_long_d26,0.6622,1.0,4
k5_s3,5,3,within_long_d27,0.6748,1.0,2
k5_s4,5,4,within_long,0.7343,1.0,110400
k5_s4,5,4,within_short,0.1596,0.2138,48000
k5_s4,5,4,cut,-0.2085,0.0,76800
k5_s4,5,4,cut,-0.2085,0.0,76800
k5_s4,5,4,within_long_d1,0.9038,1.0,46
k5_s4,5,4,within_long_d2,0.8231,1.0,44
k5_s4,5,4,within_long_d3,0.7823,1.0,42
k5_s4,5,4,within_long_d4,0.7545,1.0,40
k5_s4,5,4,within_long_d5,0.7367,1.0,38
k5_s4,5,4,within_long_d6,0.7322,1.0,36
