split_a,branch,category,value
4,dZ_attn1,within_short,2.16201
4,dZ_attn1,within_long_near,12.32015
4,dZ_attn1,within_long_far,13.41522
4,dZ_attn1,cross,9.15041
4,dZ_mlp1,within_short,-7.08501
4,dZ_mlp1,within_long_near,-7.75192
4,dZ_mlp1,within_long_far,-8.886
4,dZ_mlp1,cross,-5.77793
4,dZ_attn2,within_short,7.95481
4,dZ_attn2,within_long_near,20.79985
4,dZ_attn2,within_long_far,22.16107
4,dZ_attn2,cross,10.06832
4,dZ_mlp2,within_short,-0.09475
4,dZ_mlp2,within_long_near,4.87063
4,dZ_mlp2,within_long_far,6.24015
4,dZ_mlp2,cross,-35.14254
23,dZ_attn1,within_short,12.06778
23,dZ_attn1,within_long_near,11.87346
23,dZ_attn1,within_long_far,14.37092
23,dZ_attn1,cross,11.02703
23,dZ_mlp1,within_short,-7.60356
23,dZ_mlp1,within_long_near,-7.4887
23,dZ_mlp1,within_long_far,-9.37905
23,dZ_mlp1,cross,-7.32128
23,dZ_attn2,within_short,16.00472
23,dZ_attn2,within_long_near,16.06415
23,dZ_attn2,within_long_far,14.2129
23,dZ_attn2,cross,10.21192
23,dZ_mlp2,within_short,-7.28072
23,dZ_mlp2,within_long_near,-7.02242
23,dZ_mlp2,within_long_far,-11.94561
23,dZ_mlp2,cross,-14.21994
