split_a,stage,metric,value
4,H0,exact,0.0
4,H0,reach_long,0.10337
4,H0,reach_long_near,0.17017
4,H0,reach_long_far,0.0
4,H0,reach_short,1.0
4,H0,cut,1.0
4,H0,pred_positive_rate,0.11153
4,Hattn1,exact,0.0
4,Hattn1,reach_long,1.0
4,Hattn1,reach_long_near,1.0
4,Hattn1,reach_long_far,1.0
4,Hattn1,reach_short,1.0
4,Hattn1,cut,9e-05
4,Hattn1,pred_positive_rate,0.99999
4,H1,exact,0.0
4,H1,reach_long,0.93873
4,H1,reach_long_near,0.92376
4,H1,reach_long_far,0.96191
4,H1,reach_short,1.0
4,H1,cut,0.38504
4,H1,pred_positive_rate,0.889
4,Hattn2,exact,0.0
4,Hattn2,reach_long,1.0
4,Hattn2,reach_long_near,1.0
4,Hattn2,reach_long_far,1.0
4,Hattn2,reach_short,1.0
4,Hattn2,cut,0.0
4,Hattn2,pred_positive_rate,1.0
4,H2,exact,1.0
4,H2,reach_long,1.0
4,H2,reach_long_near,1.0
4,H2,reach_long_far,1.0
4,H2,reach_short,1.0
4,H2,cut,1.0
4,H2,pred_positive_rate,0.84121
23,H0,exact,0.0
23,H0,reach_long,0.20158
23,H0,reach_long_near,0.21162
23,H0,reach_long_far,0.0
23,H0,reach_short,0.20158
23,H0,cut,1.0
23,H0,pred_positive_rate,0.11815
23,Hattn1,exact,0.0
23,Hattn1,reach_long,1.0
23,Hattn1,reach_long_near,1.0
23,Hattn1,reach_long_far,1.0
23,Hattn1,reach_short,1.0
23,Hattn1,cut,0.0
23,Hattn1,pred_positive_rate,1.0
23,H1,exact,0.0
23,H1,reach_long,0.948
23,H1,reach_long_near,0.94541
23,H1,reach_long_far,1.0
23,H1,reach_short,0.95127
23,H1,cut,0.20912
23,H1,pred_positive_rate,0.87135
23,Hattn2,exact,0.0
23,Hattn2,reach_long,1.0
23,Hattn2,reach_long_near,1.0
23,Hattn2,reach_long_far,1.0
23,Hattn2,reach_short,1.0
23,Hattn2,cut,0.00044
23,Hattn2,pred_positive_rate,0.99978
23,H2,exact,0.0
23,H2,reach_long,1.0
23,H2,reach_long_near,1.0
23,H2,reach_long_far,1.0
23,H2,reach_short,1.0
23,H2,cut,0.70348
23,H2,pred_positive_rate,0.64826
