split_a,stage,quantity,value
4,H0,mu_short,0.83012
4,H0,mu_long_near,0.06974
4,H0,mu_long_far,-0.01083
4,H0,mu_cross,-0.02345
4,H0,M_far,0.01262
4,Hattn1,mu_short,0.89082
4,Hattn1,mu_long_near,0.4418
4,Hattn1,mu_long_far,0.39488
4,Hattn1,mu_cross,0.262
4,Hattn1,M_far,0.13288
4,H1,mu_short,0.69217
4,H1,mu_long_near,0.21022
4,H1,mu_long_far,0.13342
4,H1,mu_cross,0.08304
4,H1,M_far,0.05038
4,Hattn2,mu_short,0.91779
4,Hattn2,mu_long_near,0.83809
4,Hattn2,mu_long_far,0.79752
4,Hattn2,mu_cross,0.41107
4,Hattn2,M_far,0.38645
4,H2,mu_short,0.9449
4,H2,mu_long_near,0.97351
4,H2,mu_long_far,0.97394
4,H2,mu_cross,-0.64385
4,H2,M_far,1.61779
23,H0,mu_short,0.08173
23,H0,mu_long_near,0.08619
23,H0,mu_long_far,-0.00984
23,H0,mu_cross,-0.01421
23,H0,M_far,0.00437
23,Hattn1,mu_short,0.44317
23,Hattn1,mu_long_near,0.44449
23,Hattn1,mu_long_far,0.42078
23,Hattn1,mu_cross,0.31996
23,Hattn1,M_far,0.10083
23,H1,mu_short,0.21692
23,H1,mu_long_near,0.22025
23,H1,mu_long_far,0.14705
23,H1,mu_cross,0.10166
23,H1,M_far,0.04539
23,Hattn2,mu_short,0.70752
23,Hattn2,mu_long_near,0.71375
23,Hattn2,mu_long_far,0.58977
23,Hattn2,mu_cross,0.42744
23,Hattn2,M_far,0.16233
23,H2,mu_short,0.5132
23,H2,mu_long_near,0.51664
23,H2,mu_long_far,0.41686
23,H2,mu_cross,0.0757
23,H2,M_far,0.34116
