split_a,branch,category,value
4,dZ_attn1,within_short,7.84857
4,dZ_attn1,within_long_near,3.44199
4,dZ_attn1,within_long_far,0.51608
4,dZ_attn1,cross,0.1828
4,dZ_mlp1,within_short,-2.86241
4,dZ_mlp1,within_long_near,6.61822
4,dZ_mlp1,within_long_far,8.28529
4,dZ_mlp1,cross,5.32477
4,dZ_attn2,within_short,4.87974
4,dZ_attn2,within_long_near,8.35329
4,dZ_attn2,within_long_far,7.67967
4,dZ_attn2,cross,-0.42036
4,dZ_mlp2,within_short,0.65449
4,dZ_mlp2,within_long_near,2.12106
4,dZ_mlp2,within_long_far,6.8802
4,dZ_mlp2,cross,-23.54163
23,dZ_attn1,within_short,2.35344
23,dZ_attn1,within_long_near,3.46632
23,dZ_attn1,within_long_far,0.42394
23,dZ_attn1,cross,0.55965
23,dZ_mlp1,within_short,6.40672
23,dZ_mlp1,within_long_near,5.90218
23,dZ_mlp1,within_long_far,7.14764
23,dZ_mlp1,cross,7.8842
23,dZ_attn2,within_short,5.54476
23,dZ_attn2,within_long_near,6.95592
23,dZ_attn2,within_long_far,3.05079
23,dZ_attn2,cross,0.12377
23,dZ_mlp2,within_short,-4.92428
23,dZ_mlp2,within_long_near,-4.46848
23,dZ_mlp2,within_long_far,-5.68547
23,dZ_mlp2,cross,-8.43849
