split_a,stage,quantity,value
4,H0,mu_short,0.4758
4,H0,mu_long_near,0.09335
4,H0,mu_long_far,-0.03503
4,H0,mu_cross,-0.04354
4,H0,M_far,0.00852
4,Hattn1,mu_short,0.82045
4,Hattn1,mu_long_near,0.2445
4,Hattn1,mu_long_far,-0.01237
4,Hattn1,mu_cross,-0.03552
4,Hattn1,M_far,0.02315
4,H1,mu_short,0.69476
4,H1,mu_long_near,0.53512
4,H1,mu_long_far,0.35146
4,H1,mu_cross,0.19831
4,H1,M_far,0.15316
4,Hattn2,mu_short,0.90904
4,Hattn2,mu_long_near,0.90194
4,Hattn2,mu_long_far,0.6887
4,Hattn2,mu_cross,0.17985
4,Hattn2,M_far,0.50885
4,H2,mu_short,0.93778
4,H2,mu_long_near,0.99508
4,H2,mu_long_far,0.99083
4,H2,mu_cross,-0.85393
4,H2,M_far,1.84476
23,H0,mu_short,0.05311
23,H0,mu_long_near,0.10433
23,H0,mu_long_far,-0.03836
23,H0,mu_cross,-0.03542
23,H0,M_far,-0.00294
23,Hattn1,mu_short,0.15645
23,Hattn1,mu_long_near,0.25655
23,Hattn1,mu_long_far,-0.01974
23,Hattn1,mu_cross,-0.01084
23,Hattn1,M_far,-0.0089
23,H1,mu_short,0.43779
23,H1,mu_long_near,0.51573
23,H1,mu_long_far,0.29413
23,H1,mu_cross,0.33538
23,H1,M_far,-0.04125
23,Hattn2,mu_short,0.68128
23,Hattn2,mu_long_near,0.82118
23,Hattn2,mu_long_far,0.4281
23,Hattn2,mu_cross,0.34081
23,Hattn2,M_far,0.08729
23,H2,mu_short,0.46504
23,H2,mu_long_near,0.62496
23,H2,mu_long_far,0.17843
23,H2,mu_cross,-0.02975
23,H2,M_far,0.20818
