split_a,branch,category,value
4,dZ_attn1,within_short,9.90722
4,dZ_attn1,within_long_near,3.56614
4,dZ_attn1,within_long_far,0.34002
4,dZ_attn1,cross,0.03064
4,dZ_mlp1,within_short,-0.75975
4,dZ_mlp1,within_long_near,3.30797
4,dZ_mlp1,within_long_far,3.50772
4,dZ_mlp1,cross,2.35589
4,dZ_attn2,within_short,3.0756
4,dZ_attn2,within_long_near,12.40147
4,dZ_attn2,within_long_far,8.99902
4,dZ_attn2,cross,10.85838
4,dZ_mlp2,within_short,-0.23471
4,dZ_mlp2,within_long_near,-1.4847
4,dZ_mlp2,within_long_far,2.72621
4,dZ_mlp2,cross,-23.1449
23,dZ_attn1,within_short,2.3626
23,dZ_attn1,within_long_near,3.58929
23,dZ_attn1,within_long_far,0.23513
23,dZ_attn1,cross,0.39068
23,dZ_mlp1,within_short,3.14184
23,dZ_mlp1,within_long_near,3.04574
23,dZ_mlp1,within_long_far,3.26363
23,dZ_mlp1,cross,3.39329
23,dZ_attn2,within_short,12.28633
23,dZ_attn2,within_long_near,12.83549
23,dZ_attn2,within_long_far,11.20289
23,dZ_attn2,cross,8.63622
23,dZ_mlp2,within_short,-5.39464
23,dZ_mlp2,within_long_near,-5.05881
23,dZ_mlp2,within_long_far,-5.81831
23,dZ_mlp2,cross,-9.04893
