split_a,stage,metric,value
4,H0,exact,0.0
4,H0,reach_long,0.09408
4,H0,reach_long_near,0.24324
4,H0,reach_long_far,0.0
4,H0,reach_short,0.83073
4,H0,cut,1.0
4,H0,pred_positive_rate,0.10301
4,Hattn1,exact,0.0
4,Hattn1,reach_long,0.14562
4,Hattn1,reach_long_near,0.36984
4,Hattn1,reach_long_far,0.0042
4,Hattn1,reach_short,1.0
4,Hattn1,cut,0.91834
4,Hattn1,pred_positive_rate,0.15888
4,H1,exact,0.0
4,H1,reach_long,0.29771
4,H1,reach_long_near,0.6891
4,H1,reach_long_far,0.05087
4,H1,reach_short,1.0
4,H1,cut,0.90932
4,H1,pred_positive_rate,0.28409
4,Hattn2,exact,0.0
4,Hattn2,reach_long,1.0
4,Hattn2,reach_long_near,1.0
4,Hattn2,reach_long_far,1.0
4,Hattn2,reach_short,1.0
4,Hattn2,cut,0.0
4,Hattn2,pred_positive_rate,1.0
4,H2,exact,1.0
4,H2,reach_long,1.0
4,H2,reach_long_near,1.0
4,H2,reach_long_far,1.0
4,H2,reach_short,1.0
4,H2,cut,1.0
4,H2,pred_positive_rate,0.84121
23,H0,exact,0.0
23,H0,reach_long,0.1699
23,H0,reach_long_near,0.26534
23,H0,reach_long_far,0.0
23,H0,reach_short,0.16996
23,H0,cut,1.0
23,H0,pred_positive_rate,0.10301
23,Hattn1,exact,0.0
23,Hattn1,reach_long,0.26365
23,Hattn1,reach_long_near,0.39776
23,Hattn1,reach_long_far,0.0249
23,Hattn1,reach_short,0.2634
23,Hattn1,cut,0.98216
23,Hattn1,pred_positive_rate,0.15669
23,H1,exact,0.0
23,H1,reach_long,0.46653
23,H1,reach_long_near,0.68827
23,H1,reach_long_far,0.07177
23,H1,reach_short,0.46257
23,H1,cut,0.93009
23,H1,pred_positive_rate,0.27887
23,Hattn2,exact,0.0
23,Hattn2,reach_long,1.0
23,Hattn2,reach_long_near,1.0
23,Hattn2,reach_long_far,1.0
23,Hattn2,reach_short,1.0
23,Hattn2,cut,0.0
23,Hattn2,pred_positive_rate,1.0
23,H2,exact,0.0
23,H2,reach_long,0.99284
23,H2,reach_long_near,1.0
23,H2,reach_long_far,0.98008
23,H2,reach_short,0.9903
23,H2,cut,0.63466
23,H2,pred_positive_rate,0.67864
