split_a,stage,quantity,value
4,H0,mu_short,0.51026
4,H0,mu_long_near,0.125
4,H0,mu_long_far,0.00228
4,H0,mu_cross,-0.00089
4,H0,M_far,0.00317
4,Hattn1,mu_short,0.8679
4,Hattn1,mu_long_near,0.26251
4,Hattn1,mu_long_far,0.02767
4,Hattn1,mu_cross,0.01242
4,Hattn1,M_far,0.01525
4,H1,mu_short,0.82527
4,H1,mu_long_near,0.37346
4,H1,mu_long_far,0.1356
4,H1,mu_cross,0.09133
4,H1,M_far,0.04427
4,Hattn2,mu_short,0.93935
4,Hattn2,mu_long_near,0.79644
4,Hattn2,mu_long_far,0.38918
4,Hattn2,mu_cross,0.44922
4,Hattn2,M_far,-0.06004
4,H2,mu_short,0.89613
4,H2,mu_long_near,0.80689
4,H2,mu_long_far,0.63518
4,H2,mu_cross,-0.41788
4,H2,M_far,1.05306
23,H0,mu_short,0.08808
23,H0,mu_long_near,0.13702
23,H0,mu_long_far,0.00119
23,H0,mu_cross,0.00215
23,H0,M_far,-0.00096
23,Hattn1,mu_short,0.18354
23,Hattn1,mu_long_near,0.27509
23,Hattn1,mu_long_far,0.02214
23,Hattn1,mu_cross,0.02971
23,Hattn1,M_far,-0.00757
23,H1,mu_short,0.28621
23,H1,mu_long_near,0.37709
23,H1,mu_long_far,0.12602
23,H1,mu_cross,0.13481
23,H1,M_far,-0.00879
23,Hattn2,mu_short,0.70367
23,Hattn2,mu_long_near,0.81981
23,Hattn2,mu_long_far,0.48104
23,Hattn2,mu_cross,0.37627
23,Hattn2,M_far,0.10477
23,H2,mu_short,0.55104
23,H2,mu_long_near,0.6594
23,H2,mu_long_far,0.35395
23,H2,mu_cross,0.14731
23,H2,M_far,0.20664
