split_a,branch,category,value
4,dZ_attn1,within_short,0.0
4,dZ_attn1,within_long_near,0.0
4,dZ_attn1,within_long_far,nan
4,dZ_attn1,cross,-5.71091
4,dZ_mlp1,within_short,0.0
4,dZ_mlp1,within_long_near,0.0
4,dZ_mlp1,within_long_far,nan
4,dZ_mlp1,cross,0.52223
4,dZ_attn2,within_short,0.0
4,dZ_attn2,within_long_near,0.0
4,dZ_attn2,within_long_far,nan
4,dZ_attn2,cross,-0.82203
4,dZ_mlp2,within_short,0.0
4,dZ_mlp2,within_long_near,0.0
4,dZ_mlp2,within_long_far,nan
4,dZ_mlp2,cross,-0.00737
23,dZ_attn1,within_short,0.0
23,dZ_attn1,within_long_near,0.0
23,dZ_attn1,within_long_far,nan
23,dZ_attn1,cross,-2.66487
23,dZ_mlp1,within_short,0.0
23,dZ_mlp1,within_long_near,0.0
23,dZ_mlp1,within_long_far,nan
23,dZ_mlp1,cross,0.73351
23,dZ_attn2,within_short,-0.0
23,dZ_attn2,within_long_near,0.0
23,dZ_attn2,within_long_far,nan
23,dZ_attn2,cross,-0.82683
23,dZ_mlp2,within_short,0.0
23,dZ_mlp2,within_long_near,0.0
23,dZ_mlp2,within_long_far,nan
23,dZ_mlp2,cross,-0.00609
