split_a,stage,quantity,value
4,H0,mu_short,1.0
4,H0,mu_long_near,1.0
4,H0,mu_long_far,nan
4,H0,mu_cross,-0.70362
4,H0,M_far,nan
4,Hattn1,mu_short,1.0
4,Hattn1,mu_long_near,1.0
4,Hattn1,mu_long_far,nan
4,Hattn1,mu_cross,-0.98477
4,Hattn1,M_far,nan
4,H1,mu_short,1.0
4,H1,mu_long_near,1.0
4,H1,mu_long_far,nan
4,H1,mu_cross,-0.95906
4,H1,M_far,nan
4,Hattn2,mu_short,1.0
4,Hattn2,mu_long_near,1.0
4,Hattn2,mu_long_far,nan
4,Hattn2,mu_cross,-0.99953
4,Hattn2,M_far,nan
4,H2,mu_short,1.0
4,H2,mu_long_near,1.0
4,H2,mu_long_far,nan
4,H2,mu_cross,-0.99989
4,H2,M_far,nan
23,H0,mu_short,1.0
23,H0,mu_long_near,1.0
23,H0,mu_long_far,nan
23,H0,mu_cross,-0.86385
23,H0,M_far,nan
23,Hattn1,mu_short,1.0
23,Hattn1,mu_long_near,1.0
23,Hattn1,mu_long_far,nan
23,Hattn1,mu_cross,-0.99505
23,Hattn1,M_far,nan
23,H1,mu_short,1.0
23,H1,mu_long_near,1.0
23,H1,mu_long_far,nan
23,H1,mu_cross,-0.95894
23,H1,M_far,nan
23,Hattn2,mu_short,1.0
23,Hattn2,mu_long_near,1.0
23,Hattn2,mu_long_far,nan
23,Hattn2,mu_cross,-0.99964
23,Hattn2,M_far,nan
23,H2,mu_short,1.0
23,H2,mu_long_near,1.0
23,H2,mu_long_far,nan
23,H2,mu_cross,-0.99994
23,H2,M_far,nan
