split_a,stage,metric,value
4,H0,exact,1.0
4,H0,reach_long,1.0
4,H0,reach_long_near,1.0
4,H0,reach_long_far,nan
4,H0,reach_short,1.0
4,H0,cut,1.0
4,H0,pred_positive_rate,0.84121
4,Hattn1,exact,1.0
4,Hattn1,reach_long,1.0
4,Hattn1,reach_long_near,1.0
4,Hattn1,reach_long_far,nan
4,Hattn1,reach_short,1.0
4,Hattn1,cut,1.0
4,Hattn1,pred_positive_rate,0.84121
4,H1,exact,1.0
4,H1,reach_long,1.0
4,H1,reach_long_near,1.0
4,H1,reach_long_far,nan
4,H1,reach_short,1.0
4,H1,cut,1.0
4,H1,pred_positive_rate,0.84121
4,Hattn2,exact,1.0
4,Hattn2,reach_long,1.0
4,Hattn2,reach_long_near,1.0
4,Hattn2,reach_long_far,nan
4,Hattn2,reach_short,1.0
4,Hattn2,cut,1.0
4,Hattn2,pred_positive_rate,0.84121
4,H2,exact,1.0
4,H2,reach_long,1.0
4,H2,reach_long_near,1.0
4,H2,reach_long_far,nan
4,H2,reach_short,1.0
4,H2,cut,1.0
4,H2,pred_positive_rate,0.84121
23,H0,exact,1.0
23,H0,reach_long,1.0
23,H0,reach_long_near,1.0
23,H0,reach_long_far,nan
23,H0,reach_short,1.0
23,H0,cut,1.0
23,H0,pred_positive_rate,0.5
23,Hattn1,exact,1.0
23,Hattn1,reach_long,1.0
23,Hattn1,reach_long_near,1.0
23,Hattn1,reach_long_far,nan
23,Hattn1,reach_short,1.0
23,Hattn1,cut,1.0
23,Hattn1,pred_positive_rate,0.5
23,H1,exact,1.0
23,H1,reach_long,1.0
23,H1,reach_long_near,1.0
23,H1,reach_long_far,nan
23,H1,reach_short,1.0
23,H1,cut,1.0
23,H1,pred_positive_rate,0.5
23,Hattn2,exact,1.0
23,Hattn2,reach_long,1.0
23,Hattn2,reach_long_near,1.0
23,Hattn2,reach_long_far,nan
23,Hattn2,reach_short,1.0
23,Hattn2,cut,1.0
23,Hattn2,pred_positive_rate,0.5
23,H2,exact,1.0
23,H2,reach_long,1.0
23,H2,reach_long_near,1.0
23,H2,reach_long_far,nan
23,H2,reach_short,1.0
23,H2,cut,1.0
23,H2,pred_positive_rate,0.5
