split_a,branch,category,value
4,dZ_attn1,within_short,0.0
4,dZ_attn1,within_long_near,4.48657
4,dZ_attn1,within_long_far,nan
4,dZ_attn1,cross,1.08656
4,dZ_mlp1,within_short,0.0
4,dZ_mlp1,within_long_near,-1.91706
4,dZ_mlp1,within_long_far,nan
4,dZ_mlp1,cross,-1.30329
4,dZ_attn2,within_short,0.0
4,dZ_attn2,within_long_near,19.32016
4,dZ_attn2,within_long_far,nan
4,dZ_attn2,cross,-5.53246
4,dZ_mlp2,within_short,0.0
4,dZ_mlp2,within_long_near,0.95654
4,dZ_mlp2,within_long_far,nan
4,dZ_mlp2,cross,-12.31462
22,dZ_attn1,within_short,7.97411
22,dZ_attn1,within_long_near,6.98752
22,dZ_attn1,within_long_far,nan
22,dZ_attn1,cross,1.05399
22,dZ_mlp1,within_short,-1.36582
22,dZ_mlp1,within_long_near,-1.50374
22,dZ_mlp1,within_long_far,nan
22,dZ_mlp1,cross,-2.80163
22,dZ_attn2,within_short,14.62388
22,dZ_attn2,within_long_near,15.99879
22,dZ_attn2,within_long_far,nan
22,dZ_attn2,cross,-9.58805
22,dZ_mlp2,within_short,-0.15831
22,dZ_mlp2,within_long_near,-0.20375
22,dZ_mlp2,within_long_far,nan
22,dZ_mlp2,cross,-4.01043
