split_a,stage,quantity,value
4,H0,mu_short,1.0
4,H0,mu_long_near,-0.00018
4,H0,mu_long_far,nan
4,H0,mu_cross,-0.07854
4,H0,M_far,nan
4,Hattn1,mu_short,1.0
4,Hattn1,mu_long_near,0.21747
4,Hattn1,mu_long_far,nan
4,Hattn1,mu_cross,0.1502
4,Hattn1,M_far,nan
4,H1,mu_short,1.0
4,H1,mu_long_near,0.11591
4,H1,mu_long_far,nan
4,H1,mu_cross,0.04115
4,H1,M_far,nan
4,Hattn2,mu_short,1.0
4,Hattn2,mu_long_near,0.80933
4,Hattn2,mu_long_far,nan
4,Hattn2,mu_cross,0.25617
4,Hattn2,M_far,nan
4,H2,mu_short,1.0
4,H2,mu_long_near,0.90267
4,H2,mu_long_far,nan
4,H2,mu_cross,-0.31914
4,H2,M_far,nan
22,H0,mu_short,0.07505
22,H0,mu_long_near,0.06176
22,H0,mu_long_far,nan
22,H0,mu_cross,-0.07903
22,H0,M_far,nan
22,Hattn1,mu_short,0.44862
22,Hattn1,mu_long_near,0.38703
22,Hattn1,mu_long_far,nan
22,Hattn1,mu_cross,-0.02207
22,Hattn1,M_far,nan
22,H1,mu_short,0.2996
22,H1,mu_long_near,0.2548
22,H1,mu_long_far,nan
22,H1,mu_cross,-0.07617
22,H1,M_far,nan
22,Hattn2,mu_short,0.97201
22,Hattn2,mu_long_near,0.94592
22,Hattn2,mu_long_far,nan
22,Hattn2,mu_cross,-0.47839
22,Hattn2,M_far,nan
22,H2,mu_short,0.98177
22,H2,mu_long_near,0.90988
22,H2,mu_long_far,nan
22,H2,mu_cross,-0.24897
22,H2,M_far,nan
