split_a,stage,metric,value
4,H0,exact,0.0
4,H0,reach_long,0.20441
4,H0,reach_long_near,0.20441
4,H0,reach_long_far,nan
4,H0,reach_short,1.0
4,H0,cut,1.0
4,H0,pred_positive_rate,0.19376
4,Hattn1,exact,0.0
4,Hattn1,reach_long,0.93547
4,Hattn1,reach_long_near,0.93547
4,Hattn1,reach_long_far,nan
4,Hattn1,reach_short,1.0
4,Hattn1,cut,0.0
4,Hattn1,pred_positive_rate,0.94748
4,H1,exact,0.0
4,H1,reach_long,0.68803
4,H1,reach_long_near,0.68803
4,H1,reach_long_far,nan
4,H1,reach_short,1.0
4,H1,cut,0.14249
4,H1,pred_positive_rate,0.72349
4,Hattn2,exact,0.0
4,Hattn2,reach_long,1.0
4,Hattn2,reach_long_near,1.0
4,Hattn2,reach_long_far,nan
4,Hattn2,reach_short,1.0
4,Hattn2,cut,0.0
4,Hattn2,pred_positive_rate,1.0
4,H2,exact,1.0
4,H2,reach_long,1.0
4,H2,reach_long_near,1.0
4,H2,reach_long_far,nan
4,H2,reach_short,1.0
4,H2,cut,1.0
4,H2,pred_positive_rate,0.84121
22,H0,exact,0.0
22,H0,reach_long,0.3587
22,H0,reach_long_near,0.3587
22,H0,reach_long_far,nan
22,H0,reach_short,0.40693
22,H0,cut,1.0
22,H0,pred_positive_rate,0.20416
22,Hattn1,exact,0.0
22,Hattn1,reach_long,1.0
22,Hattn1,reach_long_near,1.0
22,Hattn1,reach_long_far,nan
22,Hattn1,reach_short,1.0
22,Hattn1,cut,0.88512
22,Hattn1,pred_positive_rate,0.55828
22,H1,exact,0.10938
22,H1,reach_long,0.99553
22,H1,reach_long_near,0.99553
22,H1,reach_long_far,nan
22,H1,reach_short,1.0
22,H1,cut,0.99994
22,H1,pred_positive_rate,0.49981
22,Hattn2,exact,1.0
22,Hattn2,reach_long,1.0
22,Hattn2,reach_long_near,1.0
22,Hattn2,reach_long_far,nan
22,Hattn2,reach_short,1.0
22,Hattn2,cut,1.0
22,Hattn2,pred_positive_rate,0.50095
22,H2,exact,1.0
22,H2,reach_long,1.0
22,H2,reach_long_near,1.0
22,H2,reach_long_far,nan
22,H2,reach_short,1.0
22,H2,cut,1.0
22,H2,pred_positive_rate,0.50095
