split_a,stage,quantity,value
4,H0,mu_short,0.5111
4,H0,mu_long_near,0.12096
4,H0,mu_long_far,-0.00269
4,H0,mu_cross,-0.00461
4,H0,M_far,0.00193
4,Hattn1,mu_short,0.788
4,Hattn1,mu_long_near,0.24045
4,Hattn1,mu_long_far,0.00952
4,Hattn1,mu_cross,0.00217
4,Hattn1,M_far,0.00735
4,H1,mu_short,0.76721
4,H1,mu_long_near,0.32545
4,H1,mu_long_far,0.12036
4,H1,mu_cross,0.11573
4,H1,M_far,0.00463
4,Hattn2,mu_short,0.94001
4,Hattn2,mu_long_near,0.75982
4,Hattn2,mu_long_far,0.43189
4,Hattn2,mu_cross,0.35987
4,Hattn2,M_far,0.07202
4,H2,mu_short,0.94141
4,H2,mu_long_near,0.97875
4,H2,mu_long_far,0.97121
4,H2,mu_cross,-0.70605
4,H2,M_far,1.67726
23,H0,mu_short,0.08423
23,H0,mu_long_near,0.1335
23,H0,mu_long_far,-0.00342
23,H0,mu_cross,-0.00281
23,H0,M_far,-0.00061
23,Hattn1,mu_short,0.1684
23,Hattn1,mu_long_near,0.25924
23,Hattn1,mu_long_far,0.00762
23,Hattn1,mu_cross,0.00977
23,Hattn1,M_far,-0.00215
23,H1,mu_short,0.25696
23,H1,mu_long_near,0.33206
23,H1,mu_long_far,0.1273
23,H1,mu_cross,0.12527
23,H1,M_far,0.00203
23,Hattn2,mu_short,0.63672
23,Hattn2,mu_long_near,0.72275
23,Hattn2,mu_long_far,0.48311
23,Hattn2,mu_cross,0.20925
23,Hattn2,M_far,0.27386
23,H2,mu_short,0.46309
23,H2,mu_long_near,0.49406
23,H2,mu_long_far,0.40903
23,H2,mu_cross,-0.08722
23,H2,M_far,0.49625
