split_a,stage,metric,value
4,H0,exact,0.0
4,H0,reach_long,0.09497
4,H0,reach_long_near,0.24324
4,H0,reach_long_far,0.00145
4,H0,reach_short,0.97396
4,H0,cut,0.98224
4,H0,pred_positive_rate,0.10737
4,Hattn1,exact,0.0
4,Hattn1,reach_long,0.21423
4,Hattn1,reach_long_near,0.54223
4,Hattn1,reach_long_far,0.00737
4,Hattn1,reach_short,1.0
4,Hattn1,cut,0.92857
4,Hattn1,pred_positive_rate,0.21309
4,H1,exact,0.0
4,H1,reach_long,0.99153
4,H1,reach_long_near,0.99747
4,H1,reach_long_far,0.98778
4,H1,reach_short,1.0
4,H1,cut,0.38942
4,H1,pred_positive_rate,0.93127
4,Hattn2,exact,0.0
4,Hattn2,reach_long,1.0
4,Hattn2,reach_long_near,1.0
4,Hattn2,reach_long_far,1.0
4,Hattn2,reach_short,1.0
4,Hattn2,cut,0.0
4,Hattn2,pred_positive_rate,1.0
4,H2,exact,1.0
4,H2,reach_long,1.0
4,H2,reach_long_near,1.0
4,H2,reach_long_far,1.0
4,H2,reach_short,1.0
4,H2,cut,1.0
4,H2,pred_positive_rate,0.84121
23,H0,exact,0.0
23,H0,reach_long,0.1728
23,H0,reach_long_near,0.26543
23,H0,reach_long_far,0.0079
23,H0,reach_short,0.17292
23,H0,cut,0.99448
23,H0,pred_positive_rate,0.10717
23,Hattn1,exact,0.0
23,Hattn1,reach_long,0.37938
23,Hattn1,reach_long_near,0.56867
23,Hattn1,reach_long_far,0.04241
23,Hattn1,reach_short,0.37864
23,Hattn1,cut,0.9707
23,Hattn1,pred_positive_rate,0.21766
23,H1,exact,0.0
23,H1,reach_long,0.98629
23,H1,reach_long_near,0.99421
23,H1,reach_long_far,0.97218
23,H1,reach_short,0.99049
23,H1,cut,0.01347
23,H1,pred_positive_rate,0.98771
23,Hattn2,exact,0.0
23,Hattn2,reach_long,1.0
23,Hattn2,reach_long_near,1.0
23,Hattn2,reach_long_far,1.0
23,Hattn2,reach_short,1.0
23,Hattn2,cut,0.0672
23,Hattn2,pred_positive_rate,0.9664
23,H2,exact,0.0
23,H2,reach_long,0.96047
23,H2,reach_long_near,1.0
23,H2,reach_long_far,0.89011
23,H2,reach_short,0.96047
23,H2,cut,1.0
23,H2,pred_positive_rate,0.4811
