split_a,branch,category,value
4,dZ_attn1,within_short,8.76651
4,dZ_attn1,within_long_near,3.69499
4,dZ_attn1,within_long_far,0.29453
4,dZ_attn1,cross,0.17076
4,dZ_mlp1,within_short,-0.57585
4,dZ_mlp1,within_long_near,2.43084
4,dZ_mlp1,within_long_far,3.2311
4,dZ_mlp1,cross,3.39706
4,dZ_attn2,within_short,4.96654
4,dZ_attn2,within_long_near,14.08893
4,dZ_attn2,within_long_far,10.58405
4,dZ_attn2,cross,7.88517
4,dZ_mlp2,within_short,-1.52095
4,dZ_mlp2,within_long_near,6.63905
4,dZ_mlp2,within_long_far,16.35891
4,dZ_mlp2,cross,-32.68943
23,dZ_attn1,within_short,2.59362
23,dZ_attn1,within_long_near,3.88344
23,dZ_attn1,within_long_far,0.26163
23,dZ_attn1,cross,0.31012
23,dZ_mlp1,within_short,2.49676
23,dZ_mlp1,within_long_near,2.00891
23,dZ_mlp1,within_long_far,3.50689
23,dZ_mlp1,cross,3.38604
23,dZ_attn2,within_short,12.10179
23,dZ_attn2,within_long_near,12.62126
23,dZ_attn2,within_long_far,11.23087
23,dZ_attn2,cross,2.85839
23,dZ_mlp2,within_short,-5.38323
23,dZ_mlp2,within_long_near,-7.2331
23,dZ_mlp2,within_long_far,-2.13032
23,dZ_mlp2,cross,-9.10811
