split_a,stage,metric,value
4,H0,exact,0.0
4,H0,reach_long,0.2669
4,H0,reach_long_near,0.39846
4,H0,reach_long_far,0.18392
4,H0,reach_short,1.0
4,H0,cut,0.87621
4,H0,pred_positive_rate,0.26427
4,Hattn1,exact,0.0
4,Hattn1,reach_long,0.85504
4,Hattn1,reach_long_near,0.95364
4,Hattn1,reach_long_far,0.79285
4,Hattn1,reach_short,1.0
4,Hattn1,cut,0.75809
4,Hattn1,pred_positive_rate,0.76165
4,H1,exact,0.0
4,H1,reach_long,0.99733
4,H1,reach_long_near,0.99916
4,H1,reach_long_far,0.99618
4,H1,reach_short,1.0
4,H1,cut,0.15272
4,H1,pred_positive_rate,0.97358
4,Hattn2,exact,0.0
4,Hattn2,reach_long,1.0
4,Hattn2,reach_long_near,1.0
4,Hattn2,reach_long_far,1.0
4,Hattn2,reach_short,1.0
4,Hattn2,cut,0.00121
4,Hattn2,pred_positive_rate,0.99981
4,H2,exact,1.0
4,H2,reach_long,1.0
4,H2,reach_long_near,1.0
4,H2,reach_long_far,1.0
4,H2,reach_short,1.0
4,H2,cut,1.0
4,H2,pred_positive_rate,0.84121
23,H0,exact,0.0
23,H0,reach_long,0.32059
23,H0,reach_long_near,0.41252
23,H0,reach_long_far,0.15694
23,H0,reach_short,0.31287
23,H0,cut,0.81141
23,H0,pred_positive_rate,0.26752
23,Hattn1,exact,0.0
23,Hattn1,reach_long,0.80212
23,Hattn1,reach_long_near,0.90442
23,Hattn1,reach_long_far,0.62002
23,Hattn1,reach_short,0.80453
23,Hattn1,cut,0.23863
23,Hattn1,pred_positive_rate,0.78663
23,H1,exact,0.0
23,H1,reach_long,0.99765
23,H1,reach_long_near,0.99923
23,H1,reach_long_far,0.99485
23,H1,reach_short,0.99685
23,H1,cut,0.00346
23,H1,pred_positive_rate,0.99696
23,Hattn2,exact,0.0
23,Hattn2,reach_long,0.99932
23,Hattn2,reach_long_near,1.0
23,Hattn2,reach_long_far,0.99811
23,Hattn2,reach_short,0.99975
23,Hattn2,cut,0.00124
23,Hattn2,pred_positive_rate,0.99916
23,H2,exact,0.0
23,H2,reach_long,0.90434
23,H2,reach_long_near,0.99093
23,H2,reach_long_far,0.75017
23,H2,reach_short,0.91471
23,H2,cut,0.84343
23,H2,pred_positive_rate,0.53502
