split_a,branch,category,value
4,dZ_attn1,within_short,0.38421
4,dZ_attn1,within_long_near,0.16083
4,dZ_attn1,within_long_far,0.04358
4,dZ_attn1,cross,0.03209
4,dZ_mlp1,within_short,-0.17429
4,dZ_mlp1,within_long_near,0.07953
4,dZ_mlp1,within_long_far,0.1034
4,dZ_mlp1,cross,0.05922
4,dZ_attn2,within_short,0.17544
4,dZ_attn2,within_long_near,0.46453
4,dZ_attn2,within_long_far,0.36203
4,dZ_attn2,cross,0.17493
4,dZ_mlp2,within_short,0.1265
4,dZ_mlp2,within_long_near,0.18111
4,dZ_mlp2,within_long_far,0.50198
4,dZ_mlp2,cross,-1.24356
23,dZ_attn1,within_short,0.11929
23,dZ_attn1,within_long_near,0.16315
23,dZ_attn1,within_long_far,0.04095
23,dZ_attn1,cross,0.04411
23,dZ_mlp1,within_short,0.07081
23,dZ_mlp1,within_long_near,0.04559
23,dZ_mlp1,within_long_far,0.09142
23,dZ_mlp1,cross,0.10324
23,dZ_attn2,within_short,0.42543
23,dZ_attn2,within_long_near,0.44437
23,dZ_attn2,within_long_far,0.38577
23,dZ_attn2,cross,0.11604
23,dZ_mlp2,within_short,-0.1024
23,dZ_mlp2,within_long_near,-0.07841
23,dZ_mlp2,within_long_far,-0.20915
23,dZ_mlp2,cross,-0.5136
