split_a,stage,quantity,value
4,H0,mu_short,0.48802
4,H0,mu_long_near,0.11399
4,H0,mu_long_far,-0.01102
4,H0,mu_cross,-0.02255
4,H0,M_far,0.01153
4,Hattn1,mu_short,0.87223
4,Hattn1,mu_long_near,0.27482
4,Hattn1,mu_long_far,0.03256
4,Hattn1,mu_cross,0.00954
4,Hattn1,M_far,0.02302
4,H1,mu_short,0.69794
4,H1,mu_long_near,0.35435
4,H1,mu_long_far,0.13596
4,H1,mu_cross,0.06876
4,H1,M_far,0.0672
4,Hattn2,mu_short,0.87338
4,Hattn2,mu_long_near,0.81888
4,Hattn2,mu_long_far,0.49798
4,Hattn2,mu_cross,0.24369
4,Hattn2,M_far,0.25429
4,H2,mu_short,0.99988
4,H2,mu_long_near,0.99999
4,H2,mu_long_far,0.99997
4,H2,mu_cross,-0.99987
4,H2,M_far,1.99983
23,H0,mu_short,0.07407
23,H0,mu_long_near,0.12499
23,H0,mu_long_far,-0.01545
23,H0,mu_cross,-0.01194
23,H0,M_far,-0.00351
23,Hattn1,mu_short,0.19336
23,Hattn1,mu_long_near,0.28813
23,Hattn1,mu_long_far,0.0255
23,Hattn1,mu_cross,0.03217
23,Hattn1,M_far,-0.00667
23,H1,mu_short,0.26417
23,H1,mu_long_near,0.33372
23,H1,mu_long_far,0.11692
23,H1,mu_cross,0.13541
23,H1,M_far,-0.01849
23,Hattn2,mu_short,0.68961
23,Hattn2,mu_long_near,0.7781
23,Hattn2,mu_long_far,0.50269
23,Hattn2,mu_cross,0.25145
23,Hattn2,M_far,0.25124
23,H2,mu_short,0.58721
23,H2,mu_long_near,0.69969
23,H2,mu_long_far,0.29353
23,H2,mu_cross,-0.26215
23,H2,M_far,0.55569
