split_a,stage,quantity,value
4,H0,mu_short,0.50884
4,H0,mu_long_near,0.11529
4,H0,mu_long_far,-0.00945
4,H0,mu_cross,-0.01083
4,H0,M_far,0.00137
4,Hattn1,mu_short,0.81015
4,Hattn1,mu_long_near,0.12848
4,Hattn1,mu_long_far,-0.05855
4,Hattn1,mu_cross,-0.05438
4,Hattn1,M_far,-0.00417
4,H1,mu_short,0.78645
4,H1,mu_long_near,0.18023
4,H1,mu_long_far,0.011
4,H1,mu_cross,0.05911
4,H1,M_far,-0.04811
4,Hattn2,mu_short,0.87136
4,Hattn2,mu_long_near,0.61633
4,Hattn2,mu_long_far,0.40419
4,Hattn2,mu_cross,0.46398
4,Hattn2,M_far,-0.05979
4,H2,mu_short,0.87269
4,H2,mu_long_near,0.67266
4,H2,mu_long_far,0.25827
4,H2,mu_cross,-0.22647
4,H2,M_far,0.48474
23,H0,mu_short,0.0782
23,H0,mu_long_near,0.12797
23,H0,mu_long_far,-0.00999
23,H0,mu_cross,-0.00933
23,H0,M_far,-0.00066
23,Hattn1,mu_short,0.07587
23,Hattn1,mu_long_near,0.15039
23,Hattn1,mu_long_far,-0.05644
23,Hattn1,mu_cross,-0.05792
23,Hattn1,M_far,0.00148
23,H1,mu_short,0.13614
23,H1,mu_long_near,0.19375
23,H1,mu_long_far,0.03212
23,H1,mu_cross,0.02378
23,H1,M_far,0.00835
23,Hattn2,mu_short,0.55377
23,Hattn2,mu_long_near,0.62915
23,Hattn2,mu_long_far,0.42049
23,Hattn2,mu_cross,0.40085
23,Hattn2,M_far,0.01964
23,H2,mu_short,0.45098
23,H2,mu_long_near,0.6239
23,H2,mu_long_far,0.14359
23,H2,mu_cross,0.03355
23,H2,M_far,0.11005
