split_a,stage,metric,value
4,H0,exact,0.0
4,H0,reach_long,0.09408
4,H0,reach_long_near,0.24324
4,H0,reach_long_far,0.0
4,H0,reach_short,0.83333
4,H0,cut,1.0
4,H0,pred_positive_rate,0.10302
4,Hattn1,exact,0.0
4,Hattn1,reach_long,0.13946
4,Hattn1,reach_long_near,0.36059
4,Hattn1,reach_long_far,0.0
4,Hattn1,reach_short,1.0
4,Hattn1,cut,1.0
4,Hattn1,pred_positive_rate,0.14091
4,H1,exact,0.0
4,H1,reach_long,0.19186
4,H1,reach_long_near,0.47762
4,H1,reach_long_far,0.01163
4,H1,reach_short,1.0
4,H1,cut,0.87881
4,H1,pred_positive_rate,0.20279
4,Hattn2,exact,0.0
4,Hattn2,reach_long,1.0
4,Hattn2,reach_long_near,1.0
4,Hattn2,reach_long_far,1.0
4,Hattn2,reach_short,1.0
4,Hattn2,cut,0.0
4,Hattn2,pred_positive_rate,1.0
4,H2,exact,0.98438
4,H2,reach_long,0.99996
4,H2,reach_long_near,1.0
4,H2,reach_long_far,0.99994
4,H2,reach_short,1.0
4,H2,cut,1.0
4,H2,pred_positive_rate,0.84118
23,H0,exact,0.0
23,H0,reach_long,0.16996
23,H0,reach_long_near,0.26543
23,H0,reach_long_far,0.0
23,H0,reach_short,0.16996
23,H0,cut,0.99997
23,H0,pred_positive_rate,0.10304
23,Hattn1,exact,0.0
23,Hattn1,reach_long,0.25099
23,Hattn1,reach_long_near,0.39198
23,Hattn1,reach_long_far,0.0
23,Hattn1,reach_short,0.24994
23,Hattn1,cut,1.0
23,Hattn1,pred_positive_rate,0.14153
23,H1,exact,0.0
23,H1,reach_long,0.35363
23,H1,reach_long_near,0.51399
23,H1,reach_long_far,0.06817
23,H1,reach_short,0.35474
23,H1,cut,0.9531
23,H1,pred_positive_rate,0.21459
23,Hattn2,exact,0.0
23,Hattn2,reach_long,1.0
23,Hattn2,reach_long_near,1.0
23,Hattn2,reach_long_far,1.0
23,Hattn2,reach_short,1.0
23,Hattn2,cut,0.0
23,Hattn2,pred_positive_rate,1.0
23,H2,exact,0.0
23,H2,reach_long,0.7928
23,H2,reach_long_near,1.0
23,H2,reach_long_far,0.42394
23,H2,reach_short,0.79373
23,H2,cut,0.93404
23,H2,pred_positive_rate,0.4341
